City,Country,Latitude,Longitude
Harare,Zimbabwe,-17.82772,31.05337
Harare,Zimbabwe,-17.82772,31.05337
Harare,Zimbabwe,-17.82772,31.05337
Harare,Zimbabwe,-17.82772,31.05337
Harare,Zimbabwe,-17.82772,31.05337
Lusaka,Zambia,-15.40669,28.28713
Ha Noi,Vietnam,21.0245,105.84117
Ho Chi Minh,Vietnam,,
"CARACAS, CAPITAL",Venezuela,,
SANARE,Venezuela,9.75145,-69.65318
Tacuarembo,Uruguay,-31.73333,-55.98333
Slough,United Kingdom,51.50949,-0.59541
Aberdeen,United Kingdom,57.14369,-2.09814
Aberdeen,United Kingdom,57.14369,-2.09814
Aberdeen,United Kingdom,57.14369,-2.09814
"Birmingham, W Midland",United Kingdom,,
Birmingham,United Kingdom,52.48142,-1.89983
Birmingham,United Kingdom,52.48142,-1.89983
Birmingham,United Kingdom,52.48142,-1.89983
Birmingham,United Kingdom,52.48142,-1.89983
Birmingham,United Kingdom,52.48142,-1.89983
Birmingham,United Kingdom,52.48142,-1.89983
"Birmingham, WestMidla",United Kingdom,,
Bath,United Kingdom,51.37795,-2.35907
"Wells, Somerset",United Kingdom,,
Lancashire,United Kingdom,,
Dorset,United Kingdom,,
"Newhaven, East Sussex",United Kingdom,,
"Bristol, Avon",United Kingdom,,
Bristol,United Kingdom,51.45523,-2.59665
Londonderry,United Kingdom,,
Coleraine,United Kingdom,55.13333,-6.66667
"Belfast, Co Antrim",United Kingdom,,
"Colchester, Essex",United Kingdom,,
Cambridge,United Kingdom,52.2,0.11667
Cambridge,United Kingdom,52.2,0.11667
Cambridge,United Kingdom,52.2,0.11667
Cambridge,United Kingdom,52.2,0.11667
Cambridge,United Kingdom,52.2,0.11667
Cambridge,United Kingdom,52.2,0.11667
Cambridge,United Kingdom,52.2,0.11667
Cambridge,United Kingdom,52.2,0.11667
Cambridge,United Kingdom,52.2,0.11667
"Cambridge, Cambridges",United Kingdom,,
Cambridge,United Kingdom,52.2,0.11667
Cambridge,United Kingdom,52.2,0.11667
"Cambridge, Cambridges",United Kingdom,,
Cambridge,United Kingdom,52.2,0.11667
"Cambridge, Cambridges",United Kingdom,,
Cambridge,United Kingdom,52.2,0.11667
Cambridge,United Kingdom,52.2,0.11667
Cambridge,United Kingdom,52.2,0.11667
Cambridge,United Kingdom,52.2,0.11667
Cambridge,United Kingdom,52.2,0.11667
"Cambridge, Cambridges",United Kingdom,,
Cambridge,United Kingdom,52.2,0.11667
Cardiff,United Kingdom,51.48,-3.18
"Wallasey, Merseyside",United Kingdom,,
Wirral,United Kingdom,,
"Epping, Essex",United Kingdom,,
Essex,United Kingdom,,
Harlow,United Kingdom,51.77655,0.11158
"Colchester, ESSEX",United Kingdom,,
Surrey,United Kingdom,,
"Canterbury, Kent",United Kingdom,,
Kent,United Kingdom,,
"Canterbury, Kent",United Kingdom,,
Canterbury,United Kingdom,51.27904,1.07992
"Coventry, West Midlan",United Kingdom,,
Warwickshire,United Kingdom,,
Coventry,United Kingdom,52.40656,-1.51217
West Midlands,United Kingdom,,
Welling,United Kingdom,51.46246,0.10759
Dundee,United Kingdom,56.5,-2.96667
London,United Kingdom,51.50853,-0.12574
"Dundee, Angus",United Kingdom,,
"Dundee, Angus",United Kingdom,,
Durham,United Kingdom,54.77676,-1.57566
Durham,United Kingdom,54.77676,-1.57566
Durham,United Kingdom,54.77676,-1.57566
"Durham, AL",United Kingdom,,
Durham,United Kingdom,54.77676,-1.57566
Durham,United Kingdom,54.77676,-1.57566
Durham,United Kingdom,54.77676,-1.57566
"Pity Me, Durham",United Kingdom,,
"Hetton-le-Hole, Tyne",United Kingdom,,
Richmond,United Kingdom,51.46005,-0.30075
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
London,United Kingdom,51.50853,-0.12574
Scotland,United Kingdom,,
Edinburgh,United Kingdom,55.95206,-3.19648
Edinburgh,United Kingdom,55.95206,-3.19648
"Edinburgh, Midlothian",United Kingdom,,
