row#,user_id,vehicle_model_id,package_id,travel_type_id,from_area_id,to_area_id,from_city_id,to_city_id,from_date,to_date,online_booking,mobile_site_booking,booking_created,from_lat,from_long,to_lat,to_long,Car_Cancellation
1,17712,12,NULL,2,1021,1323,NULL,NULL,41275.94,NULL,0,0,41275.33403,13.02853,77.54625,12.869805,77.653211,0
2,17037,12,NULL,2,455,1330,NULL,NULL,41275.53,NULL,0,0,41275.41597,12.999874,77.67812,12.953434,77.70651,0
3,761,12,NULL,2,814,393,NULL,NULL,41276.02,41277,1,0,41275.50972,12.908993,77.6889,13.19956,77.70688,0
4,868,12,NULL,2,297,212,NULL,NULL,41275.55,NULL,0,0,41275.52917,12.99789,77.61488,12.99474,77.60797,0
5,21716,28,NULL,2,1237,330,NULL,NULL,41275.69,NULL,0,0,41275.62986,12.92645,77.61206,12.858833,77.589127,0
6,38966,12,NULL,2,61,393,NULL,NULL,41275.75,NULL,0,0,41275.63264,12.96298,77.71229,13.19956,77.70688,0
7,22196,12,NULL,2,409,1194,NULL,NULL,41275.68,NULL,0,0,41275.65278,13.07746,77.60668,13.00446,77.56923,0
8,22200,12,NULL,2,1371,839,NULL,NULL,41276.44,NULL,1,0,41275.72292,13.000418,77.674835,12.85773,77.78642,0
9,22201,12,1,3,1323,NULL,NULL,NULL,41275.83,41275,1,0,41275.72569,12.869805,77.653211,NULL,NULL,0
10,22202,12,NULL,2,1017,496,NULL,NULL,41276.21,NULL,0,0,41275.72917,13.11084,77.60074,13.05845,77.64075,0
11,22203,12,NULL,2,1373,1390,NULL,NULL,41275.77,NULL,0,0,41275.74583,13.037255,77.58166,12.969368,77.641302,0
12,819,12,NULL,2,1323,585,NULL,NULL,41276.67,NULL,1,0,41275.77639,12.869805,77.653211,12.97677,77.5727,0
13,15846,12,2,3,142,NULL,NULL,NULL,41276.13,NULL,0,0,41275.81736,12.91281,77.60923,NULL,NULL,0
14,3316,24,NULL,2,58,393,NULL,NULL,41276.73,NULL,0,0,41275.86042,12.88963,77.60119,13.19956,77.70688,0
15,19469,85,NULL,2,393,392,NULL,NULL,41276.51,NULL,0,0,41275.87778,13.19956,77.70688,12.986284,77.735245,0
16,15815,12,NULL,2,145,871,NULL,NULL,41276.34,NULL,0,0,41275.89653,12.99067,77.65587,12.98712,77.56624,0
17,21903,12,NULL,2,1384,1053,NULL,NULL,41276.26,NULL,1,0,41275.9125,13.02853,77.54625,12.912799,77.589784,0
18,7500,12,NULL,2,112,393,NULL,NULL,41276.36,NULL,0,0,41275.94514,12.93331,77.56666,13.19956,77.70688,0
19,19322,12,NULL,2,515,186,NULL,NULL,41276.27,NULL,1,0,41276.02847,12.97896,77.67345,12.80257,77.70453,1
20,12827,12,NULL,2,793,949,NULL,NULL,41276.40,NULL,0,0,41276.30833,13.02239,77.59492,12.98275,77.61582,0
21,22223,12,NULL,2,455,1183,NULL,NULL,41276.48,NULL,0,0,41276.33681,12.999874,77.67812,12.965563,77.668576,0
22,15611,12,NULL,2,516,393,NULL,NULL,41276.44,NULL,0,0,41276.33681,13.0056,77.65799,13.19956,77.70688,0
23,21235,12,NULL,2,393,217,NULL,NULL,41298.47,NULL,1,0,41276.36458,13.19956,77.70688,13.0011,77.6235,0
24,15529,12,2,3,217,NULL,NULL,NULL,41276.60,NULL,0,0,41276.37778,13.0011,77.6235,NULL,NULL,0
25,22226,12,NULL,2,344,585,NULL,NULL,41276.70,NULL,1,0,41276.38958,12.94788,77.67092,12.97677,77.5727,0
26,22229,12,2,3,1053,NULL,NULL,NULL,41276.48,NULL,0,0,41276.43681,12.912799,77.589784,NULL,NULL,0
27,22230,85,NULL,2,1301,393,NULL,NULL,41276.73,NULL,0,0,41276.45,12.937222,77.626915,13.19956,77.70688,0
28,21333,28,NULL,2,1223,585,NULL,NULL,41276.90,NULL,0,0,41276.45278,13.012419,77.555151,12.97677,77.5727,0
29,22234,12,NULL,2,58,1069,NULL,NULL,41276.53,NULL,0,0,41276.49861,12.88963,77.60119,12.949764,77.643524,0
30,18777,12,1,3,293,NULL,NULL,NULL,41276.71,41276,1,0,41276.51042,12.849482,77.663187,NULL,NULL,0
