Seller,Bidder
94870114,112600806
94870114,639854157
94870114,379943872
94870114,21354098
94870114,41189765
94870114,160938775
94870114,26259084
94870114,1282610
94870114,441789867
94870114,639620
94870114,81501190
94870114,72826106
94870114,114036669
94870114,368029772
94870114,444587433
94870114,180637178
94870114,12995641
94870114,90542283
94870114,14357278
94870114,63215607
94870114,67289267
94870114,197887421
94870114,8082100
94870114,214501881
94870114,711808868
94870114,185169021
94870114,240293321
94870114,124461821
94870114,715868349
94870114,147305700
94870114,2489757
94870114,212492490
94870114,168554571
94870114,122817238
94870114,66439943
94870114,136494198
94870114,54354944
94870114,665811493
94870114,200727508
94870114,165836061
94870114,394293397
94870114,303448780
94870114,77842089
94870114,437979955
94870114,137184530
94870114,68663348
94870114,81540487
94870114,97199818
94870114,171389361
94870114,112911755
94870114,50030679
94870114,688419752
94870114,779033
94870114,205131960
94870114,189137367
22456720,13230867
94870114,594571261
94870114,265876305
94870114,1765195
94870114,37585269
94870114,98411562
22456720,416673000
94870114,168694897
22456720,97199818
22456720,28268861
94870114,612989935
94870114,20724919
94870114,230702797
94870114,132250818
94870114,88007530
22456720,39704160
22456720,113379936
22456720,239437806
22456720,296142720
22456720,661801636
22456720,33196911
22456720,54815863
22456720,172783511
22456720,317948487
22456720,217647877
22456720,438098905
22456720,59320466
22456720,68345123
22456720,308233781
22456720,22531189
22456720,653117747
22456720,26367244
22456720,12283457
22456720,33601147
22456720,178780537
22456720,571499012
14901920,65758912
22456720,80935619
22456720,11068674
22456720,141227213
22456720,14526245
22456720,57410733
22456720,167144933
191499570,147821768
22456720,166745443
22456720,451395808
360150820,82502700
520676500,107240217
22456720,11219029
22456720,8996950
22456720,14388794
22456720,566501026
22456720,2950605
360150820,1283447
22456720,15845241
520676500,685409592
20538140,147305700
645179780,641880453
41921000,418395815
22456720,372422183
22456720,178035258
22456720,394874169
22456720,1765195
22456720,30951236
520676500,512293321
40965560,83520730
360150820,183623570
20538140,370968219
360150820,99200849
80988640,430080643
22456720,32981808
41921000,13867345
41921000,55950296
22456720,73932817
22456720,382406737
22456720,227641021
22456720,7163517
20538140,38445312
22456720,65510902
22456720,307333685
22456720,216709742
22456720,67121237
22456720,140735263
22456720,88007530
22456720,314129708
20538140,526748801
360150820,20669363
20538140,9799285
22456720,6234972
520676500,35852969
520676500,130633606
360150820,311694
22456720,11331520
20538140,142009693
416308220,41031826
22456720,161800787
22456720,237792978
22456720,446558110
22456720,263810043
