"tmpID","ReligiousContributorInHome","PoliticalContributerInHome","DonatesEnvironmentCauseInHome","DonatesToCharityInHome","DonatestoAnimalWelfare","DonatestoArtsandCulture","DonatestoChildrensCauses","DonatestoHealthcare","DonatestoInternationalAidCauses","DonatestoVeteransCauses","DonatestoHealthcare1","DonatestoInternationalAidCauses1","DonatestoWildlifePreservation","DonatestoLocalCommunity"
13274,"","","Unknown","Yes","","","","","","","","","",""
1692,"","","Unknown","Unknown","","","","","","","","","",""
10104,"","","Unknown","Yes","","","","","","","","","",""
6064,"","","Unknown","Unknown","","","Yes","Yes","","Yes","Yes","","","Yes"
7587,"1 religious contribution  in home","1 political contribution  in home","Unknown","Yes","","","Yes","","","","","","","Yes"
2852,"","","Unknown","Unknown","","","","","","","","","","Yes"
6737,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","Yes","Yes"
146,"","","Unknown","Unknown","","","","","","","","","",""
4995,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
7695,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","","Yes"
2301,"","","Unknown","Yes","","","","Yes","","","Yes","","",""
12357,"1 religious contribution  in home","","Unknown","Unknown","","","","","","","","","","Yes"
10569,"","","Unknown","Yes","Yes","","","","","","","","",""
8863,"","","Unknown","Yes","","","","","","","","","",""
6722,"","","Unknown","Unknown","","","","Yes","","","Yes","","",""
14589,"","","Unknown","Unknown","","","","","","","","","",""
7425,"","","Unknown","Unknown","","","","","","","","","",""
7549,"","","Unknown","Unknown","","","","","","","","","",""
9932,"","","Unknown","Unknown","","","","","","","","","","Yes"
8013,"","","Unknown","Unknown","","","","","","","","","Yes","Yes"
522,"","","Unknown","Unknown","","","","","","","","","","Yes"
12641,"1 religious contribution  in home","","Unknown","Yes","","","","","","","","","",""
8972,"","1 political contribution  in home","Unknown","Yes","","","Yes","","","","","","","Yes"
9279,"","1 political contribution  in home","Yes","Yes","","","","","","","","","",""
11704,"","","Unknown","Yes","","","","","","","","","",""
