"tmpID","FamilyMagazineInHome","FemaleOrientedMagazineInHome","ReligiousMagazineInHome","GardeningMagazineInHome","CulinaryInterestMagazineInHome","HealthFitnessMagazineInHome","DoItYourselfMagazineInHome","FinancialMagazineInHome","InterestinCurrentAffairsPoliticsInHousehold"
363,"","","","","","","","",""
5106,"","","","","","","","",""
26,"","","","","","1 health and fitness magazine purchase ","","",""
304,"","1 female magazine purchase ","","","","2 health and fitness magazine purchases","","","Yes"
2062,"","","","","","","","",""
957,"","","","","","4 health and fitness magazine purchases","","2 financial magazine purchases","Yes"
4206,"","","","","","","","",""
1729,"1 family-oriented magazine purchase ","","","1 gardening magazine purchase ","1 culinary magazine purchase ","1 health and fitness magazine purchase ","","","Yes"
163,"","","","","","","","",""
1903,"1 family-oriented magazine purchase ","","","","","","","","Yes"
415,"","","","","","","","",""
794,"","","","","","","","",""
2757,"1 family-oriented magazine purchase ","","","","","","","",""
5371,"1 family-oriented magazine purchase ","","","","","","","3 financial magazine purchases",""
88,"","","","","","","","",""
1446,"","","","","","","","","Yes"
2234,"1 family-oriented magazine purchase ","","","1 gardening magazine purchase ","","","1 Do-It-Yourself magazine purchase ","",""
1291,"","","","","","","","","Yes"
4466,"","","","","","","","","Yes"
4262,"","","","","","","","","Yes"
1472,"","","","","","","","","Yes"
1577,"1 family-oriented magazine purchase ","","","","","2 health and fitness magazine purchases","","",""
228,"1 family-oriented magazine purchase ","","","","","1 health and fitness magazine purchase ","","1 financial magazine purchase ",""
3160,"","","","","","","","",""
4320,"","1 female magazine purchase ","","","","2 health and fitness magazine purchases","1 Do-It-Yourself magazine purchase ","","Yes"
1811,"","","","","","","","",""
2692,"3 family-oriented magazine purchases","1 female magazine purchase ","","","","2 health and fitness magazine purchases","2 Do-It-Yourself magazine purchases","1 financial magazine purchase ",""
3640,"","","","","","1 health and fitness magazine purchase ","","",""
5570,"","","","","","","","","Yes"
1380,"2 family-oriented magazine purchases","","","","1 culinary magazine purchase ","5 health and fitness magazine purchases","","1 financial magazine purchase ",""
4391,"","","","","","","","",""
4165,"","","","","","","","",""
3890,"","","","","","","","",""
1039,"","","","","","","","",""
4119,"","","","","","","","",""
1886,"","","","","","","","",""
4589,"","","","","","","","","Yes"
817,"","","","","","","","","Yes"
1841,"","","","","","1 health and fitness magazine purchase ","","",""
2924,"5 family-oriented magazine purchases","","","3 gardening magazine purchases","1 culinary magazine purchase ","4 health and fitness magazine purchases","","2 financial magazine purchases",""
5606,"","","","","","","","",""
2911,"","","","","","","","",""
3314,"","","","","1 culinary magazine purchase ","1 health and fitness magazine purchase ","1 Do-It-Yourself magazine purchase ","",""
5855,"2 family-oriented magazine purchases","","","","","3 health and fitness magazine purchases","","6 financial magazine purchases",""
1845,"","","","1 gardening magazine purchase ","","3 health and fitness magazine purchases","","",""
183,"","","","","","","","",""
