"tmpID","PartiesDescription","ReligionsDescription","LikelyUnionMember","GunOwner","Veteran","supportsAffordableCareAct","supportsGayMarriage","supportsGunControl","supportsTaxesRaise","overallsocialviews","DonatestoConservativeCauses","DonatestoLiberalCauses"
5745,"Non-Partisan","Protestant","","Unknown","Unknown","","","","","","",""
4782,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
5627,"Democratic","Jewish","","Unknown","Unknown","Oppose","","","","","",""
91,"Democratic","","Yes","Yes","Unknown","","","","","","",""
1447,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
2866,"Democratic","","","Unknown","Unknown","","","","","","",""
5092,"Democratic","Protestant","","Yes","Unknown","","","","","","",""
5323,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
2875,"Democratic","Protestant","","Yes","Unknown","","","","","","",""
1221,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
1696,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
3536,"Democratic","","","Unknown","Unknown","","","","","","",""
719,"Democratic","Jewish","","Yes","Unknown","","","","","","",""
2891,"Republican","Protestant","Yes","Unknown","Unknown","","","","","","",""
5778,"Republican","Catholic","","Unknown","Unknown","","","","","","",""
3746,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
3588,"Democratic","","","Unknown","Unknown","","","","","","",""
2289,"Democratic","","","Unknown","Unknown","","","","","","",""
2267,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
3691,"Democratic","","","Unknown","Unknown","","","","","","",""
4218,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
2061,"Non-Partisan","Protestant","","Unknown","Unknown","","","","","","",""
604,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
3909,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
1823,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
5787,"Republican","Jewish","","Unknown","Unknown","","","","","","",""
750,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
52,"Democratic","","","Unknown","Unknown","","","","","","",""
2002,"Democratic","","","Unknown","Unknown","","","","","","",""
2613,"Republican","","","Yes","Unknown","","","","","","",""
4635,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
5177,"Democratic","Protestant","","Yes","Unknown","","","","","","",""
36,"Republican","Catholic","","Unknown","Unknown","","","","","","",""
5316,"Republican","Protestant","Yes","Unknown","Unknown","","","","","","",""
501,"Republican","","","Yes","Unknown","","","","","","",""
5694,"Democratic","Protestant","","Yes","Unknown","","","","","","",""
5925,"Democratic","Protestant","","Yes","Unknown","","","","","","",""
2681,"Democratic","","","Unknown","Unknown","","","","","","",""
5728,"Democratic","","","Yes","Unknown","","","","","","",""
2134,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
4639,"Republican","","","Yes","Yes","","","","","","",""
511,"Republican","","","Unknown","Unknown","","","","","","",""
4260,"Democratic","","","Unknown","Unknown","","","","","","",""
2521,"Democratic","","","Unknown","Unknown","","","","","","",""
208,"Republican","","","Unknown","Unknown","","","","","","",""
3960,"Republican","","","Unknown","Unknown","","","","","","",""
697,"Republican","Protestant","Yes","Unknown","Yes","","","","","","",""
1845,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
5672,"Non-Partisan","","","Unknown","Unknown","","","","","","",""
2391,"Democratic","","","Unknown","Unknown","","Oppose","","Oppose","","",""
5282,"Republican","Catholic","","Unknown","Unknown","","","","","","",""
786,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
2529,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
5910,"Democratic","","","Unknown","Unknown","","","","","","",""
467,"Republican","Protestant","","Yes","Unknown","","","","","","",""
3828,"Republican","Catholic","","Unknown","Unknown","","","","","","",""
3475,"Democratic","","","Unknown","Unknown","","","","","","",""
5660,"Democratic","","","Unknown","Unknown","","","","","","",""
2263,"Republican","","","Unknown","Unknown","","","","","","",""
3287,"Democratic","","","Unknown","Unknown","","","","","","",""
3519,"Republican","","","Unknown","Unknown","","","","","","",""
1191,"Democratic","Protestant","","Yes","Unknown","","","","","","",""
4279,"Republican","Protestant","Yes","Unknown","Unknown","","","","","","",""
3137,"Democratic","","","Yes","Yes","","","","","","",""
1349,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
1944,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
3080,"Democratic","Protestant","","Yes","Unknown","","","","","","",""
4783,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
2372,"Democratic","Buddhist","","Yes","Unknown","","","","","","",""
1023,"Democratic","","","Unknown","Unknown","","","","","","",""
3615,"Democratic","Catholic","","Yes","Yes","","","","","","",""
1857,"Democratic","Protestant","Yes","Unknown","Unknown","","","","","","",""
3799,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
5956,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
138,"Democratic","","","Unknown","Unknown","","","","","","",""
4175,"Republican","Protestant","","Yes","Unknown","","","","","","",""
5830,"Democratic","","","Unknown","Unknown","","","","","","",""
5285,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
90,"Democratic","Islamic","","Unknown","Unknown","","","","","","",""
3663,"Republican","","","Unknown","Unknown","","","","","","",""
2579,"Democratic","Protestant","","Unknown","Unknown","","","","","Conservative","",""
3058,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
4123,"Democratic","Protestant","Yes","Unknown","Unknown","","","","","","",""
3034,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
4719,"Republican","","Yes","Yes","Unknown","","","","","","",""
1338,"Democratic","","","Unknown","Unknown","","","","","","",""
4496,"Republican","Catholic","","Unknown","Unknown","","","","","","",""
519,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
2619,"Non-Partisan","Protestant","","Unknown","Unknown","","","","","","",""
4523,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
2990,"Non-Partisan","","","Unknown","Unknown","","","","","","",""
1903,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
5431,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
905,"Republican","Protestant","Yes","Unknown","Unknown","","","","","","",""
986,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
3695,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
947,"Republican","Catholic","","Unknown","Unknown","","","","","","",""
1142,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
183,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
3244,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
3003,"Democratic","","","Unknown","Unknown","","","","","","",""
5351,"Republican","","","Unknown","Unknown","","","","","","",""
5083,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
5013,"Democratic","","","Unknown","Unknown","","","","","","",""
1407,"Democratic","Jewish","","Unknown","Unknown","","","","","","",""
2193,"Democratic","Jewish","","Unknown","Unknown","","","","","","",""
5985,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
1377,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
1978,"Democratic","","","Yes","Unknown","","","","","","",""
674,"Republican","","","Unknown","Unknown","","","","","","",""
2557,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
363,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
2656,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
4360,"Democratic","","","Unknown","Unknown","","","","","","",""
3459,"Democratic","Protestant","Yes","Unknown","Unknown","","","","","","",""
1018,"Democratic","","","Unknown","Unknown","","","","","","",""
3753,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
937,"Democratic","Protestant","Yes","Unknown","Unknown","","","","","","",""
5127,"Republican","","","Unknown","Yes","","","","","","",""
3509,"Democratic","","","Unknown","Unknown","","","","","","",""
408,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
5259,"Republican","","","Yes","Unknown","","","","","","",""
3956,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
1169,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
287,"Republican","","","Unknown","Unknown","","","","","","",""
1828,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
727,"Republican","Protestant","","Yes","Unknown","","","","","","",""
4684,"Republican","","","Unknown","Unknown","","","","","","",""
1683,"Republican","Protestant","Yes","Unknown","Unknown","","","","","","Yes",""
2828,"Democratic","Jewish","","Unknown","Unknown","","","","","","",""
5281,"Republican","Catholic","","Unknown","Unknown","","","","","","",""
2742,"Democratic","Protestant","","Yes","Unknown","","Support","","Support","","",""
3739,"Republican","Protestant","Yes","Yes","Unknown","","","","","","",""
4944,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
2050,"Democratic","Protestant","Yes","Unknown","Unknown","","","","","","",""
3406,"Democratic","Eastern Orthodox","","Unknown","Unknown","","","","","","",""
4126,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
83,"Democratic","","","Unknown","Unknown","","","","","","",""
4874,"Republican","","","Unknown","Yes","","","","","","",""
1181,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
3901,"Democratic","Protestant","Yes","Unknown","Unknown","","","","","","",""
5988,"Republican","","","Unknown","Unknown","","","","","","",""
21,"Republican","Protestant","","Yes","Unknown","","","","","","",""
198,"Republican","Protestant","","Unknown","Unknown","","","","","Liberal","",""
2365,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
5212,"Democratic","Protestant","Yes","Unknown","Unknown","","","","","","",""
4814,"Republican","Buddhist","","Yes","Unknown","","","","","","",""
898,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
1664,"Democratic","Islamic","","Unknown","Unknown","","","","","","",""
5747,"Republican","Protestant","Yes","Unknown","Unknown","","","","","","",""
5204,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
243,"Democratic","Protestant","","Yes","Unknown","","","","","","",""
3305,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
5723,"Democratic","","","Unknown","Unknown","","","","","","",""
115,"Republican","","","Unknown","Unknown","","","","","","",""
2888,"Republican","","","Unknown","Unknown","","","","","","",""
1830,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
683,"Democratic","Protestant","","Yes","Unknown","","","","","","",""
1479,"Democratic","","","Unknown","Unknown","","","","","","",""
5284,"Republican","Jewish","","Unknown","Unknown","","","","","","",""
979,"Republican","Protestant","","Unknown","Unknown","","","","","","Yes",""
2815,"Republican","","","Yes","Unknown","","","","","","",""
4659,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
3904,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
1289,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
5147,"Non-Partisan","","Yes","Unknown","Unknown","","","","","","",""
5693,"Republican","Protestant","","Yes","Unknown","","","","","","",""
5770,"Democratic","","","Unknown","Unknown","","","","","","",""
1106,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
5737,"Republican","","","Unknown","Unknown","","","","","","",""
749,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
5109,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
3165,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
3725,"Republican","Catholic","","Yes","Unknown","","","","","","",""
1955,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
823,"Republican","","","Unknown","Unknown","","","","","","",""
3131,"Democratic","","","Unknown","Unknown","","","","","","",""
4261,"Democratic","Protestant","","Yes","Unknown","","","","","","",""
1285,"Democratic","","","Unknown","Unknown","","","","","","",""
5797,"Democratic","","","Unknown","Unknown","","","","","","",""
112,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
1271,"Republican","Jewish","","Yes","Unknown","","","","","","",""
1438,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
4512,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
431,"Democratic","","","Unknown","Unknown","","","","","","",""
5322,"Democratic","Protestant","","Yes","Unknown","","","","","","",""
1862,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
1213,"Democratic","Jewish","","Unknown","Unknown","","","","","","",""
4887,"Democratic","Protestant","Yes","Unknown","Unknown","","","","","","",""
1552,"Republican","Protestant","","Yes","Unknown","","","","","","",""
978,"Democratic","","","Unknown","Unknown","","","","","","",""
2818,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
4355,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
3162,"Democratic","Protestant","","Yes","Unknown","","","","","","",""
2658,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
3630,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
3183,"Democratic","Jewish","Yes","Unknown","Unknown","","","","","","",""
655,"Democratic","","","Unknown","Unknown","","","","","","",""
2210,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
4313,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
4346,"Democratic","","","Unknown","Unknown","","","","","","",""
1557,"Republican","","","Unknown","Unknown","","","","","","",""
2219,"Democratic","Protestant","Yes","Unknown","Unknown","","","","","","",""
436,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
4395,"Republican","","","Unknown","Unknown","","","","","","",""
3721,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
5496,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
4295,"Democratic","","","Unknown","Unknown","","","","","","",""
5840,"Republican","","","Yes","Unknown","","","","","","",""
828,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
3911,"Republican","","","Unknown","Unknown","","","","","","",""
3483,"Republican","","","Unknown","Unknown","","","","","","",""
3997,"Republican","Catholic","","Unknown","Unknown","","","","","","",""
4726,"Democratic","Jewish","","Unknown","Unknown","","","","","","",""
875,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
2149,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
3952,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
3405,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
2494,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
712,"Democratic","Catholic","Yes","Unknown","Unknown","","","","","","",""
3329,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
2726,"Republican","","","Unknown","Unknown","","","","","","",""
5221,"Democratic","","","Unknown","Unknown","","","","","","",""
4585,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
4193,"Republican","","","Yes","Unknown","","","","","","",""
480,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
1291,"Democratic","Protestant","","Yes","Unknown","","","","","","",""
277,"Democratic","","","Yes","Unknown","","","","","","",""
3138,"Democratic","","","Unknown","Yes","","","","","","",""
767,"Republican","Protestant","Yes","Unknown","Unknown","","","","","","",""
169,"Democratic","","","Unknown","Unknown","","","","","","",""
1581,"Republican","","","Yes","Unknown","","","","","","",""
4300,"Democratic","","","Unknown","Unknown","","","","","","",""
920,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
4629,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
4469,"Democratic","","","Unknown","Unknown","","","","","","",""
3454,"Democratic","","","Unknown","Unknown","","","","","","",""
5869,"Republican","","","Unknown","Unknown","","","","","","",""
2253,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
5814,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
3442,"Republican","Catholic","","Unknown","Unknown","","","","","","",""
4108,"Republican","","","Yes","Unknown","","","","","","",""
1604,"Democratic","","","Unknown","Unknown","","","","","","",""
3578,"Republican","Catholic","Yes","Unknown","Unknown","","","","","","",""
3668,"Democratic","","","Unknown","Unknown","","","","","","",""
1975,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
4520,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
5440,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
2155,"Democratic","Protestant","Yes","Unknown","Unknown","","","","","","",""
572,"Republican","Protestant","","Yes","Unknown","","","","","","",""
1275,"Republican","Protestant","","Unknown","Unknown","","","","","Liberal","",""
2446,"Republican","","Yes","Yes","Unknown","","","","","","",""
3278,"Republican","","","Unknown","Unknown","","","","","","",""
5291,"Democratic","Jewish","","Unknown","Unknown","","","","","","",""
5989,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
4775,"Republican","Catholic","Yes","Unknown","Unknown","","","","","","",""
366,"Republican","","","Unknown","Unknown","","","","","","",""
460,"Republican","Protestant","","Yes","Unknown","","","","","","",""
3752,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
4441,"Republican","Protestant","","Unknown","Unknown","","","","","","","Yes"
5946,"Republican","","","Unknown","Unknown","","","","","","",""
3539,"Democratic","Catholic","Yes","Unknown","Unknown","","","","","","",""
452,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
2402,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
315,"Non-Partisan","","","Unknown","Unknown","","","","","","",""
2183,"Non-Partisan","","","Unknown","Unknown","","","","","","",""
3537,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
1109,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
39,"Republican","","","Unknown","Unknown","","","","","","",""
1174,"Democratic","Jewish","","Unknown","Unknown","","","","","","",""
1893,"Republican","","","Unknown","Unknown","","","","","","",""
2442,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
4658,"Democratic","Jewish","Yes","Unknown","Unknown","","","","","","",""
3458,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
2838,"Republican","Protestant","","Yes","Unknown","","","","","","",""
3082,"Republican","Catholic","","Unknown","Unknown","","","","","","",""
4153,"Democratic","Protestant","","Yes","Unknown","","","","","","",""
2568,"Democratic","","","Yes","Unknown","","","","","","",""
5085,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
4311,"Republican","Protestant","","Yes","Unknown","","","","","","",""
3788,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
2434,"Democratic","Jewish","","Unknown","Unknown","","","","","","",""
3434,"Democratic","","","Unknown","Unknown","","","","","","",""
140,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
2326,"Democratic","Protestant","","Yes","Unknown","","","","","","",""
1437,"Republican","Protestant","","Yes","Unknown","","","","","","",""
1782,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
3054,"Democratic","","","Unknown","Unknown","","","","","","",""
1524,"Democratic","","","Unknown","Unknown","","","","","","",""
2349,"Democratic","Buddhist","","Yes","Unknown","","","","","","",""
2052,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
351,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
5148,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
5263,"Republican","Protestant","","Yes","Unknown","","","","","","",""
3786,"Republican","Protestant","","Yes","Unknown","","","","","","",""
2772,"Democratic","","","Unknown","Unknown","","","","","","",""
3415,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
5703,"Republican","Protestant","","Yes","Unknown","","","","","","",""
569,"Republican","Catholic","","Unknown","Unknown","","","","","","",""
4474,"Republican","Catholic","","Unknown","Unknown","","","","","","",""
3028,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
3142,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
4062,"Republican","Protestant","Yes","Yes","Yes","","","","","","",""
4702,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
912,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
100,"Democratic","","","Unknown","Unknown","","","","","","",""
1569,"Republican","Catholic","","Unknown","Unknown","","","","","","",""
4890,"Democratic","","","Unknown","Unknown","","","","","","",""
4715,"Democratic","","","Yes","Unknown","","","","","","",""
2792,"Democratic","Jewish","","Yes","Unknown","","","","","","",""
939,"Democratic","Jewish","","Yes","Yes","","","","","","",""
5853,"Republican","Protestant","Yes","Unknown","Unknown","","","","","","",""
4086,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
3498,"Democratic","Protestant","Yes","Unknown","Yes","","","","","","",""
4033,"Democratic","","","Unknown","Unknown","","","","","","",""
2360,"Democratic","Protestant","Yes","Yes","Unknown","","","","","","",""
4930,"Republican","Protestant","Yes","Unknown","Unknown","","","","","","",""
1910,"Democratic","Protestant","","Yes","Unknown","","","","","","",""
563,"Democratic","Catholic","","Yes","Unknown","","","","","","",""
2241,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
3296,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
1748,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
4357,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
4188,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
5670,"Democratic","","","Unknown","Unknown","","","","","","",""
5102,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
3437,"Republican","","","Unknown","Unknown","","","","","","",""
1799,"Democratic","Jewish","Yes","Unknown","Unknown","","","","","","",""
895,"Republican","","","Unknown","Unknown","","","","","","",""
4976,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
3107,"Democratic","","","Unknown","Unknown","","","","","","",""
5034,"Non-Partisan","Catholic","Yes","Unknown","Unknown","","","","","","",""
1594,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
3950,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
4545,"Republican","","","Unknown","Unknown","","","","","","",""
1600,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
1994,"Republican","Protestant","","Unknown","Unknown","","","","","Liberal","",""
4611,"Republican","","","Yes","Unknown","","","","","","",""
5528,"Non-Partisan","Protestant","","Unknown","Unknown","","","","","","",""
1290,"Republican","Catholic","Yes","Unknown","Unknown","","","","","","",""
2928,"Republican","","","Unknown","Unknown","","","","","","",""
2157,"Democratic","Protestant","Yes","Unknown","Unknown","","","","","","",""
2361,"Democratic","","","Unknown","Yes","","","","","Conservative","",""
5023,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
2708,"Republican","","","Unknown","Unknown","","","","","","",""
3996,"Democratic","","","Unknown","Unknown","","","","","","",""
2618,"Democratic","Protestant","Yes","Unknown","Unknown","","","","","","",""
2013,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
1658,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
3447,"Non-Partisan","","","Unknown","Unknown","","","","","","",""
5523,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
5404,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
5529,"Republican","","","Yes","Unknown","","","","","","",""
2279,"Republican","","","Yes","Unknown","","","","","","",""
679,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
2347,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
278,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
4485,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
957,"Democratic","Hindu","","Unknown","Unknown","","","","","","",""
3414,"Democratic","Protestant","Yes","Unknown","Unknown","","","","","","",""
4638,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
1633,"Democratic","","","Unknown","Unknown","","","","","","",""
5448,"Democratic","","","Unknown","Unknown","","","","","","",""
2138,"Republican","Protestant","Yes","Unknown","Unknown","","","","","","",""
3205,"Democratic","Protestant","Yes","Unknown","Unknown","","","","","","",""
1236,"Democratic","Catholic","","Unknown","Unknown","","","","","","",""
736,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
3804,"Democratic","","","Unknown","Unknown","","","","","","",""
4422,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
1064,"Republican","Protestant","","Yes","Unknown","","","","","","",""
677,"Republican","Catholic","","Unknown","Unknown","","","","","","",""
4274,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
2934,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
2110,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
2207,"Republican","","","Unknown","Unknown","","","","","","",""
5209,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
373,"Democratic","Catholic","","Yes","Unknown","","","","","Liberal","",""
3444,"Democratic","Protestant","","Yes","Unknown","","","","","","",""
2223,"Republican","Catholic","","Unknown","Yes","","","","","","","Yes"
1435,"Republican","Protestant","","Unknown","Unknown","","","","","","",""
5328,"Republican","Protestant","Yes","Unknown","Unknown","","","","","","",""
1477,"Democratic","Protestant","","Unknown","Unknown","","","","","","",""
