date,fruit_sales_7
3/25/20,102038
4/1/20,102633
4/8/20,101680
4/15/20,100971
4/22/20,97148
4/29/20,95744
5/6/20,92128
5/13/20,90182
5/20/20,89406
5/27/20,87536
6/3/20,88526
6/10/20,89033
6/17/20,90677
6/24/20,91613
7/1/20,90939
7/8/20,90527
7/15/20,88426
7/22/20,85503
7/29/20,80421
8/5/20,79918
8/12/20,76606
8/19/20,76929
8/26/20,78589
9/2/20,78942
9/9/20,80852
9/16/20,79093
9/23/20,80604
9/30/20,78121
10/7/20,76944
10/14/20,74552
10/21/20,70950
10/28/20,67264
11/4/20,66257
11/11/20,66868
11/18/20,67295
11/25/20,68689
12/2/20,68345
12/9/20,69101
12/16/20,69646
12/23/20,68452
12/30/20,64872
1/6/21,63698
1/13/21,59795
1/20/21,57843
1/27/21,56372
2/3/21,56432
2/10/21,55740
2/17/21,57371
2/24/21,58921
3/3/21,59720
3/10/21,57859
3/17/21,57156
3/24/21,54116
3/31/21,52392
4/7/21,49998
4/14/21,45084
4/21/21,45879
4/28/21,44746
5/5/21,45034
5/12/21,46836
5/19/21,48369
5/26/21,46167
6/2/21,48131
6/9/21,47784
6/16/21,43927
6/23/21,41841
6/30/21,38456
7/7/21,35557
7/14/21,35873
7/21/21,35648
7/28/21,33380
8/4/21,36091
8/11/21,36548
8/18/21,36796
8/25/21,36112
9/1/21,35262
9/8/21,32660
9/15/21,31127
9/22/21,27544
9/29/21,25515
10/6/21,23290
10/13/21,23870
10/20/21,23717
10/27/21,23563
11/3/21,25110
11/10/21,27086
11/17/21,26523
11/24/21,24691
12/1/21,22556
12/8/21,19514
12/15/21,17615
12/22/21,13600
12/29/21,11564
1/5/22,13442
1/12/22,14837
1/19/22,14799
1/26/22,14675
2/2/22,15359
2/9/22,16685
2/16/22,14271
2/23/22,11517
3/2/22,8674
3/9/22,6196
3/16/22,2071
3/23/22,1587
3/30/22,1629
4/6/22,1884
4/13/22,4906
4/20/22,3273
4/27/22,5360
5/4/22,3029
5/11/22,2538
5/18/22,1659
5/25/22,-1295
6/1/22,-3471
6/8/22,-7588
6/15/22,-8308
6/22/22,-10203
6/29/22,-8480
7/6/22,-8177
7/13/22,-6665
7/20/22,-6780
7/27/22,-6693
8/3/22,-6377
8/10/22,-10778
8/17/22,-13350
8/24/22,-15284
8/31/22,-18786
9/7/22,-18985
9/14/22,-20781
9/21/22,-18851
9/28/22,-17382
10/5/22,-16758
10/12/22,-17533
10/19/22,-17430
10/26/22,-18702
11/2/22,-20047
11/9/22,-24409
11/16/22,-26893
11/23/22,-28829
11/30/22,-29636
12/7/22,-29865
12/14/22,-30439
12/21/22,-27708
12/28/22,-28006
1/4/23,-28886
1/11/23,-27495
1/18/23,-28806
1/25/23,-30379
2/1/23,-33563
2/8/23,-37799
2/15/23,-40870
2/22/23,-40288
3/1/23,-40784
3/8/23,-40493
3/15/23,-39124
3/22/23,-39695
3/29/23,-37573
4/5/23,-38822
4/12/23,-40193
4/19/23,-41333
4/26/23,-44395
5/3/23,-46449
5/10/23,-51983
5/17/23,-50244
5/24/23,-52754
5/31/23,-50301
6/7/23,-50251
6/14/23,-50906
6/21/23,-48420
6/28/23,-49876
7/5/23,-49686
7/12/23,-54940
7/19/23,-56745
7/26/23,-57759
8/2/23,-60977
8/9/23,-62011
8/16/23,-62099
8/23/23,-63926
8/30/23,-61791
9/6/23,-61955
9/13/23,-59179
9/20/23,-60185
9/27/23,-61173
10/4/23,-63994
10/11/23,-64772
10/18/23,-70622
10/25/23,-71974
11/1/23,-73146
11/8/23,-74516
11/15/23,-73856
11/22/23,-72169
11/29/23,-70467
12/6/23,-70742
12/13/23,-71355
12/20/23,-72654
12/27/23,-74861
1/3/24,-78335
1/10/24,-80107
1/17/24,-82777
1/24/24,-84286
1/31/24,-84630
2/7/24,-83041
2/14/24,-83096
2/21/24,-80126
2/28/24,-80933
3/6/24,-82398
3/13/24,-82674
