"id","date_account_created","timestamp_first_active","date_first_booking","gender","age","signup_method","signup_flow","language","affiliate_channel","affiliate_provider","first_affiliate_tracked","signup_app","first_device_type","first_browser","income","job_sector","education_level","age_isBad","country_destination"
"h39zx0jq8i","2011-02-15",2011-02-15 21:29:50,"2011-02-17","OTHER",25,"basic",0,"en","content","google","untracked","Web","Other","IE",141226.415509097," Hospitality","Master",0,"US"
"05pa0vpjhq","2014-04-30",2014-04-30 04:17:21,"2014-05-01","MALE",36,"basic",0,"en","sem-brand","google","omg","Web","Apple","Safari",-16589.9512936423,"Healthcare","None",0,"EU"
"l0pxojo5q9","2013-03-29",2013-03-29 15:50:40,"2013-03-31","FEMALE",50,"basic",0,"en","direct","direct","linked","Web","Apple","Mobile Safari",212267.990832165,"IT","Bachelor",0,"US"
"wt299br0o9","2013-02-10",2013-02-10 20:40:55,"2013-07-01","-unknown-",52,"basic",25,"en","direct","direct","untracked","iOS","Apple","-unknown-",148838.199828864,"Retail","Bachelor",1,"US"
"z1b9lyf64n","2012-05-01",2012-05-01 07:55:42,"2012-05-02","MALE",42,"facebook",0,"en","direct","direct","untracked","Web","Other","Chrome",95752.6195820757,"Engineering","Highschool",0,"US"
"6xwsavyztv","2012-07-03",2012-07-03 07:15:10,"2012-07-03","MALE",37,"facebook",3,"en","direct","direct","untracked","Web","Apple","Safari",29714.0676783181,"Engineering","Master",0,"EU"
"hcrr9sfkf8","2014-05-07",2014-05-07 23:03:11,"2014-05-21","-unknown-",52,"basic",0,"en","sem-brand","google","omg","Web","Other","Chrome",46948.6488749034,"Retail","Highschool",1,"EU"
"pltin4f70w","2011-04-08",2011-04-08 01:14:58,"2011-04-08","-unknown-",52,"basic",3,"en","direct","direct","untracked","Web","Apple","Mobile Safari",16290.9582246926,"Healthcare","Bachelor",1,"EU"
"9hsa2qixjw","2014-06-14",2014-06-14 06:46:30,"2015-02-13","FEMALE",27,"facebook",25,"en","direct","direct","untracked","iOS","Apple","-unknown-",1969.35247977931,"Retail","None",0,"EU"
"czlz6mxa29","2013-08-01",2013-08-01 03:34:28,"2013-08-01","MALE",45,"basic",0,"en","sem-non-brand","google","omg","Web","Other","Chrome",63230.2149371585,"IT","PhD",0,"EU"
"9cdzlstydi","2014-06-05",2014-06-05 22:16:42,"2014-06-06","FEMALE",61,"basic",0,"en","direct","direct","linked","Web","Apple","Safari",181377.744430583,"Retail","Bachelor",0,"US"
"hv6vqbkxmw","2013-12-14",2013-12-14 02:08:58,"2014-01-11","FEMALE",38,"facebook",0,"en","direct","direct","linked","Web","Apple","Firefox",271059.373976685,"Engineering","Bachelor",0,"US"
"dnl03ti6jh","2014-01-17",2014-01-17 02:38:46,"2014-01-17","-unknown-",52,"basic",0,"en","sem-non-brand","google","omg","Web","Other","IE",26452.726159602,"Retail","Bachelor",1,"EU"
"s6yfp99xta","2012-05-18",2012-05-18 18:26:16,"2012-05-21","-unknown-",52,"basic",0,"en","direct","direct","untracked","Web","Other","Firefox",-18824.3748662591,"Education","None",1,"EU"
"p4oo7gpuxc","2014-05-08",2014-05-08 18:13:28,"2014-05-21","-unknown-",35,"basic",0,"en","direct","direct","untracked","Web","Apple","Chrome",16645.56342404,"Education","Master",0,"US"
"llw86uom0c","2013-03-27",2013-03-27 18:18:22,"2013-04-02","MALE",32,"basic",0,"en","direct","direct","untracked","Web","Other","Chrome",5084.78999153132,"Education","Associate",0,"US"
"895cnxfutc","2013-07-04",2013-07-04 02:18:10,"2013-07-07","-unknown-",52,"basic",0,"en","sem-brand","google","omg","Web","Other","Firefox",-1418.46345982237,"Healthcare","Associate",1,"US"
"l58ud6fthc","2014-03-11",2014-03-11 05:25:35,"2014-03-11","-unknown-",52,"basic",0,"en","direct","direct","untracked","Web","Apple","Mobile Safari",104691.901579089,"Retail","PhD",1,"US"
"ann5o98mib","2014-06-08",2014-06-08 02:11:02,"2014-06-13","-unknown-",52,"basic",0,"en","direct","direct","untracked","Web","Other","Chrome",50346.9854367206,"IT","PhD",1,"EU"
"w524i8gbal","2012-12-24",2012-12-24 03:29:08,"2012-12-24","FEMALE",34,"facebook",0,"en","direct","direct","untracked","Web","Apple","Safari",58106.7062161219," Hospitality","PhD",0,"US"
"q9wnrcg757","2011-03-28",2011-03-28 09:46:16,"2011-04-03","-unknown-",25,"basic",2,"en","direct","direct","untracked","Web","Apple","Mobile Safari",26667.040396597,"Healthcare","Highschool",0,"EU"
"37ehd2gswd","2012-12-07",2012-12-07 18:25:17,"2012-12-08","-unknown-",52,"basic",0,"en","direct","direct","untracked","Web","Other","IE",42924.3297742232,"Education","Master",1,"EU"
"v5gwu4dpam","2011-05-31",2011-05-31 22:15:24,"2011-06-02","FEMALE",52,"basic",0,"en","direct","direct","linked","Web","Other","Firefox",93114.6108906503," Hospitality","Master",1,"EU"
