date,fruit_sales_4
4/1/20,273363
5/1/20,294080
6/1/20,297791
7/1/20,294454
8/1/20,277566
9/1/20,248906
10/1/20,232628
11/1/20,214948
12/1/20,214367
1/1/21,219571
2/1/21,235866
3/1/21,264554
4/1/21,284483
5/1/21,305005
6/1/21,316188
7/1/21,310120
8/1/21,296916
9/1/21,265345
10/1/21,247764
11/1/21,230384
12/1/21,223776
1/1/22,227430
2/1/22,249362
3/1/22,275733
4/1/22,299917
5/1/22,314967
6/1/22,317130
7/1/22,312444
8/1/22,301216
9/1/22,279646
10/1/22,256031
11/1/22,230437
12/1/22,236731
1/1/23,238276
2/1/23,264674
3/1/23,277138
4/1/23,309759
5/1/23,321074
6/1/23,342823
7/1/23,333714
8/1/23,315021
9/1/23,292045
10/1/23,267023
11/1/23,248386
12/1/23,243903
1/1/24,253366
2/1/24,266093
3/1/24,302192
