"id","date_account_created","timestamp_first_active","date_first_booking","gender","age","signup_method","signup_flow","language","affiliate_channel","affiliate_provider","first_affiliate_tracked","signup_app","first_device_type","first_browser","income","job_sector","education_level","age_isBad","country_destination"
"0b1twtz73a","2014-04-17",2014-04-17 10:51:58,"2014-04-17","FEMALE",52,"basic",0,"en","sem-brand","google","omg","Web","Apple","Mobile Safari",-27090.2644183973,"IT","Highschool",0,"ES"
"pcs0b2ka3w","2014-06-25",2014-06-25 13:51:25,"2014-06-25","MALE",23,"facebook",25,"en","direct","direct","untracked","iOS","Apple","-unknown-",41326.9960973188,"Education","Master",0,"FR"
"tqc5nwhhto","2013-07-14",2013-07-14 15:07:03,"2013-09-04","MALE",35,"basic",24,"en","direct","direct","untracked","Moweb","Apple","Safari",-40231.7300236749," Hospitality","Master",0,"FR"
"2q5rgwgi33","2012-10-30",2012-10-30 20:17:07,"2012-11-05","FEMALE",49,"basic",0,"en","direct","direct","linked","Web","Other","IE",-23154.1621918835,"Education","Master",0,"US"
"1zn38ova7d","2012-08-27",2012-08-27 22:15:07,"2012-08-30","FEMALE",40,"basic",0,"en","direct","direct","linked","Web","Apple","Mobile Safari",19871.1058986464,"IT","None",0,"NL"
"vrvok88hzk","2014-05-15",2014-05-15 23:42:49,"2014-06-04","FEMALE",19,"basic",25,"en","direct","direct","untracked","iOS","Apple","-unknown-",25371.3691442023," Hospitality","Bachelor",0,"FR"
"6bju1gm7qj","2014-04-28",2014-04-28 00:54:16,"2014-04-28","MALE",23,"facebook",0,"en","seo","google","untracked","Web","Apple","Chrome",69750.8320244438,"Healthcare","None",0,"DE"
"bnhahr19t0","2012-12-26",2012-12-26 10:26:15,"2012-12-30","FEMALE",34,"basic",0,"en","direct","direct","untracked","Web","Apple","Safari",32258.9419302821,"IT","Bachelor",0,"GB"
"z8nnim0t6d","2011-04-27",2011-04-27 21:15:20,"2011-04-27","-unknown-",51,"facebook",3,"en","direct","direct","omg","Web","Other","Chrome",227749.072933407,"Engineering","Master",1,"US"
"ix3w2iveri","2012-07-11",2012-07-11 04:40:17,"2012-07-12","FEMALE",31,"basic",0,"en","direct","direct","untracked","Web","Other","Chrome",31519.5587564623,"Engineering","Highschool",0,"US"
"p56foyfkvr","2013-10-27",2013-10-27 22:47:36,"2014-10-10","FEMALE",23,"facebook",0,"en","direct","direct","untracked","Web","Apple","Safari",96545.86795946,"Retail","None",0,"US"
"axz1xdlfu3","2013-09-09",2013-09-09 02:16:51,"2013-09-19","FEMALE",40,"basic",0,"en","sem-brand","google","untracked","Web","Apple","Safari",59408.8874223526,"Education","None",0,"US"
"adq3fs768r","2014-05-08",2014-05-08 07:11:35,"2014-05-09","-unknown-",51,"basic",25,"en","direct","direct","untracked","iOS","Apple","-unknown-",-20089.4982321835,"Retail","PhD",1,"US"
"4um09laxoa","2014-05-19",2014-05-19 04:52:15,"2014-05-19","-unknown-",29,"basic",0,"en","direct","direct","untracked","Web","Android","-unknown-",-40922.4489652678,"Engineering","Master",0,"IT"
"mvwu9k7s37","2014-05-01",2014-05-01 17:12:58,"2014-05-01","-unknown-",51,"basic",0,"en","sem-brand","google","tracked-other","Web","Apple","Safari",36960.8314088788,"Engineering","PhD",1,"FR"
