"endTime","startTime","text"
3948,232,"I'd rather keep it real with ya"
9958,7311,"Real hot girl shit, ah"
14042,12048,"It ain't always about what you like, sometimes it's about what's right"
15810,14092,"Helluva made this beat, baby"
15668,15622,"Huh"
18248,15810,"I'd rather be a B-I-T-C-H (I'd rather keep it real with ya)"
20826,18666,"'Cause that's what you gon' call me when I'm trippin' anyway"
23984,21499,"You know you can't control me, baby, you need a real one in your life"
26631,24889,"Them bitches ain't gon' give it to you right"
29487,26956,"I'd rather be a B-I-T-C-H (I'd rather keep it real with ya)"
31716,29836,"'Cause that's what you gon' call me when I'm trippin' anyway"
35130,32459,"You know you can't control me, baby, you need a real one in your life"
37801,35966,"Them bitches ain't gon' give it to you right (Ayy)"
40099,38195,"Why you wanna play with me? You know I'm undefeated"
42794,40773,"A real hot girl know how to keep a nigga heated"
45720,43560,"You say you want respect, well, treat me how you wanna be treated"
48252,46301,"You told me keep it real, but you don't practice what you preachin'"
51272,49065,"You want me to blow your phone up and come a-lookin' for you 'til I find ya"
54033,51828,"You really want me to whoop the ho that you fuckin' with if I find her"
56681,54707,"Bitch, you ain't that busy, I don't give a fuck what you ain't got time for"
59839,57400,"You look me in my eyes and know you lying, man, that's fraud, bruh"
62487,59955,"Man, you knew I was a player 'fore you met me, need to relax"
65064,62881,"You know that you gon' hate me if I get to playin' get-back"
68015,65506,"I ain't turn into no bad bitch when you met me, boy, I been that"
71058,68433,"You tryna make me somethin' that I ain't, and I ain't with that (Nah)"
74359,71108,"I'd rather be a B-I-T-C-H (I'd rather keep it real with ya)"
75912,73868,"'Cause that's what you gon' call me when I'm trippin' anyway"
79326,76655,"You know you can't control me, baby, you need a real one in your life"
81787,80069,"Them bitches ain't gon' give it to you right"
84644,82089,"I'd rather be a B-I-T-C-H (I'd rather keep it real with ya)"
86966,84899,"'Cause that's what you gon' call me when I'm trippin' anyway"
90380,87639,"You know you can't control me, baby, you need a real one in your life"
92865,91146,"Them bitches ain't gon' give it to you right"
95878,93555,"I got my mind on gettin' paid, we ain't spoke in some days"
98408,96341,"He probaby thinkin' I'm in pain, but I'm really on game"
101219,99244,"Ain't no nigga finna stop me, independent, I got me"
104121,101985,"All the shit that I be needin', can't depend on a ""probably"""
106908,104771,"And that's fucked up, 'cause you know that I don't fuck with nobody"
109577,107488,"I be quiet, but you out here tellin' stories, one-sided"
112248,110320,"I ain't perfect and I try to fix the shit that ain't workin'"
115081,112990,"But it's 2020, I ain't finna argue 'bout twerkin'"
117937,115754,"Since you wanna test them waters, might as well jump in with both feet"
120817,118564,"If you leave me and you see me, better act like you don't know me"
123976,121328,"If you think this shit get better with another bitch, go get her (Go and get her)"
125671,124025,"When you realize she ain't got you like I got you, I can't help ya"
129038,126274,"I'd rather be a B-I-T-C-H (I'd rather keep it real with ya)"
131179,129042,"'Cause that's what you gon' call me when I'm trippin' anyway"
134593,131759,"You know you can't control me, baby, you need a real one in your life"
136961,135266,"Them bitches ain't gon' give it to you right"
140143,137309,"I'd rather be a B-I-T-C-H (I'd rather keep it real with ya)"
142167,140100,"'Cause that's what you gon' call me when I'm trippin' anyway"
145581,142817,"You know you can't control me, baby, you need a real one in your life"
147974,146185,"Them bitches ain't gon' give it to you right"
150691,148392,"I'd rather be a B-I-T-C-H (I'd rather keep it real with ya)"
153153,151086,"'Cause that's what you gon' call me when I'm trippin' anyway"
156567,153826,"You know you can't control me, baby, you need a real one in your life"
158982,157357,"Them bitches ain't gon' give it to you right"
163903,159445,"I'd rather be a B-I-T-C-H (I'd rather keep it real with ya)"
167736,165855,"Oh, oh, oh"
170361,168549,"Oh, oh, oh"
174983,171289,"I'd rather keep it real with ya"
178604,176817,"Oh, oh, oh"
181762,179603,"Oh, oh, oh"
