"endTime","startTime","text"
14274,0,"..."
16270,14274,"Y'all know me, still the same O.G."
17363,16412,"But I been low key"
19895,17434,"Hated on by most these niggaz wit no cheese"
21173,20013,"No deals and no G's"
22637,21384,"No wheels and no keys"
24845,22709,"No boats no snowmobiles, and no ski's"
26727,25151,"Mad at me cause I can finally afford to"
28517,26824,"Provide my family wit groceries"
30990,28788,"Got a crib wit a studio and it's all full of tracks"
32708,31243,"To add to the wall full of plaques"
33940,32989,"Hangin up in the office"
35636,34011,"In back of my house like trophies"
37518,35757,"Did y'all think I'ma let my dough freeze?"
38286,37591,"Hoe please"
40255,38444,"You better bow down on both knees"
41996,40278,"Who you think taught you to smoke trees?"
43737,42042,"Who you think brought you the oldies?"
46546,43969,"Eazy-E's, Ice Cube's, and D.O.C's"
47776,46570,"The snoop d-o-double-g's"
50121,47776,"And the group that said ""mother fuck tha police"""
51745,50190,"Gave you a tape full of dope beats"
53277,51699,"To bump when you stroll through in your hood"
54390,53369,"And when your album sales"
55297,54415,"Wasn't doin' too good"
57223,55366,"Who's the doctor they told you to go see?"
58964,57318,"Y'all better listen up closely"
60659,59012,"All you niggaz that said that I turned pop"
61778,60803,"Or the firm flopped"
62857,61882,"Y'all are the reason that"
64368,62882,"Dre ain't been gettin' no sleep"
66111,64393,"So fuck y'all, all of y'all"
67947,66346,"If y'all don't like me, blow me"
69790,68095,"Y'all are gonna keep fuckin' around wit me"
71662,69758,"And turn me back to the old me"
73239,71986,"Nowadays everybody want to talk"
74425,73357,"Like they got somethin' to say"
75079,74336,"But nothin' comes out"
75893,75174,"When they move their lips"
76755,76036,"Just a bunch of gibberish"
77500,76920,"And motherfuckers act"
78662,77641,"Like they forgot about Dre"
80384,79061,"Nowadays everybody want to talk"
81548,80503,"Like they got somethin' to say"
82149,81430,"But nothin' comes out"
83009,82290,"When they move their lips"
84032,83150,"Just a bunch of gibberish"
84730,84151,"And motherfuckers act"
85892,84871,"Like they forgot about Dre"
86590,85988,"So what do you say"
87870,86524,"To somebody you hate (what?)"
89291,87805,"Or anyone tryin' to bring trouble your way?"
90290,89571,"Want to resolve things"
91195,90313,"In a bloodier way? (yup)"
92962,91337,"Then just study a tape of N.W.A"
95653,93522,"One day I was walkin' by, wit a walkman on"
96653,95771,"When I caught a guy"
97401,96519,"Givin' me an awkward eye"
99281,97403,"And strangled him off in the parkin' lot"
100141,99306,"Wit his Karl Kani"
101848,100320,"I don't give a fuck if it's dark or not"
103914,102150,"I'm harder than me tryin' to park a dodge"
104769,103794,"When I'm drunk as fuck"
106278,104932,"Right next to a humongous truck"
107138,106256,"In a two-car garage"
109043,107581,"Hoppin out wit two broken legs,"
109787,109207,"Tryin' to walk it off"
111855,110230,"""Fuck you too bitch, call the cops!"""
113405,112135,"I'ma kill you and them loud ass"
114637,113454,"Motherfuckin' barkin' dogs"
115725,114843,"And when the cops came through"
117630,115866,"Me and Dre stood next to a burnt down house"
119883,118096,"Wit a can full of gas and a hand full of matches"
121874,120326,"And still weren't found out (right here)"
123615,121758,"From here on out it's the chronic two"
125425,123684,"Startin' today and tomorrow's the new"
126330,125448,"And I'm still loco enough"
128415,126605,"To choke you to death wit a Charleston chew"
131687,128971,"Slim shady - hotter then a set of twin babies"
133939,131873,"In a Mercedes Benz wit the windows up"
135773,133800,"When the temp goes up to the mid 80's"
139117,136052,"Callin' men ladies; sorry doc but I been crazy"
140717,139162,"There's no way that you can save me"
143480,141019,"It's okay, go with him hailey (da-da?)"
145058,143713,"Nowadays everybody want to talk"
146058,145083,"Like they got somethin' to say"
146632,146053,"But nothin' comes out"
147472,146892,"When they move their lips"
148653,147613,"Just a bunch of gibberish"
149373,148630,"And motherfuckers act"
150558,149374,"Like they forgot about Dre"
152157,150861,"Nowadays everybody wanna talk"
153250,152275,"Like they got something to say"
153942,153223,"But nothin' comes out"
154641,153922,"When they move they lips"
156053,154782,"Just a buncha gibberish"
156476,155757,"And muthafuckas act"
157617,156596,"Like they forgot about Dre"
158325,157598,"If it was up to me"
160021,158443,"You muh'fuckers would stop comin' up to me"
161434,160041,"Wit your hands out lookin' up to me"
162526,161505,"Like you want somethin' free"
163685,162664,"When my last cd was out,"
164730,163686,"You wasn't bumpin' me"
166585,164872,"But now that I got this little company"
167955,166469,"Everybody want to come to me"
168722,167887,"Like it was some disease"
170140,168794,"But you won't get a crumb from me"
171784,170113,"Cause I'm from the streets of The Compton"
173869,171965,"I told em all - all them little gangstas"
175377,173845,"Who you think helped mold 'em all?"
176838,175260,"Now you want to run around talkin' 'bout guns"
177839,176864,"Like I ain't got none"
179229,177860,"What you think I sold 'em all?"
180157,179020,"Cause I stay well off"
181201,180180,"Now all I get is hate mail"
182572,181388,"All day sayin' Dre fell off"
183919,182875,"What 'cause I been in the lab"
184803,184060,"Wit a pen and a pad"
186199,184876,"Tryin' to get this damn label off?"
187059,186340,"I ain't havin' that"
188824,187362,"This is the millennium of aftermath"
189135,189130,"It ain't gon' be nothin' after that"
191222,190666,"So give me one more"
192570,191386,"Platinum plaque and fuck rap!"
193269,192526,"You can have it back"
195174,193712,"So where's all the madd rappers at?"
196851,195478,"It's like a jungle in this habitat"
198014,197110,"But all you savage cats"
199154,198064,"Know that I was strapped wit gats"
200939,199082,"When you were cuddlin' a cabbage patch"
202424,201078,"Nowadays everybody want to talk"
203470,202449,"Like they got somethin' to say"
