"endTime","startTime","text"
3031,1267,"Hi! My name is (what?)"
4401,3081,"My name is (who?)"
5913,4451,"My name is"
6932,5613,"Slim Shady"
8302,6982,"Hi! My name is (huh?)"
9788,8352,"My name is (what?)"
11599,9838,"My name is"
12784,11649,"Slim Shady"
14293,12834,"Hi! My name is (what?)"
15640,14343,"Excuse me, (my name is) (who? My name is)"
17920,16736,"Slim Shady"
19477,17620,"Can I get the attention of the class"
21471,20496,"For one second"
26750,23639,"Hi kids! Do you like violence? (Yeah yeah yeah!)"
27732,25921,"Wanna see me stick Nine inch Nails,"
29103,27803,"Through each one of my eyelids? (Uh-huh!)"
32432,29460,"Wanna copy me and do exactly like I did? (Yeah yeah!)"
35005,32132,"Try 'cid and get fucked up worse that my life is? (Huh?)"
37536,35055,"My brain's dead weight, I'm tryin' to get my head straight"
40697,37586,"But I can't figure out which Spice Girl I want to impregnate (Oh)"
43852,40560,"And Dr. Dre said, ""Slim Shady you a base-head!"" Uh-uh"
45527,43902,"""So why's your face red? Man you wasted!"""
48496,45926,"Well since age twelve, I've felt like I'm someone else"
51352,48546,"'Cause I hung my original self from the top bunk with a belt"
54347,51659,"Got pissed off and ripped Pamela Lee's tits off"
55372,54397,"And smacked her so hard"
57440,55490,"I knocked her clothes backwards like Kris Kross"
59064,57532,"I smoke a fat pound of grass"
61318,59089,"And fall on my ass, faster than a fat bitch"
62753,61157,"Who sat down too fast"
65748,62803,"C'mere slut! (Shady, wait a minute, that's my girl dog!)"
68442,65798,"I don't give a fuck, God sent me to piss the world off"
69928,68492,"Hi! My name is (what?)"
71600,69978,"My name is (who?)"
73086,71650,"My name is"
74131,73136,"Slim Shady"
75640,74181,"Hi! My name is (huh?)"
77149,75807,"My name is (what?)"
78635,77199,"My name is"
79843,78685,"Slim Shady"
80748,79893,"Hi! My name is (what?)"
82676,81519,"My name is (who?)"
84347,82843,"My name is"
85392,84397,"Slim Shady"
85392,85442,"Hi! My name is (huh?)"
88109,85816,"My name is (what?)"
90036,88439,"My name is"
90968,90086,"Slim Shady"
93194,90807,"My English teacher wanted to flunk me in Junior High"
96050,93361,"Thanks a lot next semester I'll be thirty five"
98279,96497,"I smacked him in his face with an eraser"
99951,98329,"Chased him with a stapler"
102041,100001,"Stapled his nuts to a stack of papers (Ow!)"
104897,102349,"Walked in the strip club, had my jacket zipped up"
107753,104947,"Flashed the bartender, then stuck my dick in the tip cup"
111352,107803,"Extraterrestrial, running over pedestrians in a space ship"
113581,111402,"While they screamin' at me ""Let's just be friends!"""
115996,113631,"Ninety-nine percent of my life I was lied to"
118852,116046,"I just found out my mom does more dope than I do (Damn!)"
121685,119182,"I told her I'd grow up to be a famous rapper"
123360,121735,"Make a record about doin' drugs"
124499,123431,"And name it after her (Oh thank you!)"
127397,125032,"You know you blew up when the women rush your stands"
130091,127447,"Try to touch your hands like some screamin' Usher fans (Ahh!)"
132927,130141,"This guy at White Castle asked for my autograph"
133486,131768,"(Dude, can I get your autograph?)"
135917,132620,"So I signed it, ""Dear Dave, thanks for the support, asshole!"""
137150,135992,"Hi! My name is (huh?)"
138798,137619,"My name is (who?)"
140447,138848,"My name is"
141352,140497,"Slim Shady"
143303,141402,"Hi! My name is (what?)"
144650,143353,"My name is (who?)"
146136,144700,"My name is"
147041,146186,"Slim Shady"
148388,147091,"Hi! My name is (huh?)"
150339,148718,"My name is (who?)"
151546,150389,"My name is"
152591,151596,"Slim Shady"
153938,152641,"Hi! My name is (what?)"
155586,154547,"My name is (who?)"
157258,155777,"My name is"
158141,157308,"Slim Shady"
161136,158191,"Stop the tape! This kid needs to be locked away! (Get him!)"
163690,161186,"Dr. Dre, don't just stand there, operate"
166546,163740,"I'm not ready to leave, it's too scary to die (Fuck that!)"
169240,166596,"I'll have to be carried inside the cemetery and buried alive"
171260,169525,"(Huh yup!) Am I comin' or goin'?"
172305,171310,"I can barely decide"
174232,172683,"I just drank a fifth of vodka"
176995,174307,"Dare me to drive? (Go ahead) all my life I was very deprived"
178998,177605,"I ain't had a woman in years,"
180694,179116,"And my palms are too hairy to hide"
183148,180644,"(Whoops!) Clothes ripped like the Incredible Hulk"
186446,183198,"I spit when I talk, I'll fuck anything that walks (C'mere)"
189000,186496,"When I was little I used to get so hungry I would throw fits"
191856,189050,"How you gonna breast feed me Mom? You ain't got not tits"
194387,192186,"I lay awake and strap myself in the bed"
197734,194437,"Put a bulletproof vest on and shoot myself in the head (Bang!)"
198455,197573,"I'm steamin' mad (Argh!)"
200895,198666,"And by the way when you see my dad? (Yeah?)"
203094,200892,"Tell him that I slit his throat, in this dream I had"
204743,203144,"Hi! My name is (what?)"
206229,204793,"My name is (who?)"
207738,206279,"My name is"
208644,207788,"Slim Shady"
210594,208694,"Hi! My name is (huh?)"
212080,210644,"My name is (what?)"
213288,212130,"My name is"
214333,213338,"Slim Shady"
216005,214383,"Hi! My name is (who?)"
217491,216174,"My name is (huh?)"
219139,217541,"My name is"
220045,219189,"Slim Shady"
221392,220095,"Hi! My name is (huh?)"
223180,221978,"My name is (who?)"
224689,223230,"My name is"
268303,224739,"Slim Shady"
