"endTime","startTime","text"
4671,1258,"(Look, I was gonna go easy on you not to hurt your feelings)"
8503,4835,"(But I'm only going to get this one chance) Six minutes, six minutes"
10594,9434,"(Something's wrong, I can feel it) Six minutes"
13310,11615,"Six minutes, Slim Shady, you're on (Just a feeling I've got)"
17348,14402,"(Like something's about to happen, but I don't know what)"
21139,17819,"(If that means what I think it means, we're in trouble, big trouble)"
24345,21164,"(And if he is as bananas as you say, I'm not taking any chances)"
26018,24532,"(You are just what the doc ordered)"
29085,26042,"I'm beginnin' to feel like a Rap God, Rap God"
32453,29343,"All my people from the front to the back nod, back nod"
35589,32292,"Now who thinks their arms are long enough to slap box, slap box?"
38052,35591,"They said I rap like a robot, so call me Rapbot"
40027,38008,"But for me to rap like a computer must be in my genes"
42026,40400,"I got a laptop in my back pocket"
43746,42097,"My pen'll go off when I half-cock it"
45280,43654,"Got a fat knot from that rap profit"
46302,45281,"Made a livin' and a killin' off it"
48138,46515,"Ever since Bill Clinton was still in office"
50160,48140,"With Monica Lewinsky feeling on his nutsack"
51369,50208,"I'm an MC still as honest"
52924,51394,"But as rude and as indecent as all hell"
54460,52974,"Syllables, skill-a-holic (kill 'em all with)"
55668,54647,"This flippity dippity-hippity hip-hop"
57131,55994,"You don't really wanna get into a pissin' match"
59314,57457,"With this rappity brat, packin' a MAC in the back of the Ac'"
61078,59732,"Backpack rap crap, yap-yap, yackety-yack"
62262,61496,"Now at the exact same time"
64444,62587,"I attempt these lyrical acrobat stunts while I'm practicing that"
65885,64678,"I'll still be able to break a motherfuckin' table"
68030,66153,"Over the back of a couple of faggots and crack it in half"
71188,68012,"Only realized it was ironic, I was signed to Aftermath after the fact"
74463,71677,"How could I not blow? All I do is drop F-bombs, feel my wrath of attack"
76879,74464,"Rappers are havin' a rough time period, here's a maxi pad"
78739,77021,"It's actually disastrously bad for the wack"
80434,78972,"While I'm masterfully constructing this masterpièce"
84178,81085,"'Cause I'm beginning to feel like a Rap God, Rap God"
87337,84435,"All my people from the front to the back nod, back nod"
90706,87480,"Now who thinks their arms are long enough to slap box, slap box?"
94027,90707,"Let me show you maintainin' this shit ain't that hard, that hard"
97140,93960,"Everybody want the key and the secret to rap immortality like I have got"
99672,97188,"Well, to be truthful the blueprint's simply rage and youthful exuberance"
101415,100046,"Everybody loves to root for a nuisance"
103784,101463,"Hit the earth like an asteroid, did nothing but shoot for the moon since (pew)"
106296,104462,"MC's get taken to school with this music"
108293,106297,"'Cause I use it as a vehicle to ""bus the rhyme"""
109595,108179,"Now I lead a new school full of students"
111106,109969,"Me? I'm a product of Rakim"
114241,111362,"Lakim Shabazz, 2Pac, N.W.A, Cube, hey Doc, Ren"
115798,114382,"Yella, Eazy, thank you, they got Slim"
119074,116242,"Inspired enough to one day grow up, blow up and be in a position"
120608,119378,"To meet Run-D.M.C., induct them"
123370,120956,"Into the motherfuckin' Rock and Roll Hall of Fame"
125904,123583,"Even though I walk in the church and burst in a ball of flames"
128669,125999,"Only Hall of Fame I'll be inducted in is the alcohol of fame"
129716,128857,"On the wall of shame"
132875,130088,"You fags think it's all a game 'til I walk a flock of flames"
135987,133503,"Off a plank and, tell me what in the fuck are you thinkin'?"
136894,136128,"Little gay-lookin' boy"
139194,137081,"So gay I can barely say it with a straight face lookin' boy"
140565,139474,"You witnessin' a massacre"
142516,140590,"Like you're watching a church gathering take place lookin' boy"
145582,143307,"""Oy vey, that boy's gay!"" - that's all they say lookin' boy"
147209,145953,"You get a thumbs up, pat on the back"
148858,147233,"And a ""way to go"" from your label every day lookin' boy"
150697,149276,"Hey lookin' boy! What you say lookin' boy?"
152161,150839,"I got a ""hell yeah"" from Dre lookin' boy"
153671,152510,"I'ma work for everything I have"
155554,153743,"Never ask nobody for shit, get outta my face lookin' boy"
157250,155787,"Basically, boy, you're never gonna be capable"
158853,157391,"Of keepin' up with the same pace lookin' boy"
162083,158785,"'Cause I'm beginning to feel like a Rap God, Rap God"
165220,162270,"All my people from the front to the back nod, back nod"
168451,165268,"The way I'm racin' around the track, call me NASCAR, NASCAR"
170890,168522,"Dale Earnhardt of the trailer park, the White Trash God"
172238,171170,"Kneel before General Zod"
174981,172427,"This planet's Krypton, no, Asgard, Asgard"
178463,175073,"So you be Thor and I'll be Odin, you rodent, I'm omnipotent"
181761,178767,"Let off, then I'm reloadin' immediately with these bombs I'm totin'"
183504,182065,"And I should not be woken"
186617,183552,"I'm the walkin' dead, but I'm just a talkin' head, a zombie floatin'"
188244,186850,"But I got your mom deep throatin'"
191449,188501,"I'm out my ramen noodle, we have nothing in common, poodle"
194726,191474,"I'm a Doberman, pinch yourself in the arm and pay homage, pupil"
197398,194961,"It's me, my honesty's brutal"
200373,197373,"But it's honestly futile if I don't utilize what I do though"
201791,200513,"For good at least once in a while"
204230,201749,"So I wanna make sure somewhere in this chicken scratch I scribble and doodle"
207344,204348,"Enough rhymes to maybe to try and help get some people through tough times"
