"endTime","startTime","text"
3270,1716,"I'm that bitch (Yeah)"
5732,4038,"Been that bitch, still that bitch (Ah)"
9210,6638,"Will forever be that bitch (Forever be that bitch)"
11091,10187,"Yeah (Ayy, ah)"
13579,11140,"I'm the hood Mona Lisa, break a nigga into pieces"
16458,14066,"Had to X some cheesy niggas out my circle like a pizza (Yeah)"
19406,17014,"I'm way too exclusive, I don't shop on Insta' boutiques"
22076,19801,"All them lil' ass clothes only fit fake booties"
24561,22912,"Bad bitch, still talking cash shit"
27139,24979,"Pussy like water, I'm unbothered and relaxing"
29973,27906,"I would never trip on a nigga if I had him"
33502,30715,"Bitch, that's my trash, you the maid, so you bagged him, ah"
34988,33920,"I'm a savage (Yeah)"
37774,35684,"Classy, bougie, ratchet (Yeah)"
40353,38448,"Sassy, moody, nasty (Hey, hey, yeah)"
43395,41328,"Acting stupid, what's happening? (Woah, woah)"
44838,43445,"Bitch, what's happening? (Woah, woah)"
46606,44887,"Bitch, I'm a savage, yeah"
49487,47024,"Classy, bougie, ratchet, yeah"
52368,49905,"Sassy, moody, nasty, huh"
54318,52716,"Acting stupid, what's happening?"
56502,54899,"Bitch, what's happening? (Ayy, ah)"
59194,56965,"Eat me and record it, but your edge-up all I'm showing (Ah)"
62118,59633,"I keep my niggas private, so his AP all I'm showing (Baow)"
64672,62698,"Beefing with you bitches really getting kinda boring"
67504,65159,"If it ain't about the money, then you know I'm gon' ignore it"
68827,67922,"I'm the shit, ooh (Ayy)"
71475,69315,"I need a mop to clean the floor, it's too much drip, ooh (Too much drip, ooh)"
74423,72102,"I keep a knot, I keep a watch, I keep a whip, ooh (I keep a whip, baow)"
77164,74865,"Let's play a game, Simon says I'm still that bitch, ayy (Still that bitch)"
78812,77698,"I'm still that bitch, yeah (Ah)"
80042,79323,"I'm a savage"
82991,81110,"Classy, bougie, ratchet (Yeah)"
85941,83897,"Sassy, moody, nasty (Yeah)"
88658,86777,"Acting stupid, what's happening? (What's up?)"
90166,88965,"Bitch, what's happening? (What's up?)"
91931,90375,"Bitch, I'm a savage, yeah"
94974,92512,"Classy, bougie, ratchet, yeah (Bitch)"
97366,95369,"Sassy, moody, nasty, huh"
100084,98179,"Acting stupid, what's happening? (What's up?)"
101846,100383,"Bitch, what's happening?"
103054,101358,"Bitch, I'm lit like a match, ooh"
105538,103333,"And any nigga I hit is still attached, ooh"
108278,106142,"That body right, but you know this pussy fat, ooh"
111065,109021,"I drop a picture, now these bitches feel attacked, ayy"
113945,111808,"Don't let that nigga gas you up and get you whacked, ooh"
116732,114711,"I make a call and get a pussy nigga smacked, uh"
119704,117498,"These bitches talk 'bout pulling up, well, where you at? Ooh"
122561,120355,"I'm in a Lam', bitch, catch me if you can, ooh"
125765,123234,"I'm kickin' bitches out they spot, Stalli' Chan, yeah (Ah, yeah)"
129435,127229,"Niggas say I taste like sugar, but ain't shit sweet (Ah)"
133590,133265,"Mwah"
142111,137607,"Ayy, ayy, ooh, ooh, ooh, ooh, mwah"
