"endTime","startTime","text"
4295,0,"I'm friends with the monster that's under my bed"
8754,4436,"Get along with the voices inside of my head"
12960,8758,"You're trying to save me, stop holding your breath"
17559,13171,"And you think I'm crazy, yeah, you think I'm crazy"
20416,18327,"I wanted the fame, but not the cover of Newsweek"
22600,20418,"Oh well, guess beggars can't be choosey"
24807,22648,"Wanted to receive attention for my music"
27038,24809,"Wanted to be left alone in public, excuse me"
29477,27039,"For wanting my cake, and eat it too, and wanting it both ways"
31777,29525,"Fame made me a balloon 'cause my ego inflated"
33497,31756,"When I blew, see, it was confusing"
36053,33476,"'Cause all I wanted to do is be the Bruce Lee of loose leaf"
39468,36264,"Abused ink, used it as a tool when I blew steam (Woo!)"
40514,39330,"Hit the lottery, oh wee"
42655,40589,"But with what I gave up to get was bittersweet"
43937,42521,"It was like winning a huge meet"
46424,44172,"Ironic 'cause I think I'm getting so huge I need a shrink"
48795,46520,"I'm beginning to lose sleep, one sheep, two sheep"
50470,48799,"Going cuckoo and cooky as Kool Keith"
52167,50635,"But I'm actually weirder than you think"
52725,52331,"'Cause I'm"
56611,52548,"I'm friends with the monster that's under my bed"
60980,56731,"Get along with the voices inside of my head"
65440,61191,"You're trying to save me, stop holding your breath"
69923,65442,"And you think I'm crazy, yeah, you think I'm crazy"
71669,69858,"Well, that's nothing"
80499,78503,"Well, that's nothing"
90372,87702,"No, I ain't much of a poet but I know somebody once told me"
92172,90222,"To seize the moment and don't squander it"
94103,92060,"'Cause you never know when it all could be over tomorrow"
97406,94132,"So I keep conjuring, sometimes I wonder where these thoughts spawn from"
98939,97384,"(Yeah, ponder it, do you want this?"
101294,98903,"No wonder you losing your mind, the way it wanders)"
102712,101273,"Yo-lo-lo-lo-yee-whoo"
104300,102373,"I think you've been wandering off down yonder"
106209,104329,"And stumbled onto Jeff VanVonderen"
108022,106351,"'Cause I need an interventionist"
109937,107917,"To intervene between me and this monster"
112075,109846,"And save me from myself and all this conflict"
114932,112053,"'Cause the very thing that I love is killing me and I can't conquer it"
117070,114934,"My OCD's conking me in the head"
119462,116955,"Keep knocking, nobody's home, I'm sleepwalkin'"
121303,119423,"I'm just relaying what the voice in my head's saying"
123306,121310,"Don't shoot the messenger, I'm just friends with the"
126383,122274,"I'm friends with the monster that's under my bed"
130936,126525,"Get along with the voices inside of my head"
135210,130938,"You're trying to save me, stop holding your breath"
139646,135374,"And you think I'm crazy, yeah, you think I'm crazy"
141853,139648,"Well, that's nothing"
150637,148246,"Well, that's nothing"
159744,158142,"Call me crazy, but I have this vision"
162555,159955,"One day that I walk amongst you a regular civilian"
165064,162534,"But until then drums get killed and I'm coming straight at"
166552,165043,"ECs blood get spilled and I"
168665,166577,"Take it back to the days that I get on a Dre track"
170083,168760,"Give every kid who got played at"
172129,170504,"Pumped up feeling and shit to say back"
173662,172409,"To the kids who played 'em"
175128,173457,"I ain't here to save the fucking children"
177266,175177,"But if one kid out of a hundred million"
180265,177293,"Who are going through a struggle feels and then relates that's great"
182496,180267,"It's payback, Russell Wilson falling way back"
185539,182614,"In the draft, turn nothin' into somethin' still can make that"
189144,185453,"Straw into gold chump, I will spin Rumpelstiltskin in a haystack"
191470,189357,"Maybe I need a straight jacket, face facts"
193329,191472,"I am nuts for real, but I'm okay with that"
195234,193679,"It's nothing, I'm still friends with the"
198363,194254,"I'm friends with the monster that's under my bed"
202941,198483,"Get along with the voices inside of my head"
207006,202943,"You're trying to save me, stop holding your breath"
211816,207219,"And you think I'm crazy, yeah, you think I'm crazy"
215860,211681,"I'm friends with the monster that's under my bed"
220343,216071,"Get along with the voices inside of my head"
224690,220372,"You're trying to save me, stop holding your breath"
229173,224855,"And you think I'm crazy, yeah, you think I'm crazy"
231335,229083,"Well, that's nothing"
240026,237821,"Well, that's nothing"
