"endTime","startTime","text"
1650,1116,"What's poppin'? (Pooh, you a fool for this one)"
3905,2000,"Brand new whip just hopped in (just hopped in)"
4740,4253,"I got options (oh Lord, Jetson made another one)"
6434,5204,"I could pass that bitch like Stockton (it ain't nothin')"
7874,7525,"Just joshin'"
9802,8293,"I'ma spend this holiday locked in (ooh)"
11963,9943,"My body got rid of them toxins (mmh, mmh)"
13217,12219,"Sportscenter, top ten"
14634,13566,"I could put the ball in the end zone"
16167,14751,"Put a bad bitch in the friendzone, ooh"
17978,16980,"This shit sound like an intro"
19256,18049,"Jetson, give me that tempo, ooh"
21207,20023,"Told Pooh he a fool with this shit (he a fool)"
23158,21626,"Told her don't let her friends know (don't)"
24482,23252,"In the 'Ville and I move like a don (don)"
26107,24993,"Eating fettuccine at Vincenzo's"
28708,27106,"Me and my 'migos got that free smoke"
30613,28918,"On the West Coast, yeah, I'm talking 'bout pre-rolls (pre-roll)"
32934,31448,"Dark haired bitch and she look like shego (she do)"
36093,33794,"Hometown hero, feeling myself, can't murder my ego (can't do it)"
37695,36906,"She heard of my deep stroke"
39598,38020,"She said, ""Babe, does it hurt when I deep throat?"" (It does)"
43035,40667,"Certified freak ho, hang around us and she learnin' my lingo"
44497,43360,"Back then, wasn't worried 'bout me though"
46284,44822,"In the gym tryna work on my free throw, goddamn"
49488,48188,"Spending money at the club like Sam's (cha-ching)"
51229,50649,"Yes, ma'am"
52901,51485,"She a lil' freak on cam (that's facts)"
54271,53412,"But she don't put this on the 'Gram (nah)"
55895,54781,"Lil' boys tryna diss on the 'Gram (ay)"
57730,56593,"I can't switch on the fam (bitch)"
59541,58148,"Shit's hot, hit the switch on the fan (hit that shit)"
60702,59959,"This for my hittas (listen)"
62466,61213,"I feel resentment from every direction"
64045,62884,"Even some homies be wearing expressions"
65787,64301,"I be discouraged from sharing my blessings (damn)"
67482,66623,"We used to share a connection"
69153,67807,"Now it just feels like it's wearing and stretching"
70732,69409,"I'm getting real sick of taking advice"
72497,70988,"From people that never could stare at reflections"
74215,73240,"Somewhere in there is a lesson"
75724,74447,"Y'all ain't evolvin', it's very depressing"
77303,76072,"I'm at the club with the basketball team"
79067,77651,"Me and the Cardinals are sharing a section (facts)"
80809,79903,"Gotta cherish the present"
82319,80926,"I'm drinking water and wearing protection"
83991,82644,"Got a career and I'm very invested"
85802,84316,"Some people call it a scary obsession (ooh, period, but)"
88472,87566,"I like to call it a passion"
90330,88844,"I can't be sitting relaxin' (nah, I can't)"
92234,91328,"PG, we getting some traction"
93581,92258,"I'm at the venue, it's packed in (packed out)"
95415,94486,"I'm digging her accent"
98412,95509,"I got a B.B. Simon belt on me and she tryna get it unfastened"
102547,99759,"That's my type of distraction, that's my type and she Latin (that's facts, ooh)"
104265,102872,"Got my own flow and I'm 'bout to get a patent"
106192,104776,"Brand new sheets for the bed, they satin (soft, real soft)"
108862,107608,"Y'all wasn't tuned in back then (nah)"
110790,109280,"My swag, they keep jackin' (keep on jackin')"
112438,111022,"I ain't doin' no verse, quit askin' (quit askin')"
114736,113367,"What's poppin'? (Pooh, you a fool for this one)"
115830,114786,"Brand new whip just hopped in (just hopped in)"
117409,116666,"I got options"
119570,117758,"I could pass that bitch like Stockton (it ain't nothin')"
120800,120220,"Just joshin'"
122471,121125,"I'ma spend this holiday locked in (ooh)"
123959,122520,"My body got rid of them toxins (mmh, mmh)"
125816,124702,"Sportscenter, top ten"
