"endTime","startTime","text"
2784,1623,"(CashMoneyAP)"
6545,2834,"Ooh, ooh, no"
8840,7378,"NLE the Top Shotta"
15425,10851,"Uh, posted (posted), in front of the trap (front the trap)"
18258,15376,"Selling dope 'til the sun come down (come down)"
21087,18185,"Take a fuck nigga right off the map (off the map)"
23920,21137,"When I hit him with this whole hundred rounds (a hundred rounds)"
26686,23970,"Yung Joc, in the club with my Glock (with my Glock)"
29797,26500,"You wanna play, and then this bitch going down (it's goin' down)"
32700,29589,"We ain't hesitatin', bullets get to blazin' (get to blazin')"
34951,32304,"I'ma lay him down like he in the lounge"
37435,35044,"Walk 'em down, walk 'em down"
40451,37804,"Walk 'em down, walk 'em down"
43284,40501,"Walk 'em down, walk 'em down"
45954,43334,"Walk 'em down, walk 'em down"
47905,45607,"Walk down on 'em in Balenciaga runners"
50808,47906,"My blood slime a nigga out just like an anaconda"
53899,50858,"You go against me, then you fucked just like a used condom"
57057,53691,"I roll 'em up and then I smoke 'em like some good ganja, ay"
59817,57030,"Still doing drive-bys, but I wanna walk 'em"
62743,59863,"If I can't find 'em, you know I'm gonna stalk 'em"
65556,62793,"Caution tape up on the scene, I had to white chalk 'em"
68554,65606,"Running from my gun, but my bullets had to hawk 'em"
72550,68835,"Uh, posted, in front of the trap (front the trap)"
75314,72342,"Selling dope 'til the sun come down (come down)"
78077,75364,"Take a fuck nigga right off the map (off the map)"
81052,78127,"When I hit him with this whole hundred rounds (a hundred rounds)"
83978,81102,"Yung Joc, in the club with my Glock (with my Glock)"
86718,83700,"You wanna play, and then this bitch going down (it's goin' down)"
89806,86768,"We ain't hesitatin', bullets get to blazin' (get to blazin')"
92129,89366,"I'ma lay him down like he in the lounge"
94309,92057,"Walk 'em down, walk 'em down"
97235,94820,"Walk 'em down, walk 'em down"
100230,97815,"Walk 'em down, walk 'em down"
102988,100597,"Walk 'em down, walk 'em down"
105658,102756,"Nigga, I was posted on the corner where the J's at"
107705,105708,"Roll up in a four by four, pull up at the corner store"
110793,107821,"Look man, I got red in my drink when I pour up soda"
113720,110748,"I remember prayin' that the feds never take the Motorola"
115880,113396,"Choppa got the chopper, make 'em do a backflip"
118875,115904,"Pay my dawg a dime to walk him down, he need the racks, bitch"
121897,118925,"I been drinkin', I been taking all this codeine to the face"
123131,121947,"Got a lot of M's in the safe"
124550,123181,"Caught a murder, then I beat the case"
125900,124600,"I was just about to do the race"
129378,125826,"Uh, posted, in front of the trap (front the trap)"
132423,129428,"Selling dope 'til the sun come down (come down)"
135259,132473,"Take a fuck nigga right off the map (off the map)"
138185,135309,"When I hit him with this whole hundred rounds (a hundred rounds)"
140789,138235,"Yung Joc, in the club with my Glock (with my Glock)"
143877,140924,"You wanna play, and then this bitch going down (it's goin' down)"
146504,143927,"We ain't hesitatin', bullets get to blazin' (get to blazin')"
149333,146594,"I'ma lay him down like he in the lounge"
151633,149140,"Walk 'em down, walk 'em down"
154373,152054,"Walk 'em down, walk 'em down"
157626,155026,"Walk 'em down, walk 'em down"
160227,157676,"Walk 'em down, walk 'em down"
