"endTime","startTime","text"
18647,0,"..."
21177,18647,"Oh, oh, oh-oh"
25124,22594,"Oh, oh, oh-oh"
30975,26587,"Oh,  oh, oh-oh, oh-oh, oh-oh"
36942,34388,"We couldn't turn around"
40726,38358,"'Til we were upside down"
44836,42398,"I'll be the bad guy now"
49061,46461,"But,  no, I ain't too proud"
52149,50315,"I couldn't be there"
57002,54657,"Even  when I try"
60507,58325,"You don't believe it"
64060,62342,"We do this every time"
67334,64571,"Seasons change and our love went cold"
71769,68588,"Feed  the flame 'cause we can't let it go"
75902,72605,"Run away, but we're running in circles"
78827,76552,"Run away, run away"
82429,78877,"I dare you to do something"
88326,82777,"I'm waiting on you again, so I don't take the blame"
91878,88581,"Run away, but we're running in circles"
95823,92644,"Run away, run away, run away"
97030,96148,"Let go"
101394,98353,"I got a feeling that it's time to let it go"
104924,103833,"I say so"
109381,106363,"I knew that this was doomed from the get-go"
114259,110869,"You thought that it was special, special"
118043,114839,"But it was just the sex though, the sex though"
122338,118879,"And I still hear the echoes (the echoes)"
127613,122388,"I got a feeling that it's time to let it go, let it go"
131142,128542,"Seasons change and our love went cold"
135949,132559,"Feed the flame 'cause we can't let it go"
139920,136622,"Run away, but we're running in circles"
142682,140593,"Run away, run away"
146416,142817,"I dare you to do something"
151782,146834,"I'm waiting on you again, so I don't take the blame"
156008,152618,"Run away, but we're running in circles"
160465,156588,"Run away, run away, run away"
163716,160538,"Maybe you don't understand what I'm going through"
167687,164482,"It's only me, what you got to lose?"
171612,168384,"Make up your mind, tell me, what are you gonna do?"
175420,172378,"It's only me, let it go"
179576,176511,"Seasons change and our love went cold"
183640,180575,"Feed the flame 'cause we can't let it go"
187845,184569,"Run away, but we're running in circles"
190655,188518,"Run away, run away"
194464,190910,"I dare you to do something"
200273,194882,"I'm waiting on you again, so I don't take the blame"
203734,200574,"Run away, but we're running in circles"
208494,204570,"Run away, run away, run away"
