"endTime","startTime","text"
3854,882,"Used to have friends, now I got enemies (ooh)"
6756,4063,"Used to keep 'em close, now they dead to me (damn)"
10078,7360,"Used to have friends now I got enemies (ooh)"
12516,10589,"Enemies, yeah, it's so sad"
16091,13746,"They said I would never get this far, ah, ah"
19481,16927,"Think that we don't see who you are, are, are?"
22500,20154,"Laughin' to the bank like ha, ha, ha"
26024,23266,"Guess that I'm just talkin' too much blah, blah, blah (shut the fuck up)"
28160,26442,"So, where did y'all go? (ooh)"
31247,28763,"When I was shit broke, couldn't even buy smokes"
34962,31665,"Now your mama needs tickets to my stadium show (stadium show)"
37867,35080,"She love it when she hear me on the radio, oh"
41490,38912,"I know it's hard"
44463,41862,"To swallow your pride"
47179,44881,"Sorry that you can't get over me"
50848,48131,"Now you're out my life, I'm so relieved, I"
55120,52102,"Used to have friends, now I got enemies (damn)"
58001,55262,"Used to keep 'em close, now they dead to me (ooh)"
61229,58465,"Money tend to show all they tendencies (damn)"
64061,61763,"Enemies, yeah, it's so sad"
66755,64456,"Sometimes, every time, they let me down"
70426,67684,"Sometimes, every time, they let me down"
73631,71262,"Used to have friends, now I got enemies"
76860,74537,"Enemies, yeah, it's so sad"
78345,77324,"Close to my enemies (let's go)"
79715,78833,"I need better energy (huh?)"
81107,79621,"When I told you, ""Fuck you,"" you thought I was playin', huh?"
82824,81315,"(Yeah, yeah) But I meant the shit literally"
84406,82758,"She wanted to vibe but I told her fuck that (nope)"
85915,84708,"She look at me like she surprised"
87102,85918,"They're packin' the post and I'm home alone"
88680,87543,"When the box hit the door, they go for 35"
92093,89145,"I try to put on for my partners, they turn into enemies right before a nigga eye"
93466,92375,"You reach for a shake, I'ma hold out a fist"
95230,93884,"Giving a nigga a quarter pound without the fries"
96808,95740,"I just went double platinum with no features"
98364,97157,"Just to show a nigga I don't really need him"
99989,98782,"Pass a man a plate and he can make it shake"
102100,100289,"It's guaranteed he'll fold and bite the hand that feed him"
103237,102239,"And I know you think that I ain't see it"
104862,103910,"And I know your bitch ain't got a car"
106420,105120,"Don't make me go and buy a bitch a lil' Prius"
107974,106814,"Fuck on the camera, we can call it even"
109600,108393,"Friends are like the autumn, every year they leavin'"
111642,110226,"And I'ma rake 'em in a pile, throw 'em in a bag"
113128,112153,"Tie them bitches up and leave 'em"
114427,113546,"'Cause most of these niggas are deceiving"
115214,114913,"And I"
118395,116050,"Used to have friends, now I got enemies (damn)"
122227,119231,"Used to keep 'em close, now they dead to me (to me)"
125337,122551,"Money tend to show all they tendencies (tendencies)"
127941,125851,"Enemies, yeah, it's so sad"
130705,128475,"Sometimes, every time, they let me down"
134234,131656,"Sometimes, every time, they let me down"
137856,135325,"Used to have friends, now I got enemies"
140504,138530,"Enemies, yeah, it's so sad"
143707,140991,"It's too late to turn this shit around (it's too late)"
146517,144078,"Only held me down when you wanted me to drown"
150093,147376,"It's too late to turn this shit around (it's too late)"
152760,150230,"So don't try and tell me that you're happy for me now"
157125,154502,"Used to have friends, now I got enemies"
160492,157706,"Used to keep 'em close, now they dead to me (dead to me)"
163506,161003,"Money tend to show all they tendencies (tendencies)"
166015,164087,"Enemies, yeah, it's so sad"
169196,166804,"Sometimes, every time, they let me down"
172494,170032,"Sometimes, every time, they let me down"
176069,173724,"Used to have friends, now I got enemies"
179251,176975,"Enemies, yeah, it's so sad"
182524,179715,"Ooh, it's too late"
185705,184103,"It's too late"
