"endTime","startTime","text"
15086,0,"..."
17968,15086,"Me and Kurt feel the same, too much pleasure is pain"
20755,18199,"My girl spites me in vain, all I do is complain"
24751,21335,"She need something to change, need to take off the edge"
27353,25563,"So fuck it all tonight"
30581,28421,"And don't tell me to shut up"
33833,31532,"When you know you talk too much"
37039,34762,"But you don't got shit to say"
40546,38849,"I want you out of my head"
45029,42078,"I want you out of my bedroom tonight (bedroom)"
48234,45376,"There's no way I can save you (save you)"
50812,48629,"'Cause I need to be saved, too"
52507,51811,"I'm no good at goodbyes"
55943,53459,"We're both actin' insane but too stubborn to change"
59101,56570,"Now I'm drinkin' again, 80 proof in my veins"
63258,59913,"And my fingertip stained, looking over the edge"
65628,63769,"Don't fuck with me tonight"
69043,66139,"Say you needed this heart and you got it (got it)"
71857,69325,"Turns out that it wasn't what you wanted (wanted)"
75504,72670,"And we wouldn't let go and we lost it (lost it)"
76665,75667,"Now I'm a goner"
79173,77199,"I want you out of my head (head)"
83471,80450,"I want you out of my bedroom tonight (bedroom)"
86141,83795,"There's no way I can save you (save you)"
88974,86977,"'Cause I need to be saved, too (saved, too)"
90971,90181,"I'm no good at goodbyes"
92898,91736,"I want you out of my life"
94477,93339,"I want you back here tonight"
96219,94940,"I'm tryna cut you, no knife"
97798,96636,"I wanna slice you and dice you"
100723,98541,"My heart get possessive, it got you precise"
104091,101466,"Can you not turn off the TV? I'm watchin' the fight"
107179,104810,"I flood the garage, blue diamond, no shark"
109896,108038,"You're Barbie life doll, it's Nicki Minaj"
114496,111196,"You don't need a key to drive, your car on the charger"
117586,114658,"I just wanna see the side, the one that's unbothered (yeah)"
119886,117630,"And I don't want you to never go outside (outside)"
123090,120814,"I promise if they play, my niggas slidin' (slidin')"
126108,124110,"I'm fuckin' her, the tour bus still ridin' (ridin')"
128848,127826,"Yeah, yeah, yeah, yeah, yeah"
130358,128406,"I want you out of my head (head)"
134399,131612,"I want you out of my bedroom tonight (bedroom)"
137279,135049,"There's no way I could save you (save you)"
140367,138161,"'Cause I need to be saved, too (saved, too)"
142573,141342,"I'm no good at goodbyes"
145568,143687,"Goodbye, goodbye, goodbye"
148819,146938,"Goodbye, goodbye, goodbye"
152070,150235,"Goodbye, goodbye, goodbye"
155901,154229,"I'm no good at goodbyes"
158502,156571,"Goodbye, goodbye, goodbye"
161567,159755,"Goodbye, goodbye, goodbye"
165746,163029,"Goodbye, goodbye, goodbye"
167906,166977,"I'm no good at goodbyes"
