"endTime","startTime","text"
3414,2717,"Whoa"
10240,5062,"Joyner, Joyner, yeah, yeah, yeah"
14510,10493,"Yeah, I done did a lot of things in my day, I admit it"
17714,14626,"I don't take back what I say, if I said it then I meant it"
20711,17716,"All my life I want a Grammy but I'll prolly never get it"
23776,20804,"I ain't never had no trophy or no motherfuckin' ribbon"
26957,23985,"Fuck the system, I'm that nigga, bend the law, cut the rules"
29975,27050,"I'm about to risk it all, I ain't got too much to lose"
32946,30090,"Y'all been eatin' long enough, it's my turn to cut the food"
36382,33294,"Pass the plate! Where my drink? This my day, lucky you"
37728,36475,"Fuck you too, woo!"
40537,37612,"Y'all gotta move, y'all gotta move, y'all gotta move"
43860,40819,"Give me some room, give me some room, give me the juice"
47044,43910,"Hop out the coupe, hop out the coupe, hop out and shoot"
50019,47094,"Y'all gotta move, y'all gotta move, give me the juice"
51787,50092,"Back on my bullshit, my back to the wall"
52905,51628,"Turn my back to you all you turn to finish"
54600,53416,"Back to these bullets, it's back to the job"
56019,54766,"Pull my MAC out and all of you runnin'"
57949,56417,"Back on my hood shit, it's back to the pushin'"
59064,58020,"These packs and I'm actually pumpin'"
60507,59114,"Can't fuck with you rappers, you practically suckin'"
62317,60762,"You mighta went platinum, but that don't mean nothin'"
63485,62364,"I'm actually buzzin' this time"
65439,63534,"Straight out the kitchen, I told 'em the oven is mine"
66673,65489,"I do not fuck with you guys"
68534,66723,"If I don't kill you, just know you gon' suffer this time"
69929,68583,"I ain't no gangster but I got some bangers"
71882,70094,"Some chains and some blades and a couple of knives"
73418,71723,"Choppers and jammies, a partridge, a pear tree"
74792,73283,"My twelve days of Christmas was nothin' but lies"
76931,74941,"I run at you hard like a sumo (sumo)"
77933,76796,"They say I talk like a chulo (chulo)"
79584,78424,"I live in Mars, I'm not Bruno (woo)"
81234,80074,"Bitch I'm a dog, call me Cujo (rah)"
83279,81584,"You play your cards, I reverse on you all"
84583,83028,"And I might just drop 4 like a Uno (bup)"
87369,84699,"Cállate boca mejor, maricón, little puto, and all of you culo"
90649,87601,"They've invented a level off in the ghetto to ghetto lookin' for somethin' I prolly can never find now"
92185,90699,"Shit get relevant until the beef die down"
93787,92301,"In truth a nigga just really want me tied down"
95063,93879,"I've been alone and I never needed nobody"
96970,95113,"Just only me and my shawty, I'll tell these niggas to lie down"
98590,96925,"Keep all of the money, I never wanted the lifestyle"
100080,98525,"I just pray to God that my son'll be alright now"
101658,100080,"I said ain't no love for the other side"
103170,101708,"Or anyone who ever want smoke (Joyner)"
106168,103521,"When I die, I'm goin' out as the underdog who never lost hope"
107839,106377,"You in the wrong cab down the wrong path"
109350,108097,"Nigga, wrong way, wrong road"
111162,109467,"Snakes in the grass tryna slither fast"
112139,111234,"I just bought a fuckin' lawn mower"
114765,111700,"I have said a lotta things in my day, I admit it"
117969,114974,"This is payback in a way, I regret it that I did it"
121034,118178,"I done won a couple Grammys but I sold my soul to get 'em"
124005,121266,"Wasn't in it for the trophies, just the fuckin' recognition"
125120,124331,"Fuck's the difference?"
127000,125144,"I'm that cracker, bend the law, fuck the rules"
130229,127349,"Man I used to risk it all, now I got too much to lose"
131878,130438,"I been eatin' long enough"
133294,132133,"Man my stomach should be full"
136595,133832,"I just ate, lick the plate, my buffet, lucky me"
138034,136804,"Fuck you think? (woo!)"
138919,138036,"I got a couple of mansions"
140498,139499,"Still I don't have any manners"
142380,141127,"You got a couple of ghost writers"
143634,142404,"But to these kids it don't actually matter"
145701,144146,"They're askin' me, ""What the fuck happened to hip-hop?"""
146885,145748,"I said, ""I don't have any answers."""
148464,147025,"'Cause I took an L when I dropped my last album"
149950,148627,"It hurt me like hell but I'm back on these rappers"
151391,150135,"And actually coming from humble beginnings"
152806,151576,"I'm somewhat of uncomfortable winning"
154152,152992,"I wish I could say ""What a wonderful feeling!"""
155916,154338,"We're on the upswing like we're punchin' the ceiling"
158284,156009,"But nothin' is feeling like anyone has any fuckin' ability"
159908,158492,"To even stick to a subject, it's killin' me"
161486,160047,"The inability to pin humility"
162229,161626,"Hatata batata"
164736,162345,"Why don't we make a bunch of fuckin' songs about nothin' and mumble 'em!"
165665,164760,"Fuck it, I'm goin' for the jugular"
167383,165874,"Shit is a circus, you clowns that are comin' up"
168543,167522,"Don't give an ounce of a motherfuck"
170005,168752,"About the ones that were here before you"
171239,169800,"To make raps, let's recap"
173399,171031,"Way back, MC's that wreak havoc on tape decks"
175233,173608,"ADAT's with the G raps and Kane's hat"
177741,175071,"We need 3 stacks ASAP, and bring Masta Ace back"
175929,177445,"'Cause half of these rappers have brain damage"
181594,179295,"All the lean rappin', face tats, syruped out like tree sap"
183104,181687,"I don't hate trap, and I don't wanna seem mad"
185262,183266,"But in fact, where the old me at? The same cat"
187772,185288,"That would take that feed-back and aim back, I need that"
188885,187864,"But I think it's inevitable"
190650,189164,"They know what button to press or what lever to pull they give me the snap though (lil bitch)"
194063,191230,"And if I payin' attention I'm probably makin' it bigger but you've been takin' the dicks in the fuckin' back, ho (get it?)"
195920,194388,"And about to break any minute, it got me thinkin of finishin everything"
197452,196106,"With acetaminophen then reapin' the benefits"
198380,197545,"I'm asleep at the wheel again"
199756,198340,"As I peak into thinkin' about an evil intent"
200642,199621,"Of another beat I'ma kill again"
202291,200620,"'Cause even if I gotta end up eating a pill again"
203778,202246,"Even ketamine or methamphetamine with the minithin"
205334,203802,"It better be at least 70 to 300 milligram"
206971,205392,"And I might as well 'cause I'ma end up bein' a villain again"
208386,207133,"Levels to this shit, I got an elevator"
209710,208248,"You could never say to me I'm not a fuckin' record breaker"
211246,209760,"I sound like a broken record every time I break a record"
213010,211338,"Nobody could ever take away the legacy, I made a navigator"
215007,213405,"Motherfucker know I got a right to be this way"
216493,215170,"I got spite inside my DNA"
219860,216679,"But I wrote 'til the wheels fall off, I'm workin' tirelessly, ayy"
221741,220213,"It's the moment y'all been waitin' for"
223203,221834,"Like California wishin' rain would pour"
224713,223366,"And that drought y'all have been prayin' for"
227173,224875,"My downfall from the 8 Mile to the Southpaws"
228614,227265,"Still the same Marshall, that outlaw"
230238,228799,"That they say is a writer might've fell off"
232002,230447,"But back on that bull like the cowboys"
234953,232050,"So y'all gotta move (yeah), y'all gotta move (yeah), y'all gotta move"
238134,235347,"Give me some room, give me some room, give me the juice"
241199,238296,"Hop out the coupe, hop out the coupe, hop out and shoot"
244380,241384,"Y'all gotta move, y'all gotta move, give me the juice"
