"endTime","startTime","text"
2903,139,"Don't stay awake for too long"
5294,3437,"Don't go to bed"
8335,5735,"I'll make a cup of coffee for your head"
11447,9078,"I'll get you up and going out of bed"
12418,12117,"Yeah"
14044,13092,"I don't wanna fall asleep"
15854,14624,"I don't wanna pass away"
19105,16272,"I been thinking of our future 'cause I'll never see those days"
20798,19661,"I don't know why this has happened"
22748,21309,"But I probably deserve it"
23978,23259,"I tried to do my best"
26046,24652,"But you know that I'm not perfect"
27321,26439,"I been praying for forgiveness"
29038,27901,"You've been praying for my health"
30780,30130,"When I leave this earth"
32544,31267,"Hoping you'll find someone else"
35746,32959,"'Cause, yeah, we still young, there's so much we haven't done"
37857,36325,"Getting married, start a family"
39555,37907,"Watch your husband with his son"
40850,39667,"I wish it could be me"
42591,41105,"But I won't make it off this bed"
44192,43217,"I hope I go to heaven"
46003,44610,"So I see you once again"
47203,46558,"My life was kinda short"
49523,47945,"But I got so many blessings"
50754,50104,"Happy you were mine"
52891,51452,"It sucks that it's all ending"
56395,53516,"Don't stay awake for too long"
58624,56744,"Don't go to bed"
61597,59042,"I'll make a cup of coffee for your head"
65796,62433,"I'll get you up and going out of bed (Yeah, ayy)"
69653,65845,"And I, don't stay awake for too long"
71765,70024,"Don't go to bed"
74806,72415,"I'll make a cup of coffee for your head"
78753,75712,"I'll get you up and going out of bed (Ayy, yeah)"
81445,79959,"I'm happy that you're here with me"
82400,81495,"I'm sorry if I tear up"
84164,83236,"When me and you were younger"
85836,84699,"You would always make me cheer up"
87668,86740,"Taking goofy videos"
89108,88249,"While walking through the park"
90872,89688,"You would jump into my arms"
92938,91383,"Every time you heard a bark"
94121,93378,"Cuddle in your sheets"
96163,95026,"Sang me sound asleep"
99089,96512,"And sneak out through your kitchen at exactly 1:03"
100944,100039,"Sundays, went to church"
102546,101525,"On Mondays, watched a movie"
104078,103382,"Soon you'll be alone"
106214,104659,"Sorry that you have to lose me"
109509,106770,"Don't stay awake for too long"
111738,110090,"Don't go to bed"
114895,112411,"I'll make a cup of coffee for your head"
118865,115731,"I'll get you up and going out of bed"
123185,119213,"And I, don't stay awake for too long"
124973,123371,"Don't go to bed"
128480,125716,"I'll make a cup of coffee for your head"
132079,129037,"I'll get you up and going out of bed"
136166,133403,"Don't stay awake for too long"
139115,136677,"Don't go to bed"
141697,139003,"I'll make a cup of coffee for your head"
145204,142370,"I'll get you up and going out of bed"
149663,145947,"And I, don't stay awake for too long"
152519,149988,"Don't go to bed"
155148,152407,"I'll make a cup of coffee for your head"
158748,155752,"I'll get you up and going out of bed"
163136,159280,"And I, don't stay awake for too long"
165202,163461,"Don't go to bed"
168477,165690,"I'll make a cup of coffee for your head"
171984,169058,"I'll get you up and going out of bed"
