"endTime","cumulativeWords","song"
14274,1,"Dr..Dre.feat..Eminem."
16270,8,"Dr..Dre.feat..Eminem."
17363,13,"Dr..Dre.feat..Eminem."
19895,22,"Dr..Dre.feat..Eminem."
21173,27,"Dr..Dre.feat..Eminem."
22637,32,"Dr..Dre.feat..Eminem."
24845,39,"Dr..Dre.feat..Eminem."
26727,48,"Dr..Dre.feat..Eminem."
28517,53,"Dr..Dre.feat..Eminem."
30990,65,"Dr..Dre.feat..Eminem."
32708,73,"Dr..Dre.feat..Eminem."
33940,78,"Dr..Dre.feat..Eminem."
35636,85,"Dr..Dre.feat..Eminem."
37518,93,"Dr..Dre.feat..Eminem."
38286,95,"Dr..Dre.feat..Eminem."
40255,102,"Dr..Dre.feat..Eminem."
41996,110,"Dr..Dre.feat..Eminem."
43737,117,"Dr..Dre.feat..Eminem."
46546,122,"Dr..Dre.feat..Eminem."
47776,125,"Dr..Dre.feat..Eminem."
50121,134,"Dr..Dre.feat..Eminem."
51745,142,"Dr..Dre.feat..Eminem."
53277,151,"Dr..Dre.feat..Eminem."
54390,156,"Dr..Dre.feat..Eminem."
55297,160,"Dr..Dre.feat..Eminem."
57223,169,"Dr..Dre.feat..Eminem."
58964,174,"Dr..Dre.feat..Eminem."
60659,183,"Dr..Dre.feat..Eminem."
61778,187,"Dr..Dre.feat..Eminem."
62857,192,"Dr..Dre.feat..Eminem."
64368,198,"Dr..Dre.feat..Eminem."
66111,204,"Dr..Dre.feat..Eminem."
67947,211,"Dr..Dre.feat..Eminem."
69790,219,"Dr..Dre.feat..Eminem."
71662,227,"Dr..Dre.feat..Eminem."
73239,232,"Dr..Dre.feat..Eminem."
74425,238,"Dr..Dre.feat..Eminem."
75079,242,"Dr..Dre.feat..Eminem."
75893,247,"Dr..Dre.feat..Eminem."
76755,252,"Dr..Dre.feat..Eminem."
77500,255,"Dr..Dre.feat..Eminem."
78662,260,"Dr..Dre.feat..Eminem."
80384,265,"Dr..Dre.feat..Eminem."
81548,271,"Dr..Dre.feat..Eminem."
82149,275,"Dr..Dre.feat..Eminem."
83009,280,"Dr..Dre.feat..Eminem."
84032,285,"Dr..Dre.feat..Eminem."
84730,288,"Dr..Dre.feat..Eminem."
85892,293,"Dr..Dre.feat..Eminem."
86590,298,"Dr..Dre.feat..Eminem."
87870,303,"Dr..Dre.feat..Eminem."
89291,311,"Dr..Dre.feat..Eminem."
90290,315,"Dr..Dre.feat..Eminem."
91195,320,"Dr..Dre.feat..Eminem."
92962,327,"Dr..Dre.feat..Eminem."
95653,337,"Dr..Dre.feat..Eminem."
96653,342,"Dr..Dre.feat..Eminem."
97401,347,"Dr..Dre.feat..Eminem."
99281,355,"Dr..Dre.feat..Eminem."
100141,359,"Dr..Dre.feat..Eminem."
101848,369,"Dr..Dre.feat..Eminem."
103914,378,"Dr..Dre.feat..Eminem."
104769,383,"Dr..Dre.feat..Eminem."
106278,389,"Dr..Dre.feat..Eminem."
107138,393,"Dr..Dre.feat..Eminem."
109043,399,"Dr..Dre.feat..Eminem."
109787,404,"Dr..Dre.feat..Eminem."
111855,411,"Dr..Dre.feat..Eminem."
113405,418,"Dr..Dre.feat..Eminem."
114637,421,"Dr..Dre.feat..Eminem."
115725,427,"Dr..Dre.feat..Eminem."
117630,437,"Dr..Dre.feat..Eminem."
119883,449,"Dr..Dre.feat..Eminem."
121874,456,"Dr..Dre.feat..Eminem."
123615,464,"Dr..Dre.feat..Eminem."
125425,470,"Dr..Dre.feat..Eminem."
126330,475,"Dr..Dre.feat..Eminem."
128415,484,"Dr..Dre.feat..Eminem."
131687,494,"Dr..Dre.feat..Eminem."
133939,502,"Dr..Dre.feat..Eminem."
135773,511,"Dr..Dre.feat..Eminem."
139117,520,"Dr..Dre.feat..Eminem."
140717,528,"Dr..Dre.feat..Eminem."
143480,535,"Dr..Dre.feat..Eminem."
145058,540,"Dr..Dre.feat..Eminem."
146058,546,"Dr..Dre.feat..Eminem."
146632,550,"Dr..Dre.feat..Eminem."
147472,555,"Dr..Dre.feat..Eminem."
148653,560,"Dr..Dre.feat..Eminem."
149373,563,"Dr..Dre.feat..Eminem."
150558,568,"Dr..Dre.feat..Eminem."
152157,572,"Dr..Dre.feat..Eminem."
153250,578,"Dr..Dre.feat..Eminem."
153942,582,"Dr..Dre.feat..Eminem."
154641,587,"Dr..Dre.feat..Eminem."
156053,591,"Dr..Dre.feat..Eminem."
156476,594,"Dr..Dre.feat..Eminem."
157617,599,"Dr..Dre.feat..Eminem."
158325,605,"Dr..Dre.feat..Eminem."
160021,613,"Dr..Dre.feat..Eminem."
161434,621,"Dr..Dre.feat..Eminem."
162526,626,"Dr..Dre.feat..Eminem."
163685,632,"Dr..Dre.feat..Eminem."
164730,636,"Dr..Dre.feat..Eminem."
166585,644,"Dr..Dre.feat..Eminem."
167955,650,"Dr..Dre.feat..Eminem."
168722,655,"Dr..Dre.feat..Eminem."
170140,663,"Dr..Dre.feat..Eminem."
171784,671,"Dr..Dre.feat..Eminem."
173869,680,"Dr..Dre.feat..Eminem."
175377,687,"Dr..Dre.feat..Eminem."
176838,696,"Dr..Dre.feat..Eminem."
177839,701,"Dr..Dre.feat..Eminem."
179229,708,"Dr..Dre.feat..Eminem."
180157,713,"Dr..Dre.feat..Eminem."
181201,720,"Dr..Dre.feat..Eminem."
182572,726,"Dr..Dre.feat..Eminem."
183919,733,"Dr..Dre.feat..Eminem."
184803,739,"Dr..Dre.feat..Eminem."
186199,746,"Dr..Dre.feat..Eminem."
187059,750,"Dr..Dre.feat..Eminem."
188824,756,"Dr..Dre.feat..Eminem."
189135,763,"Dr..Dre.feat..Eminem."
191222,768,"Dr..Dre.feat..Eminem."
192570,773,"Dr..Dre.feat..Eminem."
193269,778,"Dr..Dre.feat..Eminem."
195174,785,"Dr..Dre.feat..Eminem."
196851,792,"Dr..Dre.feat..Eminem."
198014,797,"Dr..Dre.feat..Eminem."
199154,804,"Dr..Dre.feat..Eminem."
200939,811,"Dr..Dre.feat..Eminem."
202424,816,"Dr..Dre.feat..Eminem."
203470,822,"Dr..Dre.feat..Eminem."
204094,826,"Dr..Dre.feat..Eminem."
204953,831,"Dr..Dre.feat..Eminem."
205837,836,"Dr..Dre.feat..Eminem."
206745,839,"Dr..Dre.feat..Eminem."
207840,844,"Dr..Dre.feat..Eminem."
209477,848,"Dr..Dre.feat..Eminem."
210476,854,"Dr..Dre.feat..Eminem."
211333,858,"Dr..Dre.feat..Eminem."
212077,863,"Dr..Dre.feat..Eminem."
213165,867,"Dr..Dre.feat..Eminem."
213907,870,"Dr..Dre.feat..Eminem."
215093,875,"Dr..Dre.feat..Eminem."
216763,879,"Dr..Dre.feat..Eminem."
217669,885,"Dr..Dre.feat..Eminem."
218318,889,"Dr..Dre.feat..Eminem."
219295,894,"Dr..Dre.feat..Eminem."
220382,898,"Dr..Dre.feat..Eminem."
221034,901,"Dr..Dre.feat..Eminem."
222197,906,"Dr..Dre.feat..Eminem."
