"endTime","cumulativeWords","song"
3414,1,"Eminem.feat..Joyner.Lucas."
10240,6,"Eminem.feat..Joyner.Lucas."
14510,20,"Eminem.feat..Joyner.Lucas."
17714,35,"Eminem.feat..Joyner.Lucas."
20711,48,"Eminem.feat..Joyner.Lucas."
23776,58,"Eminem.feat..Joyner.Lucas."
26957,70,"Eminem.feat..Joyner.Lucas."
29975,83,"Eminem.feat..Joyner.Lucas."
32946,95,"Eminem.feat..Joyner.Lucas."
36382,106,"Eminem.feat..Joyner.Lucas."
37728,110,"Eminem.feat..Joyner.Lucas."
40537,119,"Eminem.feat..Joyner.Lucas."
43860,131,"Eminem.feat..Joyner.Lucas."
47044,143,"Eminem.feat..Joyner.Lucas."
50019,153,"Eminem.feat..Joyner.Lucas."
51787,162,"Eminem.feat..Joyner.Lucas."
52905,172,"Eminem.feat..Joyner.Lucas."
54600,181,"Eminem.feat..Joyner.Lucas."
56019,190,"Eminem.feat..Joyner.Lucas."
57949,200,"Eminem.feat..Joyner.Lucas."
59064,206,"Eminem.feat..Joyner.Lucas."
60507,214,"Eminem.feat..Joyner.Lucas."
62317,223,"Eminem.feat..Joyner.Lucas."
63485,228,"Eminem.feat..Joyner.Lucas."
65439,239,"Eminem.feat..Joyner.Lucas."
66673,246,"Eminem.feat..Joyner.Lucas."
68534,258,"Eminem.feat..Joyner.Lucas."
69929,267,"Eminem.feat..Joyner.Lucas."
71882,277,"Eminem.feat..Joyner.Lucas."
73418,285,"Eminem.feat..Joyner.Lucas."
74792,294,"Eminem.feat..Joyner.Lucas."
76931,303,"Eminem.feat..Joyner.Lucas."
77933,311,"Eminem.feat..Joyner.Lucas."
79584,319,"Eminem.feat..Joyner.Lucas."
81234,327,"Eminem.feat..Joyner.Lucas."
83279,336,"Eminem.feat..Joyner.Lucas."
84583,346,"Eminem.feat..Joyner.Lucas."
87369,357,"Eminem.feat..Joyner.Lucas."
90649,376,"Eminem.feat..Joyner.Lucas."
92185,384,"Eminem.feat..Joyner.Lucas."
93787,394,"Eminem.feat..Joyner.Lucas."
95063,402,"Eminem.feat..Joyner.Lucas."
96970,415,"Eminem.feat..Joyner.Lucas."
98590,425,"Eminem.feat..Joyner.Lucas."
100080,436,"Eminem.feat..Joyner.Lucas."
101658,445,"Eminem.feat..Joyner.Lucas."
103170,452,"Eminem.feat..Joyner.Lucas."
106168,465,"Eminem.feat..Joyner.Lucas."
107839,474,"Eminem.feat..Joyner.Lucas."
109350,479,"Eminem.feat..Joyner.Lucas."
111162,486,"Eminem.feat..Joyner.Lucas."
112139,493,"Eminem.feat..Joyner.Lucas."
114765,505,"Eminem.feat..Joyner.Lucas."
117969,518,"Eminem.feat..Joyner.Lucas."
121034,532,"Eminem.feat..Joyner.Lucas."
124005,542,"Eminem.feat..Joyner.Lucas."
125120,545,"Eminem.feat..Joyner.Lucas."
127000,554,"Eminem.feat..Joyner.Lucas."
130229,568,"Eminem.feat..Joyner.Lucas."
131878,573,"Eminem.feat..Joyner.Lucas."
133294,579,"Eminem.feat..Joyner.Lucas."
136595,589,"Eminem.feat..Joyner.Lucas."
138034,593,"Eminem.feat..Joyner.Lucas."
138919,599,"Eminem.feat..Joyner.Lucas."
140498,605,"Eminem.feat..Joyner.Lucas."
142380,612,"Eminem.feat..Joyner.Lucas."
143634,620,"Eminem.feat..Joyner.Lucas."
145701,629,"Eminem.feat..Joyner.Lucas."
146885,636,"Eminem.feat..Joyner.Lucas."
148464,647,"Eminem.feat..Joyner.Lucas."
149950,658,"Eminem.feat..Joyner.Lucas."
151391,664,"Eminem.feat..Joyner.Lucas."
152806,669,"Eminem.feat..Joyner.Lucas."
154152,678,"Eminem.feat..Joyner.Lucas."
155916,687,"Eminem.feat..Joyner.Lucas."
158284,697,"Eminem.feat..Joyner.Lucas."
159908,706,"Eminem.feat..Joyner.Lucas."
161486,711,"Eminem.feat..Joyner.Lucas."
162229,713,"Eminem.feat..Joyner.Lucas."
164736,727,"Eminem.feat..Joyner.Lucas."
165665,734,"Eminem.feat..Joyner.Lucas."
167383,744,"Eminem.feat..Joyner.Lucas."
168543,751,"Eminem.feat..Joyner.Lucas."
170005,759,"Eminem.feat..Joyner.Lucas."
171239,764,"Eminem.feat..Joyner.Lucas."
173399,773,"Eminem.feat..Joyner.Lucas."
175233,781,"Eminem.feat..Joyner.Lucas."
177741,791,"Eminem.feat..Joyner.Lucas."
175929,799,"Eminem.feat..Joyner.Lucas."
181594,810,"Eminem.feat..Joyner.Lucas."
183104,820,"Eminem.feat..Joyner.Lucas."
185262,831,"Eminem.feat..Joyner.Lucas."
187772,842,"Eminem.feat..Joyner.Lucas."
188885,847,"Eminem.feat..Joyner.Lucas."
190650,866,"Eminem.feat..Joyner.Lucas."
194063,889,"Eminem.feat..Joyner.Lucas."
195920,902,"Eminem.feat..Joyner.Lucas."
197452,908,"Eminem.feat..Joyner.Lucas."
198380,914,"Eminem.feat..Joyner.Lucas."
199756,923,"Eminem.feat..Joyner.Lucas."
200642,929,"Eminem.feat..Joyner.Lucas."
202291,940,"Eminem.feat..Joyner.Lucas."
203778,947,"Eminem.feat..Joyner.Lucas."
205334,956,"Eminem.feat..Joyner.Lucas."
206971,969,"Eminem.feat..Joyner.Lucas."
208386,977,"Eminem.feat..Joyner.Lucas."
209710,989,"Eminem.feat..Joyner.Lucas."
