"endTime","cumulativeWords","song"
33901,1,"Eminem.feat..Nate.Dogg."
38173,10,"Eminem.feat..Nate.Dogg."
42817,24,"Eminem.feat..Nate.Dogg."
47163,36,"Eminem.feat..Nate.Dogg."
51396,52,"Eminem.feat..Nate.Dogg."
55334,70,"Eminem.feat..Nate.Dogg."
59078,84,"Eminem.feat..Nate.Dogg."
62235,98,"Eminem.feat..Nate.Dogg."
65117,109,"Eminem.feat..Nate.Dogg."
67862,119,"Eminem.feat..Nate.Dogg."
70741,126,"Eminem.feat..Nate.Dogg."
73388,135,"Eminem.feat..Nate.Dogg."
76828,146,"Eminem.feat..Nate.Dogg."
79150,152,"Eminem.feat..Nate.Dogg."
81982,159,"Eminem.feat..Nate.Dogg."
84749,167,"Eminem.feat..Nate.Dogg."
86839,175,"Eminem.feat..Nate.Dogg."
90488,190,"Eminem.feat..Nate.Dogg."
93712,202,"Eminem.feat..Nate.Dogg."
95895,212,"Eminem.feat..Nate.Dogg."
98824,222,"Eminem.feat..Nate.Dogg."
101564,231,"Eminem.feat..Nate.Dogg."
103798,241,"Eminem.feat..Nate.Dogg."
106538,250,"Eminem.feat..Nate.Dogg."
109464,259,"Eminem.feat..Nate.Dogg."
112343,268,"Eminem.feat..Nate.Dogg."
115223,278,"Eminem.feat..Nate.Dogg."
117963,287,"Eminem.feat..Nate.Dogg."
120749,296,"Eminem.feat..Nate.Dogg."
123489,305,"Eminem.feat..Nate.Dogg."
126275,315,"Eminem.feat..Nate.Dogg."
129015,327,"Eminem.feat..Nate.Dogg."
131895,337,"Eminem.feat..Nate.Dogg."
134499,349,"Eminem.feat..Nate.Dogg."
137517,363,"Eminem.feat..Nate.Dogg."
140257,376,"Eminem.feat..Nate.Dogg."
143090,391,"Eminem.feat..Nate.Dogg."
145784,404,"Eminem.feat..Nate.Dogg."
148849,411,"Eminem.feat..Nate.Dogg."
151548,420,"Eminem.feat..Nate.Dogg."
154288,432,"Eminem.feat..Nate.Dogg."
157121,446,"Eminem.feat..Nate.Dogg."
159980,457,"Eminem.feat..Nate.Dogg."
162786,468,"Eminem.feat..Nate.Dogg."
165619,480,"Eminem.feat..Nate.Dogg."
168452,491,"Eminem.feat..Nate.Dogg."
171145,501,"Eminem.feat..Nate.Dogg."
173932,510,"Eminem.feat..Nate.Dogg."
176672,519,"Eminem.feat..Nate.Dogg."
179598,528,"Eminem.feat..Nate.Dogg."
182387,538,"Eminem.feat..Nate.Dogg."
185127,547,"Eminem.feat..Nate.Dogg."
187867,556,"Eminem.feat..Nate.Dogg."
190747,565,"Eminem.feat..Nate.Dogg."
193444,576,"Eminem.feat..Nate.Dogg."
196276,587,"Eminem.feat..Nate.Dogg."
198970,596,"Eminem.feat..Nate.Dogg."
201849,607,"Eminem.feat..Nate.Dogg."
204636,617,"Eminem.feat..Nate.Dogg."
207561,630,"Eminem.feat..Nate.Dogg."
210141,643,"Eminem.feat..Nate.Dogg."
213041,653,"Eminem.feat..Nate.Dogg."
216246,663,"Eminem.feat..Nate.Dogg."
218986,674,"Eminem.feat..Nate.Dogg."
221633,686,"Eminem.feat..Nate.Dogg."
224465,698,"Eminem.feat..Nate.Dogg."
227391,710,"Eminem.feat..Nate.Dogg."
230038,721,"Eminem.feat..Nate.Dogg."
232917,733,"Eminem.feat..Nate.Dogg."
235750,745,"Eminem.feat..Nate.Dogg."
238397,755,"Eminem.feat..Nate.Dogg."
241184,764,"Eminem.feat..Nate.Dogg."
243924,773,"Eminem.feat..Nate.Dogg."
246757,782,"Eminem.feat..Nate.Dogg."
249636,792,"Eminem.feat..Nate.Dogg."
252422,801,"Eminem.feat..Nate.Dogg."
255162,810,"Eminem.feat..Nate.Dogg."
257719,819,"Eminem.feat..Nate.Dogg."
260134,825,"Eminem.feat..Nate.Dogg."
262874,833,"Eminem.feat..Nate.Dogg."
265660,839,"Eminem.feat..Nate.Dogg."
271004,847,"Eminem.feat..Nate.Dogg."
273604,851,"Eminem.feat..Nate.Dogg."
276576,855,"Eminem.feat..Nate.Dogg."
280756,862,"Eminem.feat..Nate.Dogg."
