"endTime","cumulativeWords","song"
12771,1,"Future.feat..Drake."
15116,7,"Future.feat..Drake."
17786,15,"Future.feat..Drake."
20873,24,"Future.feat..Drake."
24030,32,"Future.feat..Drake."
26770,41,"Future.feat..Drake."
29417,49,"Future.feat..Drake."
32946,60,"Future.feat..Drake."
35453,68,"Future.feat..Drake."
38285,78,"Future.feat..Drake."
41419,87,"Future.feat..Drake."
44276,96,"Future.feat..Drake."
47085,104,"Future.feat..Drake."
50335,110,"Future.feat..Drake."
53098,120,"Future.feat..Drake."
55884,130,"Future.feat..Drake."
59344,142,"Future.feat..Drake."
61967,153,"Future.feat..Drake."
64777,161,"Future.feat..Drake."
67749,171,"Future.feat..Drake."
71046,183,"Future.feat..Drake."
73667,189,"Future.feat..Drake."
76615,199,"Future.feat..Drake."
79796,208,"Future.feat..Drake."
82511,216,"Future.feat..Drake."
85390,225,"Future.feat..Drake."
88409,233,"Future.feat..Drake."
91498,244,"Future.feat..Drake."
94238,252,"Future.feat..Drake."
97279,259,"Future.feat..Drake."
102062,267,"Future.feat..Drake."
102524,268,"Future.feat..Drake."
104144,275,"Future.feat..Drake."
105931,282,"Future.feat..Drake."
107951,294,"Future.feat..Drake."
109321,299,"Future.feat..Drake."
110760,305,"Future.feat..Drake."
112920,312,"Future.feat..Drake."
114335,319,"Future.feat..Drake."
116076,326,"Future.feat..Drake."
117536,332,"Future.feat..Drake."
119393,341,"Future.feat..Drake."
120925,348,"Future.feat..Drake."
122666,353,"Future.feat..Drake."
124453,361,"Future.feat..Drake."
126102,368,"Future.feat..Drake."
127773,377,"Future.feat..Drake."
129630,384,"Future.feat..Drake."
130535,387,"Future.feat..Drake."
132879,397,"Future.feat..Drake."
133924,401,"Future.feat..Drake."
136361,408,"Future.feat..Drake."
137754,415,"Future.feat..Drake."
139727,421,"Future.feat..Drake."
141375,428,"Future.feat..Drake."
143116,433,"Future.feat..Drake."
146413,445,"Future.feat..Drake."
149849,458,"Future.feat..Drake."
153239,470,"Future.feat..Drake."
156606,480,"Future.feat..Drake."
159972,492,"Future.feat..Drake."
163361,502,"Future.feat..Drake."
166706,511,"Future.feat..Drake."
169562,518,"Future.feat..Drake."
172348,525,"Future.feat..Drake."
173553,532,"Future.feat..Drake."
175853,544,"Future.feat..Drake."
176878,549,"Future.feat..Drake."
178317,555,"Future.feat..Drake."
180105,562,"Future.feat..Drake."
181938,569,"Future.feat..Drake."
183749,575,"Future.feat..Drake."
184937,583,"Future.feat..Drake."
186584,589,"Future.feat..Drake."
188279,595,"Future.feat..Drake."
189973,602,"Future.feat..Drake."
191830,609,"Future.feat..Drake."
192805,616,"Future.feat..Drake."
193872,621,"Future.feat..Drake."
195055,628,"Future.feat..Drake."
196378,635,"Future.feat..Drake."
198421,647,"Future.feat..Drake."
199605,652,"Future.feat..Drake."
201788,660,"Future.feat..Drake."
203947,666,"Future.feat..Drake."
206365,675,"Future.feat..Drake."
207340,677,"Future.feat..Drake."
212052,684,"Future.feat..Drake."
214118,691,"Future.feat..Drake."
216208,703,"Future.feat..Drake."
217347,708,"Future.feat..Drake."
218855,714,"Future.feat..Drake."
220875,721,"Future.feat..Drake."
222546,728,"Future.feat..Drake."
224263,735,"Future.feat..Drake."
225795,741,"Future.feat..Drake."
227280,747,"Future.feat..Drake."
229137,753,"Future.feat..Drake."
230925,760,"Future.feat..Drake."
232390,766,"Future.feat..Drake."
234178,773,"Future.feat..Drake."
235710,779,"Future.feat..Drake."
237792,785,"Future.feat..Drake."
