"endTime","cumulativeWords","song"
4596,1,"G.Eazy.feat..Tory.Lanez...Tyga."
5664,3,"G.Eazy.feat..Tory.Lanez...Tyga."
10888,11,"G.Eazy.feat..Tory.Lanez...Tyga."
12977,16,"G.Eazy.feat..Tory.Lanez...Tyga."
16070,25,"G.Eazy.feat..Tory.Lanez...Tyga."
20598,35,"G.Eazy.feat..Tory.Lanez...Tyga."
24224,47,"G.Eazy.feat..Tory.Lanez...Tyga."
25456,58,"G.Eazy.feat..Tory.Lanez...Tyga."
27773,65,"G.Eazy.feat..Tory.Lanez...Tyga."
30213,76,"G.Eazy.feat..Tory.Lanez...Tyga."
32815,87,"G.Eazy.feat..Tory.Lanez...Tyga."
34628,92,"G.Eazy.feat..Tory.Lanez...Tyga."
36930,103,"G.Eazy.feat..Tory.Lanez...Tyga."
39278,112,"G.Eazy.feat..Tory.Lanez...Tyga."
41742,120,"G.Eazy.feat..Tory.Lanez...Tyga."
43836,128,"G.Eazy.feat..Tory.Lanez...Tyga."
46414,138,"G.Eazy.feat..Tory.Lanez...Tyga."
48574,144,"G.Eazy.feat..Tory.Lanez...Tyga."
51316,154,"G.Eazy.feat..Tory.Lanez...Tyga."
53503,164,"G.Eazy.feat..Tory.Lanez...Tyga."
55548,172,"G.Eazy.feat..Tory.Lanez...Tyga."
57896,180,"G.Eazy.feat..Tory.Lanez...Tyga."
60108,187,"G.Eazy.feat..Tory.Lanez...Tyga."
62733,194,"G.Eazy.feat..Tory.Lanez...Tyga."
63717,199,"G.Eazy.feat..Tory.Lanez...Tyga."
66339,209,"G.Eazy.feat..Tory.Lanez...Tyga."
68361,214,"G.Eazy.feat..Tory.Lanez...Tyga."
71488,228,"G.Eazy.feat..Tory.Lanez...Tyga."
73186,237,"G.Eazy.feat..Tory.Lanez...Tyga."
77557,250,"G.Eazy.feat..Tory.Lanez...Tyga."
80764,263,"G.Eazy.feat..Tory.Lanez...Tyga."
83041,266,"G.Eazy.feat..Tory.Lanez...Tyga."
85689,275,"G.Eazy.feat..Tory.Lanez...Tyga."
87805,283,"G.Eazy.feat..Tory.Lanez...Tyga."
90222,291,"G.Eazy.feat..Tory.Lanez...Tyga."
92454,301,"G.Eazy.feat..Tory.Lanez...Tyga."
94828,312,"G.Eazy.feat..Tory.Lanez...Tyga."
97153,323,"G.Eazy.feat..Tory.Lanez...Tyga."
99432,332,"G.Eazy.feat..Tory.Lanez...Tyga."
101757,342,"G.Eazy.feat..Tory.Lanez...Tyga."
103780,350,"G.Eazy.feat..Tory.Lanez...Tyga."
106101,359,"G.Eazy.feat..Tory.Lanez...Tyga."
108239,368,"G.Eazy.feat..Tory.Lanez...Tyga."
110795,378,"G.Eazy.feat..Tory.Lanez...Tyga."
113027,384,"G.Eazy.feat..Tory.Lanez...Tyga."
115490,393,"G.Eazy.feat..Tory.Lanez...Tyga."
117581,401,"G.Eazy.feat..Tory.Lanez...Tyga."
119279,411,"G.Eazy.feat..Tory.Lanez...Tyga."
121584,420,"G.Eazy.feat..Tory.Lanez...Tyga."
123768,425,"G.Eazy.feat..Tory.Lanez...Tyga."
126724,434,"G.Eazy.feat..Tory.Lanez...Tyga."
130856,441,"G.Eazy.feat..Tory.Lanez...Tyga."
132948,446,"G.Eazy.feat..Tory.Lanez...Tyga."
136039,455,"G.Eazy.feat..Tory.Lanez...Tyga."
140242,461,"G.Eazy.feat..Tory.Lanez...Tyga."
142614,471,"G.Eazy.feat..Tory.Lanez...Tyga."
144830,481,"G.Eazy.feat..Tory.Lanez...Tyga."
147246,491,"G.Eazy.feat..Tory.Lanez...Tyga."
149453,498,"G.Eazy.feat..Tory.Lanez...Tyga."
151665,506,"G.Eazy.feat..Tory.Lanez...Tyga."
154036,516,"G.Eazy.feat..Tory.Lanez...Tyga."
156337,527,"G.Eazy.feat..Tory.Lanez...Tyga."
158685,535,"G.Eazy.feat..Tory.Lanez...Tyga."
160892,545,"G.Eazy.feat..Tory.Lanez...Tyga."
163355,554,"G.Eazy.feat..Tory.Lanez...Tyga."
165516,563,"G.Eazy.feat..Tory.Lanez...Tyga."
167979,571,"G.Eazy.feat..Tory.Lanez...Tyga."
170396,583,"G.Eazy.feat..Tory.Lanez...Tyga."
172628,591,"G.Eazy.feat..Tory.Lanez...Tyga."
174744,600,"G.Eazy.feat..Tory.Lanez...Tyga."
177095,608,"G.Eazy.feat..Tory.Lanez...Tyga."
179160,613,"G.Eazy.feat..Tory.Lanez...Tyga."
182066,622,"G.Eazy.feat..Tory.Lanez...Tyga."
186197,629,"G.Eazy.feat..Tory.Lanez...Tyga."
188358,634,"G.Eazy.feat..Tory.Lanez...Tyga."
191589,643,"G.Eazy.feat..Tory.Lanez...Tyga."
