"endTime","cumulativeWords","song"
1650,9,"Jack.Harlow."
3905,18,"Jack.Harlow."
4740,27,"Jack.Harlow."
6434,37,"Jack.Harlow."
7874,39,"Jack.Harlow."
9802,46,"Jack.Harlow."
11963,55,"Jack.Harlow."
13217,58,"Jack.Harlow."
14634,67,"Jack.Harlow."
16167,75,"Jack.Harlow."
17978,81,"Jack.Harlow."
19256,87,"Jack.Harlow."
21207,98,"Jack.Harlow."
23158,106,"Jack.Harlow."
24482,116,"Jack.Harlow."
26107,120,"Jack.Harlow."
28708,128,"Jack.Harlow."
30613,138,"Jack.Harlow."
32934,148,"Jack.Harlow."
36093,159,"Jack.Harlow."
37695,165,"Jack.Harlow."
39598,177,"Jack.Harlow."
43035,188,"Jack.Harlow."
44497,195,"Jack.Harlow."
46284,205,"Jack.Harlow."
49488,213,"Jack.Harlow."
51229,215,"Jack.Harlow."
52901,223,"Jack.Harlow."
54271,232,"Jack.Harlow."
55895,240,"Jack.Harlow."
57730,247,"Jack.Harlow."
59541,258,"Jack.Harlow."
60702,263,"Jack.Harlow."
62466,269,"Jack.Harlow."
64045,275,"Jack.Harlow."
65787,283,"Jack.Harlow."
67482,289,"Jack.Harlow."
69153,298,"Jack.Harlow."
70732,305,"Jack.Harlow."
72497,313,"Jack.Harlow."
74215,319,"Jack.Harlow."
75724,325,"Jack.Harlow."
77303,333,"Jack.Harlow."
79067,342,"Jack.Harlow."
80809,346,"Jack.Harlow."
82319,352,"Jack.Harlow."
83991,359,"Jack.Harlow."
85802,369,"Jack.Harlow."
88472,376,"Jack.Harlow."
90330,384,"Jack.Harlow."
92234,389,"Jack.Harlow."
93581,398,"Jack.Harlow."
95415,402,"Jack.Harlow."
98412,416,"Jack.Harlow."
102547,430,"Jack.Harlow."
104265,441,"Jack.Harlow."
106192,452,"Jack.Harlow."
108862,459,"Jack.Harlow."
110790,467,"Jack.Harlow."
112438,476,"Jack.Harlow."
114736,485,"Jack.Harlow."
115830,494,"Jack.Harlow."
117409,497,"Jack.Harlow."
119570,507,"Jack.Harlow."
120800,509,"Jack.Harlow."
122471,516,"Jack.Harlow."
123959,525,"Jack.Harlow."
125816,528,"Jack.Harlow."
