"endTime","cumulativeWords","song"
3595,5,"Lil.Baby...Gunna."
9515,15,"Lil.Baby...Gunna."
12719,24,"Lil.Baby...Gunna."
14623,26,"Lil.Baby...Gunna."
16619,31,"Lil.Baby...Gunna."
17969,36,"Lil.Baby...Gunna."
19872,42,"Lil.Baby...Gunna."
21546,51,"Lil.Baby...Gunna."
23681,60,"Lil.Baby...Gunna."
25376,68,"Lil.Baby...Gunna."
27211,74,"Lil.Baby...Gunna."
29161,82,"Lil.Baby...Gunna."
30972,90,"Lil.Baby...Gunna."
33014,98,"Lil.Baby...Gunna."
34825,105,"Lil.Baby...Gunna."
36496,111,"Lil.Baby...Gunna."
38191,119,"Lil.Baby...Gunna."
39932,126,"Lil.Baby...Gunna."
41882,134,"Lil.Baby...Gunna."
43646,144,"Lil.Baby...Gunna."
46802,151,"Lil.Baby...Gunna."
47989,160,"Lil.Baby...Gunna."
49548,169,"Lil.Baby...Gunna."
51544,177,"Lil.Baby...Gunna."
53146,188,"Lil.Baby...Gunna."
55096,198,"Lil.Baby...Gunna."
57092,208,"Lil.Baby...Gunna."
58810,218,"Lil.Baby...Gunna."
60435,226,"Lil.Baby...Gunna."
62385,236,"Lil.Baby...Gunna."
64125,245,"Lil.Baby...Gunna."
66285,253,"Lil.Baby...Gunna."
67817,259,"Lil.Baby...Gunna."
69744,268,"Lil.Baby...Gunna."
72716,281,"Lil.Baby...Gunna."
73996,287,"Lil.Baby...Gunna."
76251,290,"Lil.Baby...Gunna."
77574,293,"Lil.Baby...Gunna."
79455,303,"Lil.Baby...Gunna."
80894,314,"Lil.Baby...Gunna."
82611,324,"Lil.Baby...Gunna."
84677,331,"Lil.Baby...Gunna."
86510,342,"Lil.Baby...Gunna."
88437,352,"Lil.Baby...Gunna."
90062,361,"Lil.Baby...Gunna."
92267,371,"Lil.Baby...Gunna."
94054,381,"Lil.Baby...Gunna."
96236,393,"Lil.Baby...Gunna."
97701,405,"Lil.Baby...Gunna."
99512,414,"Lil.Baby...Gunna."
101369,422,"Lil.Baby...Gunna."
103226,429,"Lil.Baby...Gunna."
105107,441,"Lil.Baby...Gunna."
106895,452,"Lil.Baby...Gunna."
109008,463,"Lil.Baby...Gunna."
110841,476,"Lil.Baby...Gunna."
112794,486,"Lil.Baby...Gunna."
114561,495,"Lil.Baby...Gunna."
116351,506,"Lil.Baby...Gunna."
118139,514,"Lil.Baby...Gunna."
119578,520,"Lil.Baby...Gunna."
121783,531,"Lil.Baby...Gunna."
123477,542,"Lil.Baby...Gunna."
125403,557,"Lil.Baby...Gunna."
127051,567,"Lil.Baby...Gunna."
129210,577,"Lil.Baby...Gunna."
130629,585,"Lil.Baby...Gunna."
132485,593,"Lil.Baby...Gunna."
134596,600,"Lil.Baby...Gunna."
136340,606,"Lil.Baby...Gunna."
138036,613,"Lil.Baby...Gunna."
139823,622,"Lil.Baby...Gunna."
141773,632,"Lil.Baby...Gunna."
143629,639,"Lil.Baby...Gunna."
146392,642,"Lil.Baby...Gunna."
147714,645,"Lil.Baby...Gunna."
149524,655,"Lil.Baby...Gunna."
151013,666,"Lil.Baby...Gunna."
152916,676,"Lil.Baby...Gunna."
154681,683,"Lil.Baby...Gunna."
156677,694,"Lil.Baby...Gunna."
158441,704,"Lil.Baby...Gunna."
160228,713,"Lil.Baby...Gunna."
162503,722,"Lil.Baby...Gunna."
