"endTime","cumulativeWords","song"
2784,1,"NLE.Choppa.feat..Roddy.Ricch."
6545,4,"NLE.Choppa.feat..Roddy.Ricch."
8840,8,"NLE.Choppa.feat..Roddy.Ricch."
15425,19,"NLE.Choppa.feat..Roddy.Ricch."
18258,28,"NLE.Choppa.feat..Roddy.Ricch."
21087,39,"NLE.Choppa.feat..Roddy.Ricch."
23920,51,"NLE.Choppa.feat..Roddy.Ricch."
26686,62,"NLE.Choppa.feat..Roddy.Ricch."
29797,74,"NLE.Choppa.feat..Roddy.Ricch."
32700,84,"NLE.Choppa.feat..Roddy.Ricch."
34951,93,"NLE.Choppa.feat..Roddy.Ricch."
37435,99,"NLE.Choppa.feat..Roddy.Ricch."
40451,105,"NLE.Choppa.feat..Roddy.Ricch."
43284,111,"NLE.Choppa.feat..Roddy.Ricch."
45954,117,"NLE.Choppa.feat..Roddy.Ricch."
47905,124,"NLE.Choppa.feat..Roddy.Ricch."
50808,134,"NLE.Choppa.feat..Roddy.Ricch."
53899,146,"NLE.Choppa.feat..Roddy.Ricch."
57057,160,"NLE.Choppa.feat..Roddy.Ricch."
59817,168,"NLE.Choppa.feat..Roddy.Ricch."
62743,179,"NLE.Choppa.feat..Roddy.Ricch."
65556,191,"NLE.Choppa.feat..Roddy.Ricch."
68554,202,"NLE.Choppa.feat..Roddy.Ricch."
72550,212,"NLE.Choppa.feat..Roddy.Ricch."
75314,221,"NLE.Choppa.feat..Roddy.Ricch."
78077,232,"NLE.Choppa.feat..Roddy.Ricch."
81052,244,"NLE.Choppa.feat..Roddy.Ricch."
83978,255,"NLE.Choppa.feat..Roddy.Ricch."
86718,267,"NLE.Choppa.feat..Roddy.Ricch."
89806,277,"NLE.Choppa.feat..Roddy.Ricch."
92129,286,"NLE.Choppa.feat..Roddy.Ricch."
94309,292,"NLE.Choppa.feat..Roddy.Ricch."
97235,298,"NLE.Choppa.feat..Roddy.Ricch."
100230,304,"NLE.Choppa.feat..Roddy.Ricch."
102988,310,"NLE.Choppa.feat..Roddy.Ricch."
105658,321,"NLE.Choppa.feat..Roddy.Ricch."
107705,334,"NLE.Choppa.feat..Roddy.Ricch."
110793,347,"NLE.Choppa.feat..Roddy.Ricch."
113720,357,"NLE.Choppa.feat..Roddy.Ricch."
115880,366,"NLE.Choppa.feat..Roddy.Ricch."
118875,380,"NLE.Choppa.feat..Roddy.Ricch."
121897,392,"NLE.Choppa.feat..Roddy.Ricch."
123131,400,"NLE.Choppa.feat..Roddy.Ricch."
124550,408,"NLE.Choppa.feat..Roddy.Ricch."
125900,416,"NLE.Choppa.feat..Roddy.Ricch."
129378,426,"NLE.Choppa.feat..Roddy.Ricch."
132423,435,"NLE.Choppa.feat..Roddy.Ricch."
135259,446,"NLE.Choppa.feat..Roddy.Ricch."
138185,458,"NLE.Choppa.feat..Roddy.Ricch."
140789,469,"NLE.Choppa.feat..Roddy.Ricch."
143877,481,"NLE.Choppa.feat..Roddy.Ricch."
146504,491,"NLE.Choppa.feat..Roddy.Ricch."
149333,500,"NLE.Choppa.feat..Roddy.Ricch."
151633,506,"NLE.Choppa.feat..Roddy.Ricch."
154373,512,"NLE.Choppa.feat..Roddy.Ricch."
157626,518,"NLE.Choppa.feat..Roddy.Ricch."
160227,524,"NLE.Choppa.feat..Roddy.Ricch."
