"endTime","cumulativeWords","song"
3031,5,"Song2..Eminem."
4401,9,"Song2..Eminem."
5913,12,"Song2..Eminem."
6932,14,"Song2..Eminem."
8302,19,"Song2..Eminem."
9788,23,"Song2..Eminem."
11599,26,"Song2..Eminem."
12784,28,"Song2..Eminem."
14293,33,"Song2..Eminem."
15640,42,"Song2..Eminem."
17920,44,"Song2..Eminem."
19477,52,"Song2..Eminem."
21471,55,"Song2..Eminem."
26750,64,"Song2..Eminem."
27732,71,"Song2..Eminem."
29103,78,"Song2..Eminem."
32432,89,"Song2..Eminem."
35005,101,"Song2..Eminem."
37536,112,"Song2..Eminem."
40697,125,"Song2..Eminem."
43852,135,"Song2..Eminem."
45527,143,"Song2..Eminem."
48496,153,"Song2..Eminem."
51352,166,"Song2..Eminem."
54347,175,"Song2..Eminem."
55372,180,"Song2..Eminem."
57440,188,"Song2..Eminem."
59064,195,"Song2..Eminem."
61318,205,"Song2..Eminem."
62753,210,"Song2..Eminem."
65748,220,"Song2..Eminem."
68442,233,"Song2..Eminem."
69928,238,"Song2..Eminem."
71600,242,"Song2..Eminem."
73086,245,"Song2..Eminem."
74131,247,"Song2..Eminem."
75640,252,"Song2..Eminem."
77149,256,"Song2..Eminem."
78635,259,"Song2..Eminem."
79843,261,"Song2..Eminem."
80748,266,"Song2..Eminem."
82676,270,"Song2..Eminem."
84347,273,"Song2..Eminem."
85392,275,"Song2..Eminem."
85392,280,"Song2..Eminem."
88109,284,"Song2..Eminem."
90036,287,"Song2..Eminem."
90968,289,"Song2..Eminem."
93194,299,"Song2..Eminem."
96050,308,"Song2..Eminem."
98279,317,"Song2..Eminem."
99951,322,"Song2..Eminem."
102041,331,"Song2..Eminem."
104897,341,"Song2..Eminem."
107753,352,"Song2..Eminem."
111352,360,"Song2..Eminem."
113581,369,"Song2..Eminem."
115996,378,"Song2..Eminem."
118852,391,"Song2..Eminem."
121685,402,"Song2..Eminem."
123360,408,"Song2..Eminem."
124499,416,"Song2..Eminem."
127397,427,"Song2..Eminem."
130091,438,"Song2..Eminem."
132927,447,"Song2..Eminem."
133486,453,"Song2..Eminem."
135917,464,"Song2..Eminem."
137150,469,"Song2..Eminem."
138798,473,"Song2..Eminem."
140447,476,"Song2..Eminem."
141352,478,"Song2..Eminem."
143303,483,"Song2..Eminem."
144650,487,"Song2..Eminem."
146136,490,"Song2..Eminem."
147041,492,"Song2..Eminem."
148388,497,"Song2..Eminem."
150339,501,"Song2..Eminem."
151546,504,"Song2..Eminem."
152591,506,"Song2..Eminem."
153938,511,"Song2..Eminem."
155586,515,"Song2..Eminem."
157258,518,"Song2..Eminem."
158141,520,"Song2..Eminem."
161136,532,"Song2..Eminem."
163690,539,"Song2..Eminem."
166546,551,"Song2..Eminem."
169240,562,"Song2..Eminem."
171260,569,"Song2..Eminem."
172305,573,"Song2..Eminem."
174232,580,"Song2..Eminem."
176995,593,"Song2..Eminem."
178998,600,"Song2..Eminem."
180694,608,"Song2..Eminem."
183148,615,"Song2..Eminem."
186446,626,"Song2..Eminem."
189000,640,"Song2..Eminem."
191856,652,"Song2..Eminem."
194387,661,"Song2..Eminem."
197734,673,"Song2..Eminem."
198455,677,"Song2..Eminem."
200895,687,"Song2..Eminem."
203094,699,"Song2..Eminem."
204743,704,"Song2..Eminem."
206229,708,"Song2..Eminem."
207738,711,"Song2..Eminem."
208644,713,"Song2..Eminem."
210594,718,"Song2..Eminem."
212080,722,"Song2..Eminem."
213288,725,"Song2..Eminem."
214333,727,"Song2..Eminem."
216005,732,"Song2..Eminem."
217491,736,"Song2..Eminem."
219139,739,"Song2..Eminem."
220045,741,"Song2..Eminem."
221392,746,"Song2..Eminem."
223180,750,"Song2..Eminem."
224689,753,"Song2..Eminem."
268303,755,"Song2..Eminem."
