"endTime","cumulativeWords","song"
3854,9,"Song2..Post.Malone.feat..DaBaby."
6756,20,"Song2..Post.Malone.feat..DaBaby."
10078,29,"Song2..Post.Malone.feat..DaBaby."
12516,34,"Song2..Post.Malone.feat..DaBaby."
16091,44,"Song2..Post.Malone.feat..DaBaby."
19481,54,"Song2..Post.Malone.feat..DaBaby."
22500,62,"Song2..Post.Malone.feat..DaBaby."
26024,76,"Song2..Post.Malone.feat..DaBaby."
28160,82,"Song2..Post.Malone.feat..DaBaby."
31247,91,"Song2..Post.Malone.feat..DaBaby."
34962,102,"Song2..Post.Malone.feat..DaBaby."
37867,113,"Song2..Post.Malone.feat..DaBaby."
41490,117,"Song2..Post.Malone.feat..DaBaby."
44463,121,"Song2..Post.Malone.feat..DaBaby."
47179,128,"Song2..Post.Malone.feat..DaBaby."
50848,137,"Song2..Post.Malone.feat..DaBaby."
55120,146,"Song2..Post.Malone.feat..DaBaby."
58001,157,"Song2..Post.Malone.feat..DaBaby."
61229,165,"Song2..Post.Malone.feat..DaBaby."
64061,170,"Song2..Post.Malone.feat..DaBaby."
66755,177,"Song2..Post.Malone.feat..DaBaby."
70426,184,"Song2..Post.Malone.feat..DaBaby."
73631,192,"Song2..Post.Malone.feat..DaBaby."
76860,197,"Song2..Post.Malone.feat..DaBaby."
78345,203,"Song2..Post.Malone.feat..DaBaby."
79715,208,"Song2..Post.Malone.feat..DaBaby."
81107,220,"Song2..Post.Malone.feat..DaBaby."
82824,228,"Song2..Post.Malone.feat..DaBaby."
84406,239,"Song2..Post.Malone.feat..DaBaby."
85915,246,"Song2..Post.Malone.feat..DaBaby."
87102,254,"Song2..Post.Malone.feat..DaBaby."
88680,264,"Song2..Post.Malone.feat..DaBaby."
92093,281,"Song2..Post.Malone.feat..DaBaby."
93466,291,"Song2..Post.Malone.feat..DaBaby."
95230,300,"Song2..Post.Malone.feat..DaBaby."
96808,308,"Song2..Post.Malone.feat..DaBaby."
98364,318,"Song2..Post.Malone.feat..DaBaby."
99989,329,"Song2..Post.Malone.feat..DaBaby."
102100,340,"Song2..Post.Malone.feat..DaBaby."
103237,350,"Song2..Post.Malone.feat..DaBaby."
104862,359,"Song2..Post.Malone.feat..DaBaby."
106420,370,"Song2..Post.Malone.feat..DaBaby."
107974,379,"Song2..Post.Malone.feat..DaBaby."
109600,388,"Song2..Post.Malone.feat..DaBaby."
111642,400,"Song2..Post.Malone.feat..DaBaby."
113128,407,"Song2..Post.Malone.feat..DaBaby."
114427,414,"Song2..Post.Malone.feat..DaBaby."
115214,416,"Song2..Post.Malone.feat..DaBaby."
118395,425,"Song2..Post.Malone.feat..DaBaby."
122227,437,"Song2..Post.Malone.feat..DaBaby."
125337,445,"Song2..Post.Malone.feat..DaBaby."
127941,450,"Song2..Post.Malone.feat..DaBaby."
130705,457,"Song2..Post.Malone.feat..DaBaby."
134234,464,"Song2..Post.Malone.feat..DaBaby."
137856,472,"Song2..Post.Malone.feat..DaBaby."
140504,477,"Song2..Post.Malone.feat..DaBaby."
143707,488,"Song2..Post.Malone.feat..DaBaby."
146517,498,"Song2..Post.Malone.feat..DaBaby."
150093,509,"Song2..Post.Malone.feat..DaBaby."
152760,521,"Song2..Post.Malone.feat..DaBaby."
157125,529,"Song2..Post.Malone.feat..DaBaby."
160492,542,"Song2..Post.Malone.feat..DaBaby."
163506,550,"Song2..Post.Malone.feat..DaBaby."
166015,555,"Song2..Post.Malone.feat..DaBaby."
169196,562,"Song2..Post.Malone.feat..DaBaby."
172494,569,"Song2..Post.Malone.feat..DaBaby."
176069,577,"Song2..Post.Malone.feat..DaBaby."
179251,582,"Song2..Post.Malone.feat..DaBaby."
182524,586,"Song2..Post.Malone.feat..DaBaby."
185705,589,"Song2..Post.Malone.feat..DaBaby."
