"endTime","cumulativeWords","song"
15086,1,"Song3..Post.Malone.feat..Young.Thug."
17968,12,"Song3..Post.Malone.feat..Young.Thug."
20755,23,"Song3..Post.Malone.feat..Young.Thug."
24751,34,"Song3..Post.Malone.feat..Young.Thug."
27353,39,"Song3..Post.Malone.feat..Young.Thug."
30581,46,"Song3..Post.Malone.feat..Young.Thug."
33833,53,"Song3..Post.Malone.feat..Young.Thug."
37039,60,"Song3..Post.Malone.feat..Young.Thug."
40546,67,"Song3..Post.Malone.feat..Young.Thug."
45029,76,"Song3..Post.Malone.feat..Young.Thug."
48234,85,"Song3..Post.Malone.feat..Young.Thug."
50812,92,"Song3..Post.Malone.feat..Young.Thug."
52507,97,"Song3..Post.Malone.feat..Young.Thug."
55943,106,"Song3..Post.Malone.feat..Young.Thug."
59101,115,"Song3..Post.Malone.feat..Young.Thug."
63258,123,"Song3..Post.Malone.feat..Young.Thug."
65628,128,"Song3..Post.Malone.feat..Young.Thug."
69043,139,"Song3..Post.Malone.feat..Young.Thug."
71857,148,"Song3..Post.Malone.feat..Young.Thug."
75504,159,"Song3..Post.Malone.feat..Young.Thug."
76665,163,"Song3..Post.Malone.feat..Young.Thug."
79173,171,"Song3..Post.Malone.feat..Young.Thug."
83471,180,"Song3..Post.Malone.feat..Young.Thug."
86141,189,"Song3..Post.Malone.feat..Young.Thug."
88974,198,"Song3..Post.Malone.feat..Young.Thug."
90971,203,"Song3..Post.Malone.feat..Young.Thug."
92898,210,"Song3..Post.Malone.feat..Young.Thug."
94477,216,"Song3..Post.Malone.feat..Young.Thug."
96219,222,"Song3..Post.Malone.feat..Young.Thug."
97798,229,"Song3..Post.Malone.feat..Young.Thug."
100723,237,"Song3..Post.Malone.feat..Young.Thug."
104091,248,"Song3..Post.Malone.feat..Young.Thug."
107179,256,"Song3..Post.Malone.feat..Young.Thug."
109896,263,"Song3..Post.Malone.feat..Young.Thug."
114496,275,"Song3..Post.Malone.feat..Young.Thug."
117586,286,"Song3..Post.Malone.feat..Young.Thug."
119886,296,"Song3..Post.Malone.feat..Young.Thug."
123090,305,"Song3..Post.Malone.feat..Young.Thug."
126108,314,"Song3..Post.Malone.feat..Young.Thug."
128848,319,"Song3..Post.Malone.feat..Young.Thug."
130358,327,"Song3..Post.Malone.feat..Young.Thug."
134399,336,"Song3..Post.Malone.feat..Young.Thug."
137279,345,"Song3..Post.Malone.feat..Young.Thug."
140367,354,"Song3..Post.Malone.feat..Young.Thug."
142573,359,"Song3..Post.Malone.feat..Young.Thug."
145568,362,"Song3..Post.Malone.feat..Young.Thug."
148819,365,"Song3..Post.Malone.feat..Young.Thug."
152070,368,"Song3..Post.Malone.feat..Young.Thug."
155901,373,"Song3..Post.Malone.feat..Young.Thug."
158502,376,"Song3..Post.Malone.feat..Young.Thug."
161567,379,"Song3..Post.Malone.feat..Young.Thug."
165746,382,"Song3..Post.Malone.feat..Young.Thug."
167906,387,"Song3..Post.Malone.feat..Young.Thug."
