"endTime","cumulativeWords","song"
1578,1,"Travis.Scott.feat..Young.Thug."
3158,5,"Travis.Scott.feat..Young.Thug."
3387,6,"Travis.Scott.feat..Young.Thug."
6362,14,"Travis.Scott.feat..Young.Thug."
9591,24,"Travis.Scott.feat..Young.Thug."
13237,35,"Travis.Scott.feat..Young.Thug."
16303,46,"Travis.Scott.feat..Young.Thug."
20087,65,"Travis.Scott.feat..Young.Thug."
23155,80,"Travis.Scott.feat..Young.Thug."
25454,91,"Travis.Scott.feat..Young.Thug."
26594,98,"Travis.Scott.feat..Young.Thug."
29892,109,"Travis.Scott.feat..Young.Thug."
33725,118,"Travis.Scott.feat..Young.Thug."
37189,132,"Travis.Scott.feat..Young.Thug."
40096,140,"Travis.Scott.feat..Young.Thug."
43602,151,"Travis.Scott.feat..Young.Thug."
50175,161,"Travis.Scott.feat..Young.Thug."
53589,171,"Travis.Scott.feat..Young.Thug."
58118,183,"Travis.Scott.feat..Young.Thug."
61163,193,"Travis.Scott.feat..Young.Thug."
63253,197,"Travis.Scott.feat..Young.Thug."
67689,207,"Travis.Scott.feat..Young.Thug."
69197,213,"Travis.Scott.feat..Young.Thug."
71633,219,"Travis.Scott.feat..Young.Thug."
75024,227,"Travis.Scott.feat..Young.Thug."
78346,237,"Travis.Scott.feat..Young.Thug."
82366,248,"Travis.Scott.feat..Young.Thug."
84808,259,"Travis.Scott.feat..Young.Thug."
87942,264,"Travis.Scott.feat..Young.Thug."
91240,276,"Travis.Scott.feat..Young.Thug."
94631,284,"Travis.Scott.feat..Young.Thug."
97930,295,"Travis.Scott.feat..Young.Thug."
102251,308,"Travis.Scott.feat..Young.Thug."
105595,319,"Travis.Scott.feat..Young.Thug."
108335,329,"Travis.Scott.feat..Young.Thug."
111680,340,"Travis.Scott.feat..Young.Thug."
116093,351,"Travis.Scott.feat..Young.Thug."
119554,361,"Travis.Scott.feat..Young.Thug."
122829,371,"Travis.Scott.feat..Young.Thug."
125220,379,"Travis.Scott.feat..Young.Thug."
129843,388,"Travis.Scott.feat..Young.Thug."
133141,398,"Travis.Scott.feat..Young.Thug."
136487,409,"Travis.Scott.feat..Young.Thug."
139833,420,"Travis.Scott.feat..Young.Thug."
143735,439,"Travis.Scott.feat..Young.Thug."
146706,456,"Travis.Scott.feat..Young.Thug."
148704,467,"Travis.Scott.feat..Young.Thug."
150262,476,"Travis.Scott.feat..Young.Thug."
153257,487,"Travis.Scott.feat..Young.Thug."
157528,491,"Travis.Scott.feat..Young.Thug."
