"char.name","char.story","char.url"
"General Hux","Ruthless commander in power struggle with Kylo Ren for the First Order leadership and being exceeded only by Snoke.","http://ia.media-imdb.com/images/M/MV5BNGE1MzY4MjktYjIwYy00MWViLWIyYjctYzk5ODEwYTMzN2RkXkEyXkFqcGdeQXVyNTI4MDA1MzI@._V1_.jpg"
"Poe Dameron","Poe Dameron is portrayed by Oscar Isaac in Star Wars: Episode VII The Force Awakens. Isaac's casting in the film was first announced on April 29, 2014, and the character was revealed in the first teaser trailer for the film on November 28, 2014. His name was revealed by Entertainment Weekly in an exclusive trading card.On March 20, 2015, Isaac revealed that he will appear in Star Wars: Episode VIII, as well. Poe Dameron is an extraordinarily gifted X-Wing pilot with amazing ""stick-and-rudder"" skills. He is trusted by Leia.","http://ia.media-imdb.com/images/M/MV5BMTU0NzUwMzYwMV5BMl5BanBnXkFtZTgwMjIxOTI0NzE@._V1_.jpg"
"Maz Kanata","A thousand-year old female pirate and past acquaintance to Han Solo. Around thirty years after the Battle of Endor, Maz lives in semi-retirement in her castle on Takodana, complete with a cantina. She plays host to travelers, smugglers and other riff-raff from across the galaxy. Maz does not appear to possess any abilities with The Force, but she may be Force-sensitive, recognizing those who are strong with it. And is very insightful due to her advanced years.[Spoiler]Somehow she has come into possession of Anakin Skywalker's original Jedi lightsaber, the one Luke inherited but lost on Bespin. She chose to hide the weapon away when he disappeared./Spoiler]","http://ia.media-imdb.com/images/M/MV5BMjc3MTZhNDMtNDk5MS00MzQ5LTljYjktMzUzN2U4YzM3ZDQyXkEyXkFqcGdeQXVyMDM0MzU2NA@@._V1_.jpg"
"Unkar Plutt","Crolute junk dealer on Jakku. He is very stingy with food ration payments to Rey, until he sees BB-8 with her and offers her several months of food just to get the astromech droid.Unkar apparently has no issue using thugs to get what he wants either.(spoiler) At the time of The Force Awakens, he is in possession of The Millennium Falcon after a series of thefts put it in his hands. So, likely Unkar also fences stolen goods. The ship has spent several years under a tarp; apparently in a state of disrepair.","http://ia.media-imdb.com/images/I/81cVbpvXx9L.png"
"Finn","Finn is a former storm trooper (FN-2187) who befriends Poe Dameron, Rey, Han Solo, Chewbacca, and General Organa in the fight against the First Order.","http://ia.media-imdb.com/images/M/MV5BMTA2NzI2OTQzODZeQTJeQWpwZ15BbWU4MDc0MzE2NTMx._V1_.jpg"
"Snap Wexley",NA,"http://ia.media-imdb.com/images/M/MV5BZmM1NmNjZTAtMDM0ZC00ODE5LWEwYjUtZGRlNmZkYTAwNWY4XkEyXkFqcGdeQXVyNDA5ODU0NDg@._V1_.jpg"
"Captain Phasma","Legion Commander who reports to General Hux. She wears special armor that can change shape and purpose based upon weapons firing at her.","http://ia.media-imdb.com/images/M/MV5BMjIwMjQ0Mzc1Ml5BMl5BanBnXkFtZTgwNzU5ODEzNzE@._V1_.jpg"
"Chewbacca","Main Biography An immense, fur covered warrior of great strength and loyalty, Chewbacca the Wookiee was a well-known figure in both the underworld and in the Rebel Alliance. Born on Kashyyyk over two centuries before the Battle of Yavin, Chewbacca was a wise, sophisticated being with exceptional skills in starship piloting and repair. Chewbacca is a veteran of the Clone Wars, the galaxy-wide conflict that pitted the clone armies of the Republic against the droid forces of the Confederacy of Independent Systems. The Wookiee was part of the high command tasked with protecting Kashyyyk from droid invasion. There, he served with fellow Wookiee Tarfful and the Jedi Master Yoda.The wise Yoda had maintained a good relationship with the denizens of Kashyyyk, earning the respect of the mighty Wookiees. When events surrounding the rise of the Empire resulted in the clone forces betraying their Jedi generals, Chewbacca and Tarfful remained loyal to Yoda, helping the Jedi Master escape the clone trap.For their brutish strength and technological savvy, Wookiees were enslaved by the Empire for use as labor. For a time, Chewbacca was a slave, toiling away for the betterment of the Empire until an impudent Imperial cadet named Han Solo freed him.Drummed out of the military, Solo had few options but to return to the fringe lifestyle he knew so well. Chewbacca swore loyalty to Han, and became his partner in crime. The two of them became a well-known smuggling duo. When they came into ownership of the freighter Millennium Falcon, their exploits became legendary.Chewbacca and Solo spent hours modifying and tinkering on their beloved Falcon, souping it up far beyond its original performance specs. Although the Falcon's upkeep was a labor of love, many a time Chewie unleashed his legendary temper on the recalcitrant freighter, banging his massive furry hands against delicate components that refused to behave.Chewbacca became Solo's conscience of sorts. Though the smuggler maintained a mercenary air of bravado that refused to adhere to any ideals other than self-preservation, Chewie was openly the more compassionate of the two. Perhaps it was the ordeal suffered by his people at the hands of the Empire that caused Chewie to feel this way. Although Solo steered clear of any allegiance during the Galactic Civil War, Chewbacca definitely supported the Rebel cause, though the two of them tried to avoid the struggle altogether.Ironically, a simple steerage assignment landed them in the heart of the Rebel Alliance. Desperate for cash, Chewie and Han took on a charter of two passengers and their droids from Tatooine to Alderaan. Little did the two smugglers realize that their cargo consisted of a legendary Jedi Knight, the son of the prophesied Chosen One in Jedi mythology, and a pair of droids containing information vital to both the Empire and the Alliance. This trip inextricably drew Chewbacca and Solo into the Rebel fold, and they continued flying missions for the Rebellion for years after that.Chewbacca stood 2,28 meters tall and had a coat of ginger-brown fur. He wore nothing, save for a bandoleer that held specialized ammunition for the bowcaster that he carried, and a simple tool pouch so that he could enact the many repairs the chronically malfunctioning Falcon required.Additional History Unlike most Wookiees who rarely stray from the lush forests of Kashyyyk, Chewbacca's youthful wanderlust took him far from the confines of his green homeworld. His travels first included many remote and dangerous locales on Kashyyyk before taking him to the stars. Chewbacca's heart, however, was firmly rooted on Kashyyyk, and he would always try to make it home for important Wookiee holidays to share with his family. Following the Clone Wars, the Empire subjugated the planet -- ostensibly to punish the world for harboring Jedi fugitives, but mostly to exploit the Wookiees as slave labor. Chewbacca escaped capture for a time, helping his people as best as he could while living the life of a fugitive.Early on in their smuggling career, Chewbacca stunned Han Solo by returning to Kashyyyk to marry a female Wookiee named Mallatobuck. Solo never pegged Chewie as a family man, but Wookiee customs allowed Chewbacca to continue his flying with Han -- protecting him as the Wookiee life debt demanded -- while still being a husband and, eventually, father. Chewbacca's son, Lumpawarrump, was raised mainly by Malla and Chewie's father, Attichitcuk. Chewie continued to fly the spacelanes, avoiding Imperial patrols and smuggling contraband for various clients, but he returned often to Kashyyyk, to celebrate the Wookiee holiday of Life Day.Wookiees define family differently than most species. To a Wookiee, an ""honor family"" contains the closest of friends, and Chewbacca swore loyalty to all of them, offering protection even at great personal risk. When Han Solo and Leia Organa married and began to raise their own family, Chewbacca took their children into his honor family, and helped guard and raise the three young Solos -- Jacen, Jaina and Anakin.When Chewbacca learned that Solo had been captured by the bloodthirsty Yevetha during the Black Fleet Crisis, he disobeyed Leia's orders and flew straight into the heart of enemy territory: the Koornacht cluster. With the help of his cousins Jowdrrl, Dryanta, and Shoran, and his son, Lumpawarrump, he rescued Han from Yevethan clutches.At the start of the Yuuzhan Vong invasion, Han Solo and Chewbacca were on the planet of Sernpidal when it became a target of the alien menace. Using massive gravity-altering creatures called dovin basals, the Yuuzhan Vong began to drag Sernpidal's moon of Dobido from its orbit to the planet's surface. Han Solo, his teenaged son Anakin, and Chewbacca began organizing a desperate evacuation, cramming as many escapees aboard the Falcon as they could.Solo and Chewbacca have had many close calls in the past, and have executed countless last-second escapes; Sernpidal was not to be one of them. As the moon rushed closer to the surface, Chewbacca was cut off from the Falcon. Anakin was faced with a terrible decision. The Falcon could not wait any longer. Rather than endanger everyone aboard, Anakin piloted the ship away, leaving Chewbacca behind. Chewbacca stood his ground, howling defiantly at the immense moon as it crashed into Sernpidal's surface, killing the mighty Wookiee.","http://ia.media-imdb.com/images/M/MV5BMzM4NzgwMTk1Nl5BMl5BanBnXkFtZTcwMjgzMTY2Mw@@._V1_.jpg"
"Han Solo","A New Hope At the beginning of A New Hope, Solo and Chewbacca are notorious smugglers. However, during one Kessel Run, the Imperial Navy intercepts and boards their ship, forcing Solo to jettison his cargo to avoid arrest. This results in a large and mounting debt to his former employer, Jabba the Hutt, who places a bounty on Solo's capture. Desperate to pay off his debt to Jabba, Solo accepts a charter to transport Obi-Wan Kenobi, Luke Skywalker, and their two droids to the planet Alderaan. As a result, Solo reluctantly becomes involved in the Rebel Alliance and helps them rescue Princess Leia from Imperial custody, though he claims he is ""only in it for the money,"" and parts ways with the rebels after delivering them to safety and receiving his payment. However, near the end, he has a change of heart, and helps Luke Skywalker destroy the Death Star at the Battle of Yavin. As a result, Solo is handsomely rewarded and given, along with Luke Skywalker, the Alderaanian Medal of Freedom. The Empire Strikes Back In The Empire Strikes Back, set three years later, Solo again attempts to leave the Rebel Alliance as he is still being relentlessly pursued by Jabba's minions. However, he is once again dragged back into action when he saves Skywalker from freezing to death and Princess Leia from an Imperial invasion of the rebel base on Hoth. It is likely that Solo's personal feelings toward the princess played a major role in his decision. He takes her to hide on the planet Bespin, but his old friend Lando Calrissian betrays him and turns them over to Darth Vader, who was informed of their location by Solo's nemesis, bounty hunter Boba Fett. After being tortured by Vader, Solo's body is frozen in carbonite and given to Fett as a reward, who then delivers the incapacitated Solo to Jabba. Return of the Jedi Six months later, during the events of Return of the Jedi, Skywalker, now a nearly full-fledged Jedi, rescues Solo from Jabba (with help from Leia, Chewbacca, and a penitent Calrissian). Upon rejoining the rebels, Solo, now promoted to general, accepts their offer to lead the commando raid on an Imperial shield generator facility on the forest moon of Endor. By destroying the shield generator, they allow rebel fighters to enter the Death Star's superstructure and destroy it in the ensuing Battle of Endor, permanently crippling the Empire. The Force Awakens In the years since Return of the Jedi, Han has lost possession of the Millenium Falcon and gone back to smuggling with Chewbacca. He enters the plot when he and Chewbacca spot the stolen Falcon, which has been commandeered by Rey and Finn, in possession of the droid BB-8. The droid is carrying a star map leading to the location of Han's old friend, Luke Skywalker, who has gone into exile. Luke had been training a Jedi apprentice who later turned to the Dark Side, becoming Kylo Ren of the First Order, successor to the Empire. In grief and guilt, Luke had gone into hiding. We later learn that Kylo Ren is (spoiler) actually Ben Solo, the son of Han and Princess Leia.Han takes Rey and Finn to Tokodana, where he hopes his old friend Maz Kenada can guide his passengers to the Resistance so they can deliver BB-8 to Leia, whom Han hasn't seen in years. Spies in Maz's watering hole alert both the Resistance and the First Order to their presence, so both sides end up coming to them. The First Order attacks, and is successful in kidnapping Rey. The First Order fends off the attack, and Han is reunited with Leia. The former couple had drifted apart (spoiler) in grief over their son's turn to the Dark Side.Finn provides vital information about the First Order's new weapon, Starkiller Base, which can destroy entire solar systems. The base must be destroyed before the Resistance can complete their search for Skywalker. Finn volunteers to deactivate the shields from the inside, and Han agrees to take him there. The mission has additional meaning for both men: Finn is determined to rescue his new friend Rey, while Han has been tasked by Leia with (spoiler) bringing their son back home. Rey is ultimately able to free herself and reunite with Han and Finn. They deactivate the shields, but that is not enough, so they plant explosive devices throughout the station to make it easier for the Resistance to destroy.Kylo Ren senses their presence and seeks them out. [Spoiler]Seeing his opportunity, Han confronts Kylo, asking him to return to the Resistance base with him. Kylo says that he is torn between his love for his family and his loyalty to his master, Supreme Leader Snoke. He asks for Han's help to free him from his pain. Han, ever the loving father, agrees. Kylo Ren stabs his father through the heart with his lightsaber to complete his turn to the Dark Side./Spoiler]","http://ia.media-imdb.com/images/M/MV5BMTg1NjY5MTAwMl5BMl5BanBnXkFtZTcwNjAyMTIyMw@@._V1_.jpg"
"FN-2199","FN-2199, a.k.a. TR-8R, is the First Order Stormtrooper who served on a squad with Finn (then FN-2187) in the First Order. Upon seeing Finn during the attack on Mazs Castle, he calls him a traitor and he brandishes his riot control Z6 baton, Finn then ignites a lightsaber that once belonged to Luke Skywalker and they fight.","http://ia.media-imdb.com/images/M/MV5BM2EwYzUxN2ItN2YwZi00MmMxLTg2NWQtMDdlODUyNmQyZDM5XkEyXkFqcGdeQXVyNDA5ODU0NDg@._V1_.jpg"
