"RegistrationNum","FileNum","Owner","heightFT","lat","lon","city","state","zip5"
1000068,"A0975867","SBA Properties, LLC",79.9,41.8025,-73.163444444444,"TORRINGTON","CT","06790"
1003232,"A0939942","SBA Properties, LLC",86.6,41.802611111111,-73.163388888889,"TORRINGTON","CT","06790"
1008223,"A0976604","Eversource Energy Service Company",81.1,41.605222222222,-73.367027777778,"NEW MILFORD","CT","06776"
1012421,"A1025398","STC Five LLC",36.6,41.676583333333,-72.821416666667,"NEW BRITIAN","CT","06032"
1012422,"A1025399","STC Five LLC",42.4,41.673472222222,-72.8545,"PLAINVILLE","CT","06062"
1012906,"A0283096","University of Connecticut",79,41.814361111111,-72.260333333333,"STORRS","CT","06268"
1017418,"A1048582","Hall Communications, Inc.",90,41.474444444444,-72.103333333333,"UNCASVILLE","CT","06353"
1017419,"A1048581","Hall Communications, Inc.",108.5,41.552222222222,-72.075277777778,"NORWICH","CT","06360"
1017420,"A1048580","Hall Communications, Inc.",108.5,41.5525,-72.075833333333,"NORWICH","CT","06360"
1017421,"A1048579","Hall Communications, Inc.",108.5,41.552777777778,-72.076388888889,"NORWICH","CT","06360"
1018374,"A1025461","STC Five LLC",44.5,41.715805555556,-72.810388888889,"FARMINGTON","CT","06032"
1035286,"A0041705","CONNECTICUT PUBLIC BROADCASTING, INC.",145.3,41.520555555556,-72.166944444444,"BOZRAH","CT","06334"
1036201,"A0336475","MENUNCKETUCK COMMUNICATIONS CORPORATION",60.6,41.41875,-72.711694444444,"GUILFORD","CT","06422"
1038067,"A1025581","STC Five LLC",49.4,41.632472222222,-72.89425,"SOUTHINGTON","CT","06489"
1040394,"A0497267","Eight Forty Broadcasting Corporation",77.7,41.686111111111,-72.729166666667,"NEWINGTON","CT","06111"
1040395,"A0819335","SpectraSite Communications, LLC. through American Towers, LLC.",316.1,41.41775,-72.198083333333,"Oakdale","CT","06353"
1041624,"A0978219","COMMUNICATIONS SITE MANAGEMENT, LLC",408.1,41.703611111111,-72.831944444444,"FARMINGTON","CT","06032"
1042801,"A1080244","Cellco Partnership",56.3,41.664083333333,-73.051694444444,"LITCHFIELD","CT","06782"
1042859,"A0259584","OSBREY BROADCASTING COMPANY, d/b/a WINY AM",62.1,41.9025,-71.895,"PUTNAM","CT","06260"
