Name,Year,Conference,points,points_avg,fg_made,fg_attempted,fg_pct,ft_made,ft_attempted,ft_pct,threefg_made,threefg_attempted,threefg_pct,rebounds_total,rebounds_total_avg,rebounds_offensive,rebounds_offensive_avg,rebounds_defensive,rebounds_defensive_avg,assists,assists_avg,assist_turnover_ratio,assist_pct,turnovers,turnovers_avg,turnover_pct,steals,steals_avg,steal_pct,blocks,blocks_avg,block_pct,fouls,fouls_avg,dqs,possessions,possessions_avg,points_possession_avg,floor_pct,efficiency,effective_fg_pct,true_shooting_pct,ft_rate_pct,fg_dist_pct,Seeds,Game Region,Game ID,Unique Game ID,Round 1 game score,R1 Class 1=win
James Madison,2012-2013 Season,CAA,2216,65.2,766,1823,42,489,698,22.1,195,585,26.4,1112,32.7,340,10,772,22.7,399,11.7,1.05,52.1,380,11.2,22.1,268,7.9,12.2,153,4.5,8.7,583,17.1,14,2203,64.8,1.01,50.2,100.6,47.4,51.4,70.1,51.5,16,East,E1,2013E1,,
Indiana,2012-2013 Season,Big Ten,2640,80,887,1824,48.6,625,839,23.7,241,586,27.4,1274,38.6,411,12.5,863,26.2,480,14.5,1.12,54.1,429,13,18.1,247,7.5,11,123,3.7,6.4,564,17.1,6,2244,68,1.18,57.6,117.6,55.2,59.4,74.5,48.9,1,East,E1,2013E1,,
Temple,2012-2013 Season,A-10,2328,72.8,806,1874,43,483,666,20.7,233,698,30,1103,34.5,363,11.3,740,23.1,476,14.9,1.36,59.1,351,11,20.1,257,8,11.8,118,3.7,6.6,525,16.4,9,2171,67.8,1.07,52.5,107.2,49.2,53.1,72.5,49.2,9,East,E2,2013E2,,
NC State,2012-2013 Season,ACC,2636,77.5,956,1935,49.4,544,797,20.6,180,458,20.5,1252,36.8,389,11.4,863,25.4,497,14.6,1.18,52,420,12.4,18.1,224,6.6,9.6,145,4.3,6.9,520,15.3,10,2343,68.9,1.13,57.1,112.5,54.1,57,68.3,58.9,8,East,E2,2013E2,,
UNLV,2012-2013 Season,Mountain West,2437,71.7,853,1943,43.9,508,721,20.8,221,669,27.2,1364,40.1,406,11.9,958,28.2,551,16.2,1.16,64.6,475,14,19,250,7.4,10.6,197,5.8,9.9,573,16.9,9,2350,69.1,1.04,52.1,103.7,49.6,53.3,70.5,51.9,5,East,E3,2013E3,,
California,2012-2013 Season,Pac-12,2094,67.5,785,1760,44.6,399,550,19.1,125,411,17.9,1153,37.2,340,11,813,26.2,436,14.1,1.12,55.5,389,12.5,19.3,179,5.8,8.7,147,4.7,8.1,506,16.3,11,2064,66.6,1.01,52.3,101.5,48.2,51.8,72.5,63,12,East,E3,2013E3,,
Syracuse,2012-2013 Season,Big East,2497,71.3,899,2042,44,487,721,19.5,212,634,25.5,1355,38.7,509,14.5,846,24.2,509,14.5,1.15,56.6,442,12.6,21.6,311,8.9,13.5,217,6.2,11.5,566,16.2,9,2311,66,1.08,56.7,108,49.2,52.4,67.5,55,4,East,E4,2013E4,,
Montana,2012-2013 Season,Big Sky,2204,71.1,749,1581,47.4,491,639,22.3,215,558,38.5,966,31.2,237,7.6,729,23.5,400,12.9,1.07,53.4,374,12.1,18.6,182,5.9,9,94,3,5.6,521,16.8,11,2014,65,1.09,50.4,109.4,54.2,58.5,76.8,47.4,13,East,E4,2013E4,,
Marquette,2012-2013 Season,Big East,2139,69,760,1629,46.7,487,674,22.8,132,439,18.5,1084,35,357,11.5,727,23.5,445,14.4,1.05,58.6,422,13.6,18.9,209,6.7,10.4,106,3.4,6.2,526,17,8,2006,64.7,1.07,54.5,106.6,50.7,54.9,72.3,58.7,3,East,E5,2013E5,,
Davidson,2012-2013 Season,SoCon,2432,73.7,818,1767,46.3,546,682,22.5,250,677,30.8,1116,33.8,299,9.1,817,24.8,461,14,1.28,56.4,360,10.9,21.1,187,5.7,8.7,97,2.9,5.6,584,17.7,7,2149,65.1,1.13,52.5,113.2,53.4,58.2,80.1,46.7,14,East,E5,2013E5,,
Butler,2012-2013 Season,A-10,2355,69.3,825,1820,45.3,480,697,20.4,225,647,28.7,1246,36.6,397,11.7,849,25,444,13.1,0.98,53.8,454,13.4,21,193,5.7,8.7,83,2.4,4.6,612,18,8,2211,65,1.07,53.7,106.5,51.5,54.7,68.9,51,6,East,E6,2013E6,,
Bucknell,2012-2013 Season,Patriot,2221,67.3,795,1745,45.6,479,644,21.6,152,422,20.5,1193,36.2,299,9.1,894,27.1,442,13.4,1.42,55.6,311,9.4,18.9,118,3.6,5.7,135,4.1,7.5,478,14.5,5,2064,62.5,1.08,53.2,107.6,49.9,54.1,74.4,57.9,11,East,E6,2013E6,,
Illinois,2012-2013 Season,Big Ten,2349,69.1,819,1971,41.6,446,615,19,265,815,33.8,1140,33.5,401,11.8,739,21.7,348,10.2,0.89,42.5,391,11.5,20.7,235,6.9,10.5,135,4,7.5,619,18.2,12,2244,66,1.05,51.7,104.7,48.3,51.9,72.5,47.2,7,East,E7,2013E7,,
Colorado,2012-2013 Season,Pac-12,2181,68.2,758,1737,43.6,492,719,22.6,173,498,23.8,1191,37.2,371,11.6,820,25.6,321,10,0.76,42.3,422,13.2,15.6,225,7,10.5,100,3.1,5.4,505,15.8,11,2134,66.7,1.02,52.3,102.2,48.6,52.5,68.4,53.6,10,East,E7,2013E7,,
Pacific,2012-2013 Season,Big West,2295,67.5,806,1785,45.2,467,673,20.3,216,564,28.2,1100,32.4,323,9.5,777,22.9,501,14.7,1.33,62.2,376,11.1,21.2,192,5.6,8.9,45,1.3,2.6,605,17.8,12,2160,63.5,1.06,52.2,106.3,51.2,54.5,69.4,51.4,15,East,E8,2013E8,,
Miami (FL),2012-2013 Season,ACC,2307,69.9,827,1798,46,428,632,18.6,225,628,29.3,1180,35.8,331,10,849,25.7,372,11.3,1.03,45,360,10.9,17,209,6.3,9.8,150,4.5,8.2,486,14.7,6,2130,64.5,1.08,53.7,108.3,52.3,55,67.7,52.2,2,East,E8,2013E8,,
Louisville,2012-2013 Season,Big East,2501,73.6,879,1974,44.5,545,766,21.8,198,599,23.8,1275,37.5,463,13.6,812,23.9,510,15,1.19,58,430,12.6,19.9,365,10.7,15.8,144,4.2,8,603,17.7,5,2304,67.8,1.09,55.8,108.6,49.5,53.5,71.1,54.5,1,Midwest,MW1,2013MW1,,
Liberty,2012-2013 Season,Big South,2417,69.1,815,1900,42.9,546,752,22.6,241,646,29.9,1249,35.7,361,10.3,888,25.4,428,12.2,0.91,52.5,469,13.4,22,193,5.5,8.2,102,2.9,5,668,19.1,20,2358,67.4,1.03,49.6,102.5,49.2,53.5,72.6,47.5,16,Midwest,MW1,2013MW1,,
Missouri,2012-2013 Season,SEC,2516,76.2,900,1958,46,508,687,20.2,208,612,24.8,1366,41.4,451,13.7,915,27.7,459,13.9,1.05,51,437,13.2,17.5,223,6.8,9.8,116,3.5,5.9,543,16.5,10,2268,68.7,1.11,56.4,110.9,51.3,55.1,73.9,55,9,Midwest,MW2,2013MW2,,
Colorado St,2012-2013 Season,Mountain West,2413,73.1,837,1870,44.8,571,801,23.7,168,506,20.9,1334,40.4,474,14.4,860,26.1,431,13.1,1.21,51.5,355,10.8,20.7,161,4.9,7.5,67,2,3.9,564,17.1,8,2136,64.7,1.13,58.9,113,49.3,53.6,71.3,55.4,8,Midwest,MW2,2013MW2,,
Oregon,2012-2013 Season,Pac-12,2439,71.7,866,1937,44.7,536,755,22,171,530,21,1272,37.4,416,12.2,856,25.2,442,13,0.87,51,507,14.9,19.4,289,8.5,12.1,136,4,7.2,591,17.4,8,2381,70,1.02,52.5,102.4,49.1,53.1,71,57,12,Midwest,MW3,2013MW3,,
Saint Loius,2012-2013 Season,A-10,2267,68.7,763,1705,44.8,538,762,23.7,203,585,26.9,1084,32.8,298,9,786,23.8,425,12.9,1.12,55.7,378,11.5,22.8,247,7.5,11.5,104,3.2,6.2,573,17.4,13,2148,65.1,1.06,50.9,105.5,50.7,54.8,70.6,49.4,4,Midwest,MW4,2013MW4,,
NM St,2012-2013 Season,WAC,2311,68,815,1767,46.1,546,832,23.6,135,422,17.5,1278,37.6,408,12,870,25.6,391,11.5,0.8,48,490,14.4,19.5,189,5.6,8.5,186,5.5,9.8,513,15.1,10,2236,65.8,1.03,54.2,103.4,49.9,53.4,65.6,58.8,13,Midwest,MW4,2013MW4,,
Oklahoma State,2012-2013 Season,Big 12,2316,72.4,793,1802,44,552,736,23.8,178,563,31.6,1165,36.4,348,10.9,817,25.5,386,12.1,0.97,48.7,397,12.4,18.1,240,7.5,10.9,152,4.8,8.5,575,18,8,2193,68.5,1.06,51.9,105.6,48,53.8,75,53.1,5,Midwest,MW5,2013MW3,,
