"uniqueID","tires","Weight","Quarterly_Tax","Doors","CC","Automatic","Met_Color","HP","Fuel_Type","KM","Age_08_04","Price"
1,1,1165,210,3,2000,0,1,90,"Diesel",46986,23,13500
2,1,1165,210,3,2000,0,1,90,"Diesel",72937,23,13750
3,1,1165,210,3,2000,0,1,90,"Diesel",41711,24,13950
4,1,1165,210,3,2000,0,0,90,"Diesel",48000,26,14950
5,1,1170,210,3,2000,0,0,90,"Diesel",38500,30,13750
6,1,1170,210,3,2000,0,0,90,"Diesel",61000,32,12950
7,1,1245,210,3,2000,0,1,90,"Diesel",94612,27,16900
8,1,1245,210,3,2000,0,1,90,"Diesel",75889,30,18600
9,1,1185,100,3,1800,0,0,192,"Petrol",19700,27,21500
10,1,1105,185,3,1900,0,0,69,"Diesel",71138,23,12950
11,1,1185,100,3,1800,0,0,192,"Petrol",31461,25,20950
12,1,1185,100,3,1800,0,0,192,"Petrol",43610,22,19950
13,1,1185,100,3,1800,0,0,192,"Petrol",32189,25,19600
14,1,1185,100,3,1800,0,1,192,"Petrol",23000,31,21500
15,1,1185,100,3,1800,0,1,192,"Petrol",34131,32,22500
16,1,1185,100,3,1800,0,0,192,"Petrol",18739,28,22000
17,1,1185,100,3,1800,0,1,192,"Petrol",34000,30,22750
18,1,1105,85,3,1600,0,1,110,"Petrol",21716,24,17950
19,1,1065,19,3,1600,0,0,110,"Petrol",25563,24,16750
20,1,1105,85,3,1600,0,1,110,"Petrol",64359,30,16950
21,1,1105,85,3,1600,0,1,110,"Petrol",67660,30,15950
22,1,1170,100,3,1600,1,0,110,"Petrol",43905,29,16950
23,1,1120,85,3,1600,0,1,110,"Petrol",56349,28,15950
24,1,1120,85,3,1600,0,1,110,"Petrol",32220,28,16950
25,1,1120,85,3,1600,0,1,110,"Petrol",25813,29,16250
26,1,1120,85,3,1600,0,1,110,"Petrol",28450,25,15950
27,1,1120,85,3,1600,0,1,110,"Petrol",34545,27,17495
28,1,1120,85,3,1600,0,1,110,"Petrol",41415,29,15750
29,1,1120,85,3,1600,0,0,110,"Petrol",44142,28,16950
30,1,1120,85,3,1600,0,1,110,"Petrol",11090,30,17950
31,1,1100,19,3,1400,0,1,97,"Petrol",9750,29,12950
32,1,1100,85,3,1400,0,1,97,"Petrol",35199,22,15750
33,1,1100,85,3,1400,0,1,97,"Petrol",29510,27,15950
34,1,1100,85,3,1400,0,1,97,"Petrol",32692,26,14950
35,1,1100,85,3,1400,0,1,97,"Petrol",41000,22,15500
36,1,1100,85,3,1400,0,0,97,"Petrol",43000,26,15750
37,1,1100,85,3,1400,0,0,97,"Petrol",25000,25,15950
38,1,1100,85,3,1400,0,1,97,"Petrol",10000,23,14950
39,1,1100,85,3,1400,0,1,97,"Petrol",25329,32,15750
40,1,1100,85,3,1400,0,0,97,"Petrol",27500,27,14750
41,1,1100,85,3,1400,0,0,97,"Petrol",49059,22,13950
42,1,1100,85,3,1400,0,1,97,"Petrol",44068,27,16750
43,1,1100,85,3,1400,0,0,97,"Petrol",46961,22,13950
44,1,1255,234,5,2000,0,0,90,"Diesel",110404,27,16950
45,1,1255,234,5,2000,0,0,90,"Diesel",100250,22,16950
46,1,1270,234,5,2000,0,0,90,"Diesel",84000,23,19000
47,1,1255,234,5,2000,0,1,90,"Diesel",79375,27,17950
48,1,1110,85,5,1400,0,1,97,"Petrol",75048,22,15800
49,1,1255,234,5,2000,0,1,90,"Diesel",72215,22,17950
50,1,1195,100,5,1800,0,1,192,"Petrol",64982,31,21950
51,1,1255,234,5,2000,0,1,90,"Diesel",62636,22,17950
52,1,1110,85,5,1400,0,1,97,"Petrol",57086,30,15750
53,1,1180,100,5,1600,1,1,110,"Petrol",56000,26,20500
54,1,1195,100,5,1800,0,1,192,"Petrol",49866,27,21950
55,1,1165,100,5,1600,1,0,110,"Petrol",49163,25,15500
56,1,1075,85,5,1600,0,1,110,"Petrol",45725,32,13250
57,1,1110,85,5,1400,0,0,97,"Petrol",43210,28,15250
58,1,1110,85,5,1400,0,0,97,"Petrol",43000,26,15250
59,1,1180,100,5,1600,1,1,110,"Petrol",39704,23,18950
60,1,1130,85,5,1600,0,1,110,"Petrol",38950,30,15999
61,1,1110,85,5,1400,0,1,97,"Petrol",37400,22,14950
62,1,1130,85,5,1600,0,0,110,"Petrol",37177,27,16500
63,1,1130,85,5,1600,0,1,110,"Petrol",36544,31,18750
64,1,1130,85,5,1600,0,1,110,"Petrol",33511,30,17950
65,1,1110,85,5,1400,0,1,97,"Petrol",32809,27,17950
66,1,1075,19,5,1600,0,1,110,"Petrol",32181,26,16950
67,1,1130,85,5,1600,0,1,110,"Petrol",30993,28,18950
68,1,1110,85,5,1400,0,1,97,"Petrol",30400,22,14950
