"Date","Value","DateParsed"
"September 30, 2009",24.64,2009-09-30
"December 31, 2009",25.31,2009-12-31
"March 31, 2010",23.76,2010-03-31
"June 30, 2010",24.01,2010-06-30
"September 30, 2010",23.71,2010-09-30
"December 31, 2010",24.59,2010-12-31
"March 31, 2011",25.7,2011-03-31
"June 30, 2011",26.41,2011-06-30
"September 30, 2011",26.67,2011-09-30
"December 31, 2011",28.3,2011-12-31
"March 31, 2012",30.8,2012-03-31
"June 30, 2012",30.71,2012-06-30
"September 30, 2012",30.23,2012-09-30
"December 31, 2012",31.38,2012-12-31
"March 31, 2013",30.75,2013-03-31
"June 30, 2013",31.25,2013-06-30
"September 30, 2013",31.93,2013-09-30
"December 31, 2013",32.83,2013-12-31
"March 31, 2014",32.69,2014-03-31
"June 30, 2014",34.6,2014-06-30
"September 30, 2014",35.02,2014-09-30
"December 31, 2014",37.06,2014-12-31
"March 31, 2015",36.33,2015-03-31
"June 30, 2015",37.17,2015-06-30
"September 30, 2015",38.64,2015-09-30
"December 31, 2015",41.15,2015-12-31
"March 31, 2016",43.22,2016-03-31
"June 30, 2016",43.72,2016-06-30
"September 30, 2016",44.62,2016-09-30
"December 31, 2016",45.99,2016-12-31
"March 31, 2017",44.51,2017-03-31
"June 30, 2017",45.68,2017-06-30
"September 30, 2017",46.18,2017-09-30
"December 31, 2017",48.41,2017-12-31
"March 31, 2018",45.74,2018-03-31
"June 30, 2018",46.92,2018-06-30
"September 30, 2018",47.49,2018-09-30
"December 31, 2018",54.42,2018-12-31
"March 31, 2019",61.65,2019-03-31
"June 30, 2019",63.43,2019-06-30
"September 30, 2019",64.81,2019-09-30
"December 31, 2019",66.89,2019-12-31
"March 31, 2020",66.76,2020-03-31
"June 30, 2020",65.34,2020-06-30
"September 30, 2020",67.06,2020-09-30
"December 31, 2020",69.55,2020-12-31
"March 31, 2021",69.1,2021-03-31
"June 30, 2021",72.62,2021-06-30
"September 30, 2021",73.79,2021-09-30
"December 31, 2021",76.6,2021-12-31
