date,TSA_screenings,,
1/1/19,"2,345,103",,
1/2/19,"2,202,111",,
1/3/19,"2,150,571",,
1/4/19,"1,975,947",,
1/5/19,"2,229,391",,
1/6/19,"2,044,043",,
1/7/19,"1,733,739",,
1/8/19,"1,739,642",,
1/9/19,"1,955,200",,
1/10/19,"1,959,788",,
1/11/19,"1,604,862",,
1/12/19,"1,970,450",,
1/13/19,"1,886,642",,
1/14/19,"1,605,758",,
1/15/19,"1,786,012",,
1/16/19,"2,139,242",,
1/17/19,"2,271,398",,
1/18/19,"1,600,698",,
1/19/19,"1,776,235",,
1/20/19,"2,179,066",,
1/21/19,"1,804,629",,
1/22/19,"1,763,884",,
1/23/19,"1,991,328",,
1/24/19,"2,052,814",,
1/25/19,"1,571,077",,
1/26/19,"2,010,374",,
1/27/19,"1,862,420",,
1/28/19,"1,534,386",,
1/29/19,"1,593,697",,
1/30/19,"1,938,817",,
1/31/19,"2,078,169",,
2/1/19,"1,591,591",,
2/2/19,"1,792,677",,
2/3/19,"2,001,482",,
2/4/19,"1,655,868",,
2/5/19,"1,756,152",,
2/6/19,"2,064,640",,
2/7/19,"2,134,744",,
2/8/19,"1,648,328",,
2/9/19,"2,105,696",,
2/10/19,"2,055,827",,
2/11/19,"1,620,239",,
2/12/19,"1,950,385",,
2/13/19,"2,227,730",,
2/14/19,"1,922,613",,
2/15/19,"2,147,045",,
2/16/19,"2,476,445",,
2/17/19,"2,177,690",,
2/18/19,"2,022,861",,
2/19/19,"2,351,856",,
2/20/19,"2,415,570",,
2/21/19,"2,331,841",,
2/22/19,"2,274,217",,
2/23/19,"2,197,938",,
2/24/19,"2,160,322",,
2/25/19,"1,861,286",,
2/26/19,"2,015,079",,
2/27/19,"2,307,393",,
2/28/19,"2,257,920",,
3/1/19,"1,979,558",,
3/2/19,"2,143,619",,
3/3/19,"2,402,692",,
3/4/19,"2,543,689",,
3/5/19,"2,156,262",,
3/6/19,"2,485,430",,
3/7/19,"2,378,673",,
3/8/19,"2,122,898",,
3/9/19,"2,187,298",,
3/10/19,"2,503,924",,
3/11/19,"2,634,215",,
3/12/19,"2,274,658",,
3/13/19,"2,545,742",,
