"startTimeOnScreen","Duration","wp","ws","text"
1202,1100,1,1,"BEEN ALL BUT WIPED OFF THE MAP, AND THAT’S WHERE NBC’S STEVE"
2336,1134,1,1,"THE MAP, AND THAT’S WHERE NBC’S STEVE PATTERSON IS TONIGHT."
3504,1067,1,1,"WHERE NBC’S STEVE PATTERSON IS TONIGHT. STEVE, GOOD EVENING."
4572,733,1,1,"PATTERSON IS TONIGHT. STEVE, GOOD EVENING. >> Reporter: KATE"
5306,766,1,1,"STEVE, GOOD EVENING. >> Reporter: KATE THIS, COMMUNITY NOW"
6073,733,1,1,">> Reporter: KATE THIS, COMMUNITY NOW FILLED WITH GRIM"
6807,1501,1,1,"THIS, COMMUNITY NOW FILLED WITH GRIM SCENES LIKE THIS, CARS"
8342,1668,1,1,"FILLED WITH GRIM SCENES LIKE THIS, CARS GUTTED BY WALLS OF"
10011,499,1,1,"SCENES LIKE THIS, CARS GUTTED BY WALLS OF FIRE."
10512,4069,1,1,"GUTTED BY WALLS OF FIRE. IN SOME CASES THEY"
14615,2301,1,1,"FIRE. IN SOME CASES THEY BECAME TOMBS FOR"
16918,1100,1,1,"IN SOME CASES THEY BECAME TOMBS FOR RESIDENTS AND AS WE"
18052,767,1,1,"BECAME TOMBS FOR RESIDENTS AND AS WE ALSO KNOW ABOUT THIS"
18820,1100,1,1,"RESIDENTS AND AS WE ALSO KNOW ABOUT THIS TOWN NO ONE IS GIVING"
19921,1367,1,1,"ALSO KNOW ABOUT THIS TOWN NO ONE IS GIVING UP ON PARADISE."
21322,900,1,1,"TOWN NO ONE IS GIVING UP ON PARADISE. TONIGHT AT THE FRONT"
22223,1867,1,1,"UP ON PARADISE. TONIGHT AT THE FRONT LINE OF CALIFORNIA’S"
24092,699,1,1,"TONIGHT AT THE FRONT LINE OF CALIFORNIA’S MOST DESTRUCTIVE"
24792,733,1,1,"LINE OF CALIFORNIA’S MOST DESTRUCTIVE WILDFIRE AN AGGRESSIVE"
25559,1100,1,1,"MOST DESTRUCTIVE WILDFIRE AN AGGRESSIVE RESPONSE."
26694,1033,1,1,"WILDFIRE AN AGGRESSIVE RESPONSE. WITH IMPROVED"
27762,1433,1,1,"RESPONSE. WITH IMPROVED CONDITIONS, MORE THAN"
29230,1501,1,1,"WITH IMPROVED CONDITIONS, MORE THAN 4,000 FIREFIGHTERS ARE"
30732,699,1,1,"CONDITIONS, MORE THAN 4,000 FIREFIGHTERS ARE PUTTING EVERYTHING"
31466,3836,1,1,"4,000 FIREFIGHTERS ARE PUTTING EVERYTHING INTO BATTLING THE SCAT"
35336,967,1,1,"PUTTING EVERYTHING INTO BATTLING THE SCAT STROSK"
36304,800,1,1,"INTO BATTLING THE SCAT STROSK -- THE CATASTROPHIC"
37105,532,1,1,"STROSK -- THE CATASTROPHIC CAMP FIRE."
