"loan_amnt","term","int_rate","installment","grade","sub_grade","emp_length","home_ownership","annual_inc","purpose","title","zip_code","addr_state","dti","delinq_2yrs","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","revol_util","total_acc","initial_list_status","pub_rec_bankruptcies","collections_12_mths_ex_med","mths_since_last_major_derog"
34000,60,7.46,680.65,"A","A4","9 years","MORTGAGE",75000,"Debt consolidation","Debt consolidation","770xx","TX",10.87,0,2,NA,NA,10,0,103161,26.7,16,"f",0,0,"null"
15000,36,10.07,484.51,"B","B2","10+ years","RENT",33000,"Debt consolidation","Debt consolidation","212xx","MD",23.45,0,0,NA,NA,15,0,21128,51.7,42,"f",0,0,"null"
10000,36,13.06,337.23,"C","C1","6 years","RENT",37000,"Credit card refinancing","Credit card refinancing","922xx","CA",14.82,0,1,NA,NA,11,0,8039,31,15,"f",0,0,"null"
40000,60,7.46,800.76,"A","A4","10+ years","OWN",100000,"Credit card refinancing","Credit card refinancing","470xx","IN",27.67,0,0,NA,NA,8,0,6446,14.4,17,"f",0,0,"null"
40000,60,11.05,870.7,"B","B4","< 1 year","MORTGAGE",60000,"Debt consolidation","Debt consolidation","370xx","TN",27.54,0,1,NA,NA,9,0,20897,56.6,19,"f",0,0,"null"
35000,60,7.46,700.67,"A","A4","3 years","MORTGAGE",80000,"Debt consolidation","Debt consolidation","693xx","NE",21.54,0,0,NA,NA,16,0,24437,45.4,22,"f",0,0,"null"
20000,60,7.46,400.38,"A","A4","1 year","RENT",84000,"Other","Other","775xx","TX",22.99,0,0,NA,NA,10,0,11111,22,23,"f",0,0,"null"
20000,36,10.56,650.62,"B","B3","n/a","OWN",85000,"Debt consolidation","Debt consolidation","863xx","AZ",11.9,0,1,NA,NA,6,0,0,0,18,"f",0,0,"null"
35000,60,7.46,700.67,"A","A4","10+ years","MORTGAGE",145000,"Debt consolidation","Debt consolidation","121xx","NY",21.25,0,0,NA,NA,20,0,80612,84.2,32,"f",0,0,"null"
10000,36,14.03,341.93,"C","C2","5 years","OWN",150000,"Home improvement","Home improvement","125xx","NY",20.3,0,0,34,NA,24,0,34343,58.8,39,"f",0,0,"null"
13000,36,8.08,407.86,"A","A5","7 years","RENT",58000,"Medical expenses","Medical expenses","142xx","NY",14.61,2,0,11,NA,11,0,6200,19.3,21,"f",0,0,"null"
35000,36,8.08,1098.07,"A","A5","< 1 year","OWN",62500,"Debt consolidation","Debt consolidation","940xx","CA",20.74,0,0,NA,NA,9,0,15919,24.3,10,"f",0,0,"null"
15000,36,15.49,523.59,"C","C4","3 years","RENT",40000,"Home improvement","Home improvement","331xx","FL",34.74,0,0,NA,NA,21,0,4877,25,37,"f",0,0,"null"
15000,36,5.31,451.66,"A","A1","10+ years","OWN",65000,"Credit card refinancing","Credit card refinancing","855xx","AZ",23.38,0,1,NA,NA,7,0,10997,20.2,19,"f",0,0,"null"
12000,36,13.06,404.68,"C","C1","1 year","RENT",40000,"Debt consolidation","Debt consolidation","371xx","TN",18.84,0,1,NA,56,9,1,8338,36.9,34,"f",1,0,"null"
25000,60,7.46,500.48,"A","A4","3 years","MORTGAGE",65750,"Debt consolidation","Debt consolidation","928xx","CA",17.59,0,0,NA,NA,12,0,15378,17.8,31,"f",0,0,"null"
