"name","cost","set","rarity","tcgH","tcgM","tcgL","foil","player","pack"
" Viashino Warrior","3R"," Mirage","C","$1.80 ","$0.20 ","$0.03 ","FALSE","josh",1
" Merfolk Raiders","1U"," Mirage","C","$1.83 ","$0.19 ","$0.05 ","FALSE","josh",1
" Spitting Earth","1R"," Mirage","C","$1.82 ","$0.19 ","$0.04 ","FALSE","josh",1
" Giant Mantis","3G"," Mirage","C","$1.81 ","$0.20 ","$0.04 ","FALSE","josh",1
" Crash of Rhinos","6GG"," Mirage","C","$1.82 ","$0.19 ","$0.04 ","FALSE","josh",1
" Uktabi Faerie","1G"," Mirage","C","$1.83 ","$0.20 ","$0.05 ","FALSE","josh",1
" Restless Dead","1B"," Mirage","C","$1.83 ","$0.20 ","$0.05 ","FALSE","josh",1
" Kaervek's Torch","XR"," Mirage","C","$4.99 ","$0.25 ","$0.09 ","FALSE","josh",1
" Disempower","1W"," Mirage","C","$1.82 ","$0.19 ","$0.05 ","FALSE","josh",1
" Sapphire Charm","U"," Mirage","C","$100.25 ","$0.23 ","$0.05 ","FALSE","josh",1
" Sewer Rats","B"," Mirage","C","$1.85 ","$0.22 ","$0.05 ","FALSE","josh",1
" Karoo Meerkat","1G"," Mirage","U","$9.99 ","$0.25 ","$0.09 ","FALSE","josh",1
" Wave Elemental","2UU"," Mirage","U","$1.85 ","$0.25 ","$0.05 ","FALSE","josh",1
" Kaervek's Hex","3B"," Mirage","U","$1.99 ","$0.25 ","$0.06 ","FALSE","josh",1
" Emberwilde Caliph","2UR"," Mirage","R","$16.49 ","$0.49 ","$0.20 ","FALSE","josh",1
" Quirion Elves","1G"," Mirage","C","$1.88 ","$0.24 ","$0.05 ","FALSE","josh",2
" Sewer Rats","B"," Mirage","C","$1.85 ","$0.22 ","$0.05 ","FALSE","josh",2
" Dwarven Nomad","2R"," Mirage","C","$1.80 ","$0.19 ","$0.03 ","FALSE","josh",2
" Ward of Lights","WW"," Mirage","C","$1.85 ","$0.21 ","$0.05 ","FALSE","josh",2
" Rampant Growth","1G"," Mirage","C","$4.18 ","$0.89 ","$0.08 ","FALSE","josh",2
" Ivory Charm","W"," Mirage","C","$1.83 ","$0.19 ","$0.05 ","FALSE","josh",2
" Soar","1U"," Mirage","C","$1.79 ","$0.19 ","$0.02 ","FALSE","josh",2
" Gibbering Hyenas","2G"," Mirage","C","$1.79 ","$0.20 ","$0.02 ","FALSE","josh",2
" Ritual of Steel","2W"," Mirage","C","$1.79 ","$0.19 ","$0.02 ","FALSE","josh",2
" Grave Servitude","1B"," Mirage","C","$1.81 ","$0.19 ","$0.04 ","FALSE","josh",2
" Burning Shield Askari","2R"," Mirage","C","$1.99 ","$0.19 ","$0.04 ","FALSE","josh",2
" Flood Plain",""," Mirage","U","$9.99 ","$1.65 ","$0.70 ","FALSE","josh",2
" Harbor Guardian","2WU"," Mirage","U","$1.84 ","$0.24 ","$0.07 ","FALSE","josh",2
" Vigilant Martyr","W"," Mirage","U","$4.99 ","$0.25 ","$0.10 ","FALSE","josh",2
" Amber Prison","4"," Mirage","R","$4.99 ","$0.46 ","$0.14 ","FALSE","josh",2
" Resistance Fighter","W"," Visions","C","$1.36 ","$0.20 ","$0.04 ","FALSE","josh",1
" Parapet","1W"," Visions","C","$9.60 ","$0.20 ","$0.04 ","FALSE","josh",1
" Keeper of Kookus","R"," Visions","C","$0.94 ","$0.20 ","$0.04 ","FALSE","josh",1
" Betrayal","U"," Visions","C","$0.99 ","$0.24 ","$0.08 ","FALSE","josh",1
" Wicked Reward","1B"," Visions","C","$0.94 ","$0.20 ","$0.03 ","FALSE","josh",1
" Infantry Veteran","W"," Visions","C","$1.80 ","$0.18 ","$0.03 ","FALSE","josh",1
" Impulse","1U"," Visions","C","$4.99 ","$0.48 ","$0.20 ","FALSE","josh",1
" Urborg Mindsucker","2B"," Visions","C","$0.94 ","$0.19 ","$0.03 ","FALSE","josh",1
" Undo","1UU"," Visions","C","$0.99 ","$0.20 ","$0.05 ","FALSE","josh",1
" Coercion","2B"," Visions","C","$1.99 ","$0.20 ","$0.04 ","FALSE","josh",1
" Hope Charm","W"," Visions","C","$4.99 ","$0.19 ","$0.05 ","FALSE","josh",1
" Miraculous Recovery","4W"," Visions","U","$4.99 ","$0.30 ","$0.08 ","FALSE","josh",1
" Spitting Drake","3R"," Visions","U","$1.07 ","$0.23 ","$0.06 ","FALSE","josh",1
" Karoo",""," Visions","U","$4.99 ","$0.38 ","$0.10 ","FALSE","josh",1
" Kaervek's Spite","BBB"," Visions","R","$19.99 ","$0.94 ","$0.39 ","FALSE","josh",1
" Fireblast","4RR"," Visions","C","$32.40 ","$1.26 ","$0.48 ","FALSE","josh",2
" Mortal Wound","G"," Visions","C","$0.99 ","$0.19 ","$0.03 ","FALSE","josh",2
" Dwarven Vigilantes","2R"," Visions","C","$0.94 ","$0.19 ","$0.03 ","FALSE","josh",2
" Remedy","1W"," Visions","C","$0.99 ","$0.20 ","$0.02 ","FALSE","josh",2
" Hope Charm","W"," Visions","C","$4.99 ","$0.19 ","$0.05 ","FALSE","josh",2
" Goblin Swine-Rider","R"," Visions","C","$0.99 ","$0.19 ","$0.03 ","FALSE","josh",2
" Sun Clasp","1W"," Visions","C","$1.08 ","$0.19 ","$0.05 ","FALSE","josh",2
" Fallen Askari","1B"," Visions","C","$0.99 ","$0.20 ","$0.04 ","FALSE","josh",2
" Undo","1UU"," Visions","C","$0.99 ","$0.20 ","$0.05 ","FALSE","josh",2
" Tremor","R"," Visions","C","$0.99 ","$0.19 ","$0.02 ","FALSE","josh",2
" Infernal Harvest","1B"," Visions","C","$1.81 ","$0.20 ","$0.02 ","FALSE","josh",2
" Creeping Mold","2GG"," Visions","U","$9.99 ","$0.25 ","$0.06 ","FALSE","josh",2
" Heat Wave","2R"," Visions","U","$4.99 ","$0.25 ","$0.05 ","FALSE","josh",2
" Stampeding Wildebeests","2GG"," Visions","U","$2.99 ","$0.25 ","$0.07 ","FALSE","josh",2
" Breathstealer's Crypt","2UB"," Visions","R","$48.14 ","$10.35 ","$4.42 ","FALSE","josh",2
" Razortooth Rats","2B"," Weatherlight","C","$0.99 ","$0.20 ","$0.06 ","FALSE","josh",1
" Empyrial Armor","1WW"," Weatherlight","C","$1.01 ","$0.25 ","$0.10 ","FALSE","josh",1
" Boiling Blood","2R"," Weatherlight","C","$3.23 ","$0.24 ","$0.06 ","FALSE","josh",1
" Lava Storm","3RR"," Weatherlight","C","$0.99 ","$0.18 ","$0.03 ","FALSE","josh",1
" Abjure","U"," Weatherlight","C","$25.00 ","$0.34 ","$0.15 ","FALSE","josh",1
" Mind Stone","2"," Weatherlight","C","$9.99 ","$1.44 ","$0.65 ","FALSE","josh",1
" Heavy Ballista","3W"," Weatherlight","C","$1.01 ","$0.19 ","$0.04 ","FALSE","josh",1
" Ardent Militia","4W"," Weatherlight","C","$0.94 ","$0.18 ","$0.02 ","FALSE","josh",1
" Uktabi Efreet","2GG"," Weatherlight","C","$0.94 ","$0.20 ","$0.02 ","FALSE","josh",1
" Dwarven Berserker","1R"," Weatherlight","C","$1.21 ","$0.20 ","$0.04 ","FALSE","josh",1
" Duskrider Falcon","1W"," Weatherlight","C","$0.99 ","$0.20 ","$0.05 ","FALSE","josh",1
" Hidden Horror","1BB"," Weatherlight","U","$1.84 ","$0.25 ","$0.07 ","FALSE","josh",1
" Cinder Giant","3R"," Weatherlight","U","$1.99 ","$0.25 ","$0.05 ","FALSE","josh",1
" Noble Benefactor","2U"," Weatherlight","U","$2.99 ","$0.41 ","$0.16 ","FALSE","josh",1
" Fervor","2R"," Weatherlight","R","$16.49 ","$2.89 ","$0.75 ","FALSE","josh",1
" Tolarian Drake","2U"," Weatherlight","C","$1.07 ","$0.18 ","$0.04 ","FALSE","josh",2
" Briar Shield","G"," Weatherlight","C","$9.60 ","$0.20 ","$0.04 ","FALSE","josh",2
" Kithkin Armor","W"," Weatherlight","C","$1.20 ","$0.20 ","$0.05 ","FALSE","josh",2
" Lava Storm","3RR"," Weatherlight","C","$0.99 ","$0.18 ","$0.03 ","FALSE","josh",2
" Disrupt","U"," Weatherlight","C","$4.99 ","$0.25 ","$0.09 ","FALSE","josh",2
" Bogardan Firefiend","2R"," Weatherlight","C","$0.99 ","$0.19 ","$0.04 ","FALSE","josh",2
" Spinning Darkness","4BB"," Weatherlight","C","$0.99 ","$0.23 ","$0.07 ","FALSE","josh",2
" Nature's Kiss","1G"," Weatherlight","C","$9.60 ","$0.20 ","$0.02 ","FALSE","josh",2
" Benalish Missionary","W"," Weatherlight","C","$0.99 ","$0.18 ","$0.03 ","FALSE","josh",2
" Sage Owl","1U"," Weatherlight","C","$1.23 ","$0.20 ","$0.05 ","FALSE","josh",2
" Striped Bears","3G"," Weatherlight","C","$5.00 ","$0.31 ","$0.09 ","FALSE","josh",2
" Argivian Find","W"," Weatherlight","U","$9.99 ","$0.99 ","$0.33 ","FALSE","josh",2
" Gaea's Blessing","1G"," Weatherlight","U","$2.99 ","$0.46 ","$0.10 ","FALSE","josh",2
" Serra's Blessing","1W"," Weatherlight","U","$9.99 ","$0.49 ","$0.15 ","FALSE","josh",2
" Morinfen","3BB"," Weatherlight","R","$16.49 ","$0.50 ","$0.19 ","FALSE","josh",2
