Name,Cost,Set Name,R,  High  ,  Med  ,  Low  
 Acclaimed Contender,2W, Throne of Eldraine,R,5,0.5,0.12
 Acclaimed Contender (Extended Art),2W, Throne of Eldraine,R,14.48,5,3
" Alela, Artful Provocateur",1WUB, Throne of Eldraine,M,39.99,11.5,7.91
 All That Glitters,1W, Throne of Eldraine,U,100,0.24,0.05
 Animating Faerie,2U, Throne of Eldraine,U,1.99,0.24,0.03
 Animating Faerie (Showcase),2U, Throne of Eldraine,U,4.1,0.37,0.1
 Arcane Signet,2, Throne of Eldraine,C,39.99,10.75,7.5
 Arcanist's Owl,(W/U)(W/U)(W/U)(W/U), Throne of Eldraine,U,5,0.19,0.03
 Archon of Absolution,3W, Throne of Eldraine,U,1.7,0.24,0.02
 Ardenvale Paladin,3W, Throne of Eldraine,C,150,0.15,0.01
 Ardenvale Tactician,1WW, Throne of Eldraine,C,1.7,0.15,0.01
 Ardenvale Tactician (Showcase),1WW, Throne of Eldraine,C,5.77,0.6,0.22
" Ayara, First of Locthwain",BBB, Throne of Eldraine,R,5,1.31,0.69
" Ayara, First of Locthwain (Extended Art)",BBB, Throne of Eldraine,R,24.48,9.78,7.75
 Bake into a Pie,2BB, Throne of Eldraine,C,1.7,0.15,0.01
 Banish into Fable,4WU, Throne of Eldraine,R,5.99,1,0.14
 Barge In,R, Throne of Eldraine,C,1.7,0.15,0.01
 Barrow Witches,4B, Throne of Eldraine,C,150,0.15,0.01
 Bartered Cow,3W, Throne of Eldraine,C,150,0.15,0.01
 Beanstalk Giant,6G/2G, Throne of Eldraine,U,3.01,0.25,0.05
 Beanstalk Giant (Showcase),6G/2G, Throne of Eldraine,U,5,0.5,0.15
 Bear // Food (15) Double-sided Token,, Throne of Eldraine,T,5.5,2,0.85
 Bear // Food (16) Double-sided Token,, Throne of Eldraine,T,4.25,2.49,1.45
 Bear // Food (17) Double-sided Token,, Throne of Eldraine,T,3.1,1.78,0.25
 Bear // Food (18) Double-sided Token,, Throne of Eldraine,T,4.01,0.89,0.5
 Bear Token,, Throne of Eldraine,T,1.7,0.15,0.04
 Belle of the Brawl,2B, Throne of Eldraine,U,5,0.2,0.02
 Beloved Princess,W, Throne of Eldraine,C,1.7,0.15,0.01
 Blacklance Paragon,1B, Throne of Eldraine,R,100,0.62,0.25
 Blacklance Paragon (Extended Art),1B, Throne of Eldraine,R,49.05,5,2.9
 Bloodhaze Wolverine,1R, Throne of Eldraine,C,150,0.15,0.01
 Blow Your House Down,2R, Throne of Eldraine,C,150,0.15,0.01
