Name,Cost,Set Name,R,High,Med,Low
 Aku Djinn,3BB, Visions,R,$19.99 ,$0.76 ,$0.40 
 Anvil of Bogardan,2, Visions,R,$249.99 ,$31.16 ,$26.00 
 Archangel,5WW, Visions,R,$9.99 ,$0.50 ,$0.22 
 Army Ants,1BR, Visions,U,$4.99 ,$0.32 ,$0.14 
 Betrayal,U, Visions,C,$0.99 ,$0.24 ,$0.08 
 Blanket of Night,1BB, Visions,U,$9.99 ,$0.40 ,$0.10 
 Bogardan Phoenix,2RRR, Visions,R,$19.99 ,$0.50 ,$0.23 
 Brass-Talon Chimera,4, Visions,U,$2.99 ,$0.25 ,$0.05 
 Breathstealer's Crypt,2UB, Visions,R,$48.14 ,$10.35 ,$4.42 
 Breezekeeper,3U, Visions,C,$0.99 ,$0.19 ,$0.03 
 Brood of Cockroaches,1B, Visions,U,$1.99 ,$0.27 ,$0.10 
 Bull Elephant,3G, Visions,C,$0.99 ,$0.19 ,$0.03 
 Chronatog,1U, Visions,R,$19.99 ,$1.63 ,$0.99 
 City of Solitude,2G, Visions,R,$99.99 ,$19.99 ,$15.49 
 Cloud Elemental,2U, Visions,C,$0.99 ,$0.19 ,$0.02 
 Coercion,2B, Visions,C,$1.99 ,$0.20 ,$0.04 
 Coral Atoll,, Visions,U,$4.99 ,$0.49 ,$0.20 
 Corrosion,1BR, Visions,R,$19.99 ,$0.99 ,$0.28 
 Creeping Mold,2GG, Visions,U,$9.99 ,$0.25 ,$0.06 
 Crypt Rats,2B, Visions,C,$3.59 ,$0.60 ,$0.15 
 Daraja Griffin,3W, Visions,U,$2.99 ,$0.24 ,$0.06 
 Dark Privilege,1B, Visions,C,$1.93 ,$0.29 ,$0.08 
 Death Watch,B, Visions,C,$9.60 ,$0.21 ,$0.05 
 Desertion,3UU, Visions,R,$9.99 ,$3.07 ,$1.75 
 Desolation,1BB, Visions,U,$22.80 ,$0.57 ,$0.06 
 Diamond Kaleidoscope,4, Visions,R,$19.99 ,$0.69 ,$0.15 
 Dormant Volcano,, Visions,U,$9.60 ,$0.30 ,$0.15 
 Dragon Mask,3, Visions,U,$2.99 ,$0.25 ,$0.08 
 Dream Tides,2UU, Visions,U,$19.60 ,$0.50 ,$0.25 
 Dwarven Vigilantes,2R, Visions,C,$0.94 ,$0.19 ,$0.03 
 Elephant Grass,G, Visions,U,$60.80 ,$2.00 ,$0.99 
 Elkin Lair,3R, Visions,R,$19.99 ,$0.99 ,$0.40 
 Elven Cache,2GG, Visions,C,$9.60 ,$0.20 ,$0.05 
 Emerald Charm,G, Visions,C,$4.99 ,$0.25 ,$0.08 
 Equipoise,2W, Visions,R,$249.99 ,$2.50 ,$1.24 
 Everglades,, Visions,U,$4.99 ,$0.36 ,$0.13 
 Eye of Singularity,3W, Visions,R,$19.99 ,$0.89 ,$0.15 
 Fallen Askari,1B, Visions,C,$0.99 ,$0.20 ,$0.04 
 Femeref Enchantress,GW, Visions,R,$29.98 ,$5.78 ,$3.25 
 Feral Instinct,1G, Visions,C,$1.16 ,$0.20 ,$0.03 
 Fireblast,4RR, Visions,C,$32.40 ,$1.26 ,$0.48 
