"Month","NightOccupied","Avg.Price.Per.Night","EffectiveGrossIncome","Operating.Expenses","NetOperatingIncome","OperatingExpenseRatio","fixedCosts","variableCosts","oerNew"
2017-01-01,15,53,795,1173,-385,1.48,250,930,1.48427672955975
2017-02-01,11,95,1045,1187,-140,1.14,250,935,1.13397129186603
2017-03-01,15,134,2010,1747,260,0.87,250,1500,0.870646766169154
2017-04-01,7,141,987,2148,-1160,2.18,250,1897,2.17527862208713
2017-05-01,14,128,1792,1106,688,0.62,250,854,0.616071428571429
2017-06-01,12,244,2928,1158,1766,0.4,250,912,0.396857923497268
2017-07-01,21,215,4515,1306,3215,0.29,250,1050,0.287929125138427
2017-08-01,28,230,6440,1936,4510,0.3,250,1680,0.299689440993789
2017-09-01,18,146,2628,1712,920,0.65,250,1458,0.649923896499239
2017-10-01,20,115,2300,1194,1110,0.52,250,940,0.517391304347826
2017-11-01,12,95,1140,1324,-178,1.16,250,1068,1.15614035087719
2017-12-01,7,118,826,1036,-208,1.25,250,784,1.25181598062954
2018-01-01,15,78,1170,1101,65,0.94,250,855,0.944444444444444
2018-02-01,28,57,1596,1680,-82,1.05,250,1428,1.05137844611529
2018-03-01,17,120,2040,1252,787,0.61,250,1003,0.61421568627451
2018-04-01,12,111,1332,2164,-838,1.62,250,1920,1.62912912912913
2018-05-01,20,131,2620,1502,1110,0.57,250,1260,0.576335877862595
2018-06-01,19,174,3306,1411,1897,0.43,250,1159,0.426194797338173
2018-07-01,24,83,1992,1582,422,0.79,250,1320,0.788152610441767
2018-08-01,27,200,5400,1523,3881,0.28,250,1269,0.281296296296296
2018-09-01,24,137,3288,1814,1478,0.55,250,1560,0.550486618004866
2018-10-01,17,120,2040,1693,345,0.83,250,1445,0.830882352941177
2018-11-01,16,98,1568,1394,166,0.89,250,1152,0.894132653061224
2018-12-01,13,102,1326,1637,-315,1.23,250,1391,1.23755656108597
2019-01-01,2,110,220,1104,-884,5.02,250,854,5.01818181818182
2019-02-01,2,110,220,1556,-1336,7.07,250,1306,7.07272727272727
2019-03-01,2,121,242,1061,-820,4.38,250,812,4.38842975206612
2019-04-01,16,137,2192,1579,614,0.72,250,1328,0.719890510948905
2019-05-01,13,98,1274,1190,88,0.93,250,936,0.930926216640502
2019-06-01,10,63,630,919,-290,1.46,250,670,1.46031746031746
2019-07-01,26,169,4394,1274,3130,0.29,250,1014,0.287664997724169
2019-08-01,28,86,2408,1594,814,0.66,250,1344,0.661960132890365
2019-09-01,20,138,2760,1768,990,0.64,250,1520,0.641304347826087
2019-10-01,9,97,873,1138,-268,1.3,250,891,1.3069873997709
2019-11-01,15,105,1575,1242,335,0.79,250,990,0.787301587301587
2019-12-01,7,64,448,993,-544,2.22,250,742,2.21428571428571
2020-01-01,13,56,728,1329,-601,1.83,250,1079,1.82554945054945
2020-02-01,10,59,590,969,-380,1.64,250,720,1.64406779661017
2020-03-01,19,64,1216,1333,-117,1.1,250,1083,1.09621710526316
