"word","sentiment"
"abacus","trust"
"abandon","fear"
"abandon","negative"
"abandon","sadness"
"abandoned","anger"
"abandoned","fear"
"abandoned","negative"
"abandoned","sadness"
"abandonment","anger"
"abandonment","fear"
"abandonment","negative"
"abandonment","sadness"
"abandonment","surprise"
"abba","positive"
"abbot","trust"
"abduction","fear"
"abduction","negative"
"abduction","sadness"
"abduction","surprise"
"aberrant","negative"
"aberration","disgust"
"aberration","negative"
"abhor","anger"
"abhor","disgust"
"abhor","fear"
"abhor","negative"
"abhorrent","anger"
"abhorrent","disgust"
"abhorrent","fear"
"abhorrent","negative"
"ability","positive"
"abject","disgust"
"abject","negative"
"abnormal","disgust"
"abnormal","negative"
"abolish","anger"
"abolish","negative"
"abolition","negative"
"abominable","disgust"
"abominable","fear"
"abominable","negative"
"abomination","anger"
"abomination","disgust"
"abomination","fear"
"abomination","negative"
"abort","negative"
"abortion","disgust"
"abortion","fear"
"abortion","negative"
"abortion","sadness"
"abortive","negative"
"abortive","sadness"
"abovementioned","positive"
"abrasion","negative"
"abrogate","negative"
"abrupt","surprise"
"abscess","negative"
"abscess","sadness"
"absence","fear"
"absence","negative"
"absence","sadness"
"absent","negative"
"absent","sadness"
"absentee","negative"
"absentee","sadness"
"absenteeism","negative"
"absolute","positive"
"absolution","joy"
"absolution","positive"
"absolution","trust"
"absorbed","positive"
"absurd","negative"
"absurdity","negative"
"abundance","anticipation"
"abundance","disgust"
"abundance","joy"
"abundance","negative"
"abundance","positive"
"abundance","trust"
"abundant","joy"
"abundant","positive"
"abuse","anger"
"abuse","disgust"
"abuse","fear"
"abuse","negative"
"abuse","sadness"
"abysmal","negative"
"abysmal","sadness"
"abyss","fear"
"abyss","negative"
"abyss","sadness"
"academic","positive"
"academic","trust"
"academy","positive"
"accelerate","anticipation"
"acceptable","positive"
"acceptance","positive"
"accessible","positive"
"accident","fear"
"accident","negative"
"accident","sadness"
"accident","surprise"
"accidental","fear"
"accidental","negative"
"accidental","surprise"
"accidentally","surprise"
"accolade","anticipation"
"accolade","joy"
"accolade","positive"
"accolade","surprise"
"accolade","trust"
"accommodation","positive"
"accompaniment","anticipation"
"accompaniment","joy"
"accompaniment","positive"
"accompaniment","trust"
"accomplish","joy"
"accomplish","positive"
"accomplished","joy"
"accomplished","positive"
"accomplishment","positive"
"accord","positive"
"accord","trust"
"account","trust"
"accountability","positive"
"accountability","trust"
"accountable","positive"
"accountable","trust"
"accountant","trust"
"accounts","trust"
"accredited","positive"
"accredited","trust"
"accueil","positive"
"accurate","positive"
"accurate","trust"
"accursed","anger"
"accursed","fear"
"accursed","negative"
"accursed","sadness"
"accusation","anger"
"accusation","disgust"
"accusation","negative"
"accusative","negative"
"accused","anger"
"accused","fear"
"accused","negative"
"accuser","anger"
"accuser","fear"
"accuser","negative"
"accusing","anger"
"accusing","fear"
"accusing","negative"
"ace","positive"
"ache","negative"
"ache","sadness"
"achieve","joy"
"achieve","positive"
"achieve","trust"
"achievement","anticipation"
"achievement","joy"
"achievement","positive"
"achievement","trust"
