doc_id,text
985,"Newsgroups: rec.autos Path: cantaloupe.srv.cs.cmu.edu!magnesium.club.cc.cmu.edu!news.sei.cmu.edu!cis.ohio-state.edu!zaphod.mps.ohio-state.edu!cs.utexas.edu!uunet!spsgate!mogate!newsgate!usenet From: markm@bigfoot.sps.mot.com (Mark Monninger) Subject: Re: Car buying story, was: Christ, another dealer service scam... Message-ID: <1993Apr27.150000.10469@newsgate.sps.mot.com> Sender: usenet@newsgate.sps.mot.com Nntp-Posting-Host: 223.250.10.7 Reply-To: rapw20@email.sps.mot.com Organization: SPS References: <1993Apr27.021456.7594@slcs.slb.com> Distribution: usa Date: Tue, 27 Apr 1993 15:00:00 GMT Lines: 22  In article <1993Apr27.021456.7594@slcs.slb.com>   dcd@se.houston.geoquest.slb.com (Dan Day) writes: > In article <1993Apr16.162950.25849@newsgate.sps.mot.com>   rapw20@email.sps.mot.com writes: > > > >before you go in. Find out the invoice prices of the car, add a   reasonable   > >profit for the dealer ($200-$300??), offer them that price and stick to   > >it. >  > Whoa!  Watch your terminology.  ""Dealer invoice"" is *not* ""dealer cost"". > ...  That's probably true but it's the closest to it that you're going to get.   The actual dealer cost depends on a lot of things and even the dealer   probably doesn't know exactly what it will be until all the factory    kick-backs, incentives, etc. are paid and that often depends on his volume   at the end of the month/quarter/whatever. It might be a funny munber but   it's all you have to start with, except the sticker, and anyone who pays   sticker price is really being ripped off.  Mark"
297,"Newsgroups: sci.electronics Path: cantaloupe.srv.cs.cmu.edu!crabapple.srv.cs.cmu.edu!fs7.ece.cmu.edu!europa.eng.gtefsd.com!gatech!usenet.ins.cwru.edu!magnus.acs.ohio-state.edu!zaphod.mps.ohio-state.edu!uwm.edu!cs.utexas.edu!utnut!utzoo!henry From: henry@zoo.toronto.edu (Henry Spencer) Subject: Re: Public-domain circuits in commercial applications Message-ID: <C5nIBH.6oq@zoo.toronto.edu> Date: Sat, 17 Apr 1993 23:23:38 GMT References: <1993Apr13.164924.2606@wuecl.wustl.edu> Organization: U of Toronto Zoology Lines: 31  In article <1993Apr13.164924.2606@wuecl.wustl.edu> dp@cec1.wustl.edu (David Prutchi) writes: >Can circuits found in electronics magazines (with no patent disclaimer) >be used legally as subcircuits of a commercial unit ?  There are two issues here:  copyright and patent.  The magazine article's contents are copyrighted, and may not be reproduced, translated, etc., without the copyright holder's permission.  However, this does not cover the *ideas* expressed, only the form of expression.  Copying their circuit diagram or PC-board pattern is copyright infringement.  But it's unlikely that they could stretch copyright far enough to claim that the circuit design itself is copyrighted.  So long as you draw your own diagrams and lay out your own boards, copyright shouldn't be an issue.  Patents are different.  The author does *not* have to give you any warning that the design is covered by patent (although it would be sensible for him to do so).  In fact, it's possible that *he* was infringing on someone else's patent without realizing it.  Ignorance of the patented status is not a defence against infringement, although it might reduce the damages a court would award.  However... unless there was something seriously novel about the circuit, almost certainly it is ""obvious to one skilled in the art"" and therefore unpatentable.  Routine engineering is not patentable; patents (in theory) cover only inventions, ideas that are genuinely new.  Caution:  I am not a lawyer.  Consulting a professional would be wise if significant amounts of money are at stake. --  All work is one man's work.             | Henry Spencer @ U of Toronto Zoology                     - Kipling           |  henry@zoo.toronto.edu  utzoo!henry"
260,"Path: cantaloupe.srv.cs.cmu.edu!crabapple.srv.cs.cmu.edu!bb3.andrew.cmu.edu!news.sei.cmu.edu!cis.ohio-state.edu!zaphod.mps.ohio-state.edu!usc!cs.utexas.edu!uunet!olivea!bu.edu!acs2.bu.edu!lzahas From: lzahas@acs2.bu.edu (Lukas Zahas) Newsgroups: sci.electronics Subject: Re: How do DI boxes work? Message-ID: <115727@bu.edu> Date: 17 Apr 93 01:42:32 GMT References: <LANCER.93Apr15150228@oconnor.WPI.EDU> Sender: news@bu.edu Organization: Boston University, Boston, MA, USA Lines: 19  In article <LANCER.93Apr15150228@oconnor.WPI.EDU> lancer@oconnor.WPI.EDU (Stephe Lewis Foskett) writes: > >I'm doing sound for a couple of bands around here and we need Direct >Input boxes for the keyboards.  These are the little boxes that take a >line level out of the keyboard and transform it into low-Z for the run >to the mixer.  Sadly they cost like $50 (or more) each and I'm going >to need like 5 or 10 of them!  I looked inside one (belonging to >another band) and it looks like just a transformer.  Does anyone have >any plans for building them?   > $50 each!!  Don't bother trying to make one yourself, just shop around a little.  I've found DOD brand DI boxes for as cheap as $20 each.  You can  get higher end ones for more, but for PA use for bands, I wouldn't bother. Making one yourself might work, but getting a sturdy enough enclosure might be hard (they're made of heavy guage metal, since they're always on the floor, being kicked around a lot). For any additional questions on this topic, you  might want to post to rec.audio.pro 						Lukas Zahas 						lzahas@bu.edu"
194,"Newsgroups: rec.autos Path: cantaloupe.srv.cs.cmu.edu!rochester!udel!gatech!asuvax!ennews!mcdphx!schbbs!mothost!white!sapphire.rtsg.mot.com!opal12!nataraja From: nataraja@rtsg.mot.com (Kumaravel Natarajan) Subject: Re: Chryslers Compact LH Sedans? Message-ID: <nataraja.734712650@opal12> Sender: news@rtsg.mot.com Nntp-Posting-Host: opal12 Organization: Motorola Inc., Cellular Infrastructure Group References: <1qavet$8e0@usenet.INS.CWRU.Edu> <C5E4Fn.C0F@murdoch.acc.Virginia.EDU> Distribution: usa Date: Tue, 13 Apr 1993 14:50:50 GMT Lines: 21  rmt6r@faraday.clas.Virginia.EDU (Roy Matthew Thigpen) writes:  >aas7@po.CWRU.Edu  writes: >>  >> In a previous article, v064mcqs@ubvmsd.cc.buffalo.edu (ADAM M. GANDLER) says: >>  >> > >> >I heard Chrysler is planning to design or is in the process >> >of designing a compact sedan line based on the LH platform. >> >If these were as thought out as the full sized sedans and >> >priced competitively, I see no reason why they could not give >> >the imports and even the Saturns a serious challenge. >>  >> OH GOODY!!! We now get to see SATURNS sold through CRYCO dealers..... >> fab! >Why is it this A-hole insist on remarks like this.  I really am growing >tired of this s*** DREW.   Do you have a ""kill"" file for your newsreader?  I put the name ""Spencer"" in my kill file and that gives me about 10-15 less articles PER DAY that I have to sift through."
601,"Newsgroups: rec.autos Path: cantaloupe.srv.cs.cmu.edu!magnesium.club.cc.cmu.edu!news.sei.cmu.edu!cis.ohio-state.edu!magnus.acs.ohio-state.edu!sorlin From: sorlin@magnus.acs.ohio-state.edu (Steven J Orlin) Subject: Re: Changing oil by self. Message-ID: <1993Apr23.223836.672@magnus.acs.ohio-state.edu> Keywords: n Sender: news@magnus.acs.ohio-state.edu Nntp-Posting-Host: magnusug.magnus.acs.ohio-state.edu Organization: The Ohio State University References: <1993Apr15.160922.8797@magnus.acs.ohio-state.edu> <1993Apr15.163411 Distribution: usa Date: Fri, 23 Apr 1993 22:38:36 GMT Lines: 33   In article <13798@news.duke.edu> infante@acpub.duke.edu (Andrew  Infante) write s:  > >You're actually worried about somebody stealing >your oil?  Ahhh yes, Andrew, we meet again...  ...no, not 'stealing' the oil, just draining it as to leave me stranded.  >C'mon, you think a vandal'll do that?!  Let me guess, you're from Hudson Ohio??  >That's absolutely ridiculous!  Get out and see the world.   ""IF"" I were the vandal, and I really hated someone, maybe someone who knew something about cars, of course I would look for ANY types of valves I could undo.  Especially, special oil drain plugs, and radiator petcocks.  As well as putting bad things in the gas...  While I would never vandalize someone's car, IF I were to, it would probably be the 'time bomb' approach, and I'm sure I'm not the only one who thinks that way...   steve"
131,"Xref: cantaloupe.srv.cs.cmu.edu sci.electronics:53724 rec.autos:102717 Newsgroups: sci.electronics,rec.autos Path: cantaloupe.srv.cs.cmu.edu!crabapple.srv.cs.cmu.edu!fs7.ece.cmu.edu!europa.eng.gtefsd.com!howland.reston.ans.net!usc!sdd.hp.com!think.com!spdcc!merk!roscom!monty From: Monty Solomon <monty%roscom@think.com> Subject: Re: Radar detector DETECTORS? Message-ID: <1993Apr18.002910.2885@proponent.com> Followup-To: rec.autos Sender: monty@proponent.com (Monty Solomon) Reply-To: Monty Solomon <roscom!monty@think.com> Organization: Proponent References: <1993Apr14.133007.11055@Princeton.EDU> Distribution: na Date: Sun, 18 Apr 1993 00:29:10 GMT Expires: Sun, 2 May 1993 00:29:11 GMT Lines: 16  In article <1993Apr14.133007.11055@Princeton.EDU> chinatti@tan.Princeton.EDU   (Stephen Anthony Chinatti) writes: > CT just recently overturned the ban on radar detectors, it is no > longer illegal to possess/use a radar detector in a vehicle.  Before, > when it WAS illegal, it was illegal to operate a radar detector, or > have a radar detector installed in your vehicle.  If a cop pulled you > over, and you either had your detector on (operating) or had your > detector off but plugged in to a power source (installed), the cop > could sieze your detector, and you could get it back something like 1 > year and about $100 later (not 100% sure about time/fines).  The fine was $35 and they could not seize your detector.  --  # Monty Solomon / PO Box 2486 / Framingham, MA  01701-0405 # monty%roscom@think.com"
473,"Newsgroups: sci.electronics Path: cantaloupe.srv.cs.cmu.edu!magnesium.club.cc.cmu.edu!news.sei.cmu.edu!cis.ohio-state.edu!pacific.mps.ohio-state.edu!zaphod.mps.ohio-state.edu!howland.reston.ans.net!ira.uka.de!math.fu-berlin.de!news.netmbx.de!Germany.EU.net!mcsun!sunic!news.chalmers.se!etek.chalmers.se!fy.chalmers.se!f92anha From: f92anha@fy.chalmers.se (Anders Hammarquist) Subject: Re: Need to find out number to a phone line Message-ID: <1993Apr20.221550.16422@fy.chalmers.se> Organization: Chalmers University of Technology References: <23321@mindlink.bc.ca> Date: Tue, 20 Apr 93 22:15:50 GMT Lines: 11  In article <23321@mindlink.bc.ca> Sean_Oliver@mindlink.bc.ca (Sean Oliver) writes: >> Joseph Mich Krzeszewsk writes: >>         890 the phone company will read the number of the phone you are on > >Where I live, I use BCTEL. The number to dial is 211 for the same result. >  In NY City, the number to dial is 958... It seems to be different in different areas.  Anders"
542,"Path: cantaloupe.srv.cs.cmu.edu!rochester!udel!gatech!howland.reston.ans.net!ux1.cso.uiuc.edu!bert.eecs.uic.edu!uicvm.uic.edu!u59985 Organization: University of Illinois at Chicago, academic Computer Center Date: Fri, 23 Apr 1993 12:34:59 CDT From: <U59985@uicvm.uic.edu> Message-ID: <93113.123459U59985@uicvm.uic.edu> Newsgroups: rec.autos Subject: Re: Saturn Extended Warranty Distribution: world References: <1r6bqgINN4ei@roundup.crhc.uiuc.edu>  <1r7n42INNie1@shelley.u.washington.edu> Lines: 12  I agree with Gaia. Even though the Saturn has proved to be a very reliable car so far, a little money spent now is worth the peace of mind.  In my opinion, getting the PowerTrain warranty is enough. In my case, that's be cause; anything that needed repairing in the interior (sunroof, windows, doors,  etc.) I could do myself. I just didn't want to mess with the engine and such.  Plus I think the extra 3 years of 24-hour RoadSide Assistance must be worthe so meting. I opted for the 5 year plan for $375.  Thomas "
275,"Path: cantaloupe.srv.cs.cmu.edu!rochester!udel!gatech!prism!gt0869a From: gt0869a@prism.gatech.EDU (WATERS,CLYDE GORDON) Newsgroups: sci.electronics Subject: Re: History question Message-ID: <93413@hydra.gatech.EDU> Date: 17 Apr 93 04:38:00 GMT References: <kazel.15.734728882@uiuc.edu> <2775@snap> Organization: Georgia Institute of Technology Lines: 23  In article <2775@snap> paj@uk.co.gec-mrc (Paul Johnson) writes: >This is vague, so I am posting it in case anyone else knows more. > >I recall reading of a phonograph which used mechanical amplification. >Compressed air was squirted out of a valve which was controlled by the >pickup.  The result was noisy and distinctly lo-fi, but much louder   NASA and related agencies apparently used this same principles to create the loudest reported reproduced sound. They used an ""analog"" electrically controlled valve to control the flow of air across a horn throat. If I  remember correctly it was called a ""modulated air blast transducer"". There were reports of the thing being able to produce 106 dB @ 80 Hz @ 10 mile distance, communicate directly with fighter pilots @ 5000 ft, etc.  Regards, Gordon.  --  WATERS,CLYDE GORDON-BME '93-Georgia Institute of Technology Atlanta Ga.  ""Out of the mountain of despair, we can hew the stone of hope""- MLK Jr.  uucp:	  ...!{decvax,hplabs,ncar,purdue,rutgers}!gatech!prism!gt0869a Internet: gt0869a@prism.gatech.edu"
42,"Newsgroups: sci.electronics Path: cantaloupe.srv.cs.cmu.edu!crabapple.srv.cs.cmu.edu!fs7.ece.cmu.edu!europa.eng.gtefsd.com!emory!swrinde!cs.utexas.edu!uunet!caen!uwm.edu!linac!att!att-out!cbfsb!cbnewsb.cb.att.com!wa2ise From: wa2ise@cbnewsb.cb.att.com (robert.f.casey) Subject: 2 level brightness Xmas light set (for Easter? Message-ID: <1993Apr6.023827.6628@cbfsb.cb.att.com> Keywords: xmas Sender: news@cbfsb.cb.att.com Organization: AT&T Date: Tue, 6 Apr 1993 02:38:27 GMT Lines: 54   Yes, I know it's nowhere near Christmas time, but I'm gonna loose Net access in a few days (maybe a week or 2 if I'm lucky), and wanted to post this for interested people to save 'till Xmas.   :-( Note: Bell Labs is a good place IF you have a PhD and a good boss, I have neither. --------------------------------------------------------------------------  Subject: Xmas light set with 2 levels of brightness  Another version of a variable brightness Xmas light set: This set starts with a 2 blinker 35 bulb string.    DIAGRAM:  orginal 2 way set  120v---+--b-*-*-*-*-*-*-*--!        !---b-*-*-*-*-*-*-*-!                            ! 120rtn_____________________!  modified set for 2 level brightness:                  string 1 120v---------*-*-*-*-*-*-*-*--!   \_10K_______*-*-*-*-*-*-*-*-!     5w    !      string 2     !           b   ________________! 120v rtn__!___!               ^ Note: no mods to wiring to the right of this point.  Only one blinker is used.  Note that the blinker would not have as much current thru it as the string 1 bulbs, because of the second string of bulbs in parallel with it.  That's why the use of the 10K 5W resistor here to add extra current thru the blinker to make up for the current shunted thru the second string while the blinker is glowing and the second string is not glowing.  When the blinker goes open, this resistor has only a slight effect on the brightness of the strings, s1 slightly dimmer, s2 slightly brighter.   Or use a 3W 120v bulb in place of the 10K resistor if you can get one.  Caution, do not replace with a standard C9 bulb, as these draw too much current and burn out the blinker.  C9 = approx 7W.  What you'll see when it's working:  powerup, string 1 will light  at full brightness, and b will be lit, bypassing most of the current  from the second string, making them not light.  b will open, placing  both strings in series, making the string that was out to glow at a  low brightness, and the other string that was on before to glow  at reduced brightness.   Be sure to wire and insulate the splices, resistor leads, and cut wires  in a safe manner!"
