"doc_id","text","y"
1,"Newsgroups: sci.electronics Path: cantaloupe.srv.cs.cmu.edu!rochester!udel!gatech!usenet.ins.cwru.edu!magnus.acs.ohio-state.edu!csn!teal.csn.org!et From: et@teal.csn.org (Eric H. Taylor) Subject: Re: HELP_WITH_TRACKING_DEVICE Message-ID: <C4ruoI.B2z@csn.org> Followup-To: sci.electronics Summary: underground and underwater wireless methods Keywords: Rogers, Tesla, Hertz, underground, underwater, wireless, radio Sender: Eric H. Taylor Nntp-Posting-Host: teal.csn.org Organization: 4-L Laboratories References: <00969FBA.E640FF10@AESOP.RUTGERS.EDU> Date: Wed, 31 Mar 1993 21:07:28 GMT Expires: Fri, 30 Apr 1993 06:00:00 GMT Lines: 36  In article <00969FBA.E640FF10@AESOP.RUTGERS.EDU> mcdonald@AESOP.RUTGERS.EDU writes: >[...] >There are a variety of water-proof housings I could use but the real meat >of the problem is the electronics...hence this posting.  What kind of >transmission would be reliable underwater, in murky or even night-time >conditions?  I'm not sure if sound is feasible given the distortion under- >water...obviously direction would have to be accurate but range could be >relatively short (I imagine 2 or 3  hundred yards would be more than enough) > >Jim McDonald  Refer to patents by JAMES HARRIS ROGERS: 958,829; 1,220,005; 1,322,622; 1,349,103; 1,315,862; 1,349,104; 1,303,729; 1,303,730; 1,316,188  He details methods of underground and underwater wireless communications. For a review, refer to _Electrical_Experimenter_, March 1919 and June 1919.  Rogers' methods were used extensively during the World War, and was unclassified after the war. Supposedly, the government rethought this soon after, and Rogers was convieniently forgotten.  The bottom line is that all antennas that are grounded send HALF of their signal THRU the ground. The half that travels thru space is quickly dissapated (by the square of the distance), but that which travels thru the ground does not disapate at all. Furthermore, the published data showed that when noise drowned out regular reception, the underground antennas would recieve virtually noise-free.  IF you find this hard to believe, then refer to the work of the man who INVENTED wireless: Tesla. Tesla confirmed that Rogers' methods were correct, while Hertzian wave theory was completely ""abberant"".  ----  ET   ""Tesla was 100 years ahead of his time. Perhaps now his time comes."" ----","electronic"
2,"Xref: cantaloupe.srv.cs.cmu.edu rec.radio.swap:5798 rec.radio.amateur.misc:36612 rec.radio.info:646 sci.electronics:52446 Path: cantaloupe.srv.cs.cmu.edu!das-news.harvard.edu!ogicse!uwm.edu!spool.mu.edu!enterpoop.mit.edu!senator-bedfellow.mit.edu!athena.mit.edu!w1gsl From: w1gsl@athena.mit.edu (Steven L. Finberg) Newsgroups: rec.radio.swap,rec.radio.amateur.misc,rec.radio.info,sci.electronics,ne.forsale Subject: New England Ham - Electronic Fleamarket Dates  ** 1 April update  ** Keywords: Fleamarkets Swaps Ham Radio Computers Electronics Message-ID: <1peffgINNarc@senator-bedfellow.MIT.EDU> Date: 1 Apr 93 10:17:20 GMT Article-I.D.: senator-.1peffgINNarc Expires: 6 May 1993 Followup-To: poster Distribution: na Organization: Massachusetts Institute of Technology Lines: 112 Approved: rec-radio-info@ve6mgs.ampr.ab.ca NNTP-Posting-Host: e40-008-5.mit.edu     New England Area Major Flea Market    ***  DATES  ***      1993        P 1 of 2 All events are Ham Radio/ Electronic related except ~_____~  ******************************************************************************* 1993                                                    Contact          Source *******************************************************************************  3 April Upper Saddle River NJ CRRC   9-3 sell @8     Jack W2EHD 201 768 8360 D  4 April Southington CT SARA @HS $20@6:3 $10@8:3 $3@9      N1GCV 203 621 6191 F  17 April Nashua NH NE Antique RC $5@8 $1@9 @ Res Ctr Church Ray 508 865 1290   18 April Cambridge MA       FLEA at MIT                    Nick 617 253 3776 F                buy $2@9A  sellers $10/sp@7A $8in adv  $35 for season pass                3rd Sunday Each Month April thru October     18 April Webster MA ECARA @ Pt Breeze Rest $3 tables $10   Gary 203 974 2564 F  18 April Agawam MA HCRA @ Southwick Rec Ctr $3@9A     Bob W1ZGP 203 653 0715 F  23,24,25 April Dayton OH  adm $11  sell $30/50++       evenings 513 767 1107 F  2 May Yonkers NY  @Lincoln HS                       Otto WB2SLQ 914 969 1053 A  7-8 May Rochester NH Hoss Traders @FG ex13 off rt 16 $5 noon fri  WA1IVB sase  15 May N Smithfield RI RIFMRS @VFW Main St 8A        Rick K1KYI 401 725 7507    16 May Cambridge MA       FLEA at MIT                      Nick 617 253 3776 F  16 May Pittsfield MA @Taconic HS Sell $5@7 Buy $2@8 Cliff W1SJV 413 743 3334    21-22-23 May Rochester NY ARRL-NY Conv @ Monroe FG  Harold K2HC 800 724 8515 F  5 June S Burlington VT                             Mitch WB2JSJ 802 879 6589  6 June Newington CT @HS Flea                         Les KA1KRP 203 523 0453  12 June Bangor ME Pine St ARC @Hermon ES 146.34/94 8AM-$2 Roger 207 848 3846   20 June Cambridge MA         FLEA at MIT                   Nick 617 253 3776 F  17 July Nashua NH NE Antique RC $5@8 $1@9 @ Res Ctr Church  Ray 508 865 1290  17 July Union ME @ Fairground $3@7AM State Conv    Skeet KA1LPW 207 622 2915    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ LAST UPDATE 3-29-93 de W1GSL                                           P 1 of 2 ******************************************************************************* Additions/ Corrections  via Internet  w1gsl@athena.mit.edu                             US Mail   W1GSL POB 82 MIT Br Cambridge MA 02139                                       SASE for updated copy as issued.    1993                                                   Contact           Source *******************************************************************************  18 July Cambridge MA         FLEA at MIT                   Nick 617 253 3776 F                    3rd Sunday Each Month April thru October     24 July Manchester NH NHARA @HI 8A$4 NE DC 300Ts (no TG) WB1HBB 603 432 6011 F  8 Aug White Planes NY WECAfest                      Sarah N2EYX 914 962 9666 D  8 Aug Wellseley MA WARS+BARS @Babson College         Barry WN1N 508 877 4947 T  14 Aug St Albans ME  @ Snow Mobile Club             Hitch K1HHC 207 796 2282    15 Aug Cambridge MA          FLEA at MIT                   Nick 617 253 3776 F  29 Aug Fall River MA BCRA                            Tom WA1LBK 508 674 4163 T+  11 Sept Windsor ME @ Fairground $3@7AM             Skeet KA1LPW 207 622 2915    12 Sept Gaithersburg MD FAR @Mg Cty FG $5@6A- $7TG Nancy Drahim 703 691 0078 J  12 Sept S Dartmouth MA SE Mass ARA 8A-                Dan N1HCV 508 933 0678  +  19 Sept Cambridge MA         FLEA at MIT                   Nick 617 253 3776 F  19 Sept Sandy Hook CT Candlewood ARA               Harold KB1US              A  25 Sept Greenbush ME  WCSN/BARC @WCSN xmtr          Ed Cockburn 207 732 4366    26 Sept Framingham MA @ HS $12@8 $5@9 $2@10          Barry WN1N 508 877 4947 F  26 Sept Yonkers NY Metro 70 ARC                     Otto WB2SLQ 914 969 1053 A  15,16 Oct Rochester NH Hoss Traders @FG ex13 off rt 16 $5 noon fri      K1RQG   17 Oct Cambridge MA          FLEA at MIT                   Nick 617 253 3776 F  13 Nov Plymouth MA Mayflower RC @Mem Hall 9-3 sell@8   Jim NM1F 508 747 2224                       14 Nov Branford CT SCARA @intrm sch                 Brad WA1TAS 203 265 9983 T ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ LAST UPDATE 3-29-93 de W1GSL                                           P 2 of 2 Source F= Flyer  J= John Roberts list   A= ARRL list   WR NV 73 CQ QST = Mags        T= tentative early info    D= W1DL      + = new info this month This list has been compiled from many sources.  While we believe the info to  be accurate the author can not be responsible for changes or errors.   Check with the sponsoring organizations for more details.  This list will be posted monthly to Usenet if additions have been made.  Mailed copies are sent when additions are made. ******************************************************************************* Additions/ Corrections  via Internet  w1gsl@athena.mit.edu                             US Mail   W1GSL POB 82 MIT Br Cambridge MA 02139                                       SASE for updated copy as issued.","electronic"
3,"Newsgroups: sci.electronics Path: cantaloupe.srv.cs.cmu.edu!crabapple.srv.cs.cmu.edu!fs7.ece.cmu.edu!europa.eng.gtefsd.com!paladin.american.edu!darwin.sura.net!news-feed-1.peachnet.edu!gatech!swrinde!sdd.hp.com!decwrl!decwrl!uunet!pipex!doc.ic.ac.uk!agate!dog.ee.lbl.gov!hellgate.utah.edu!csn!teal.csn.org!et From: et@teal.csn.org (Eric H. Taylor) Subject: Re: Electronic Tesla Coils Message-ID: <C4s0G8.Dxv@csn.org> Followup-To: sci.electronics Summary: Real World Applications Keywords: tesla, coil, osc, flyback, transformers, wireless, emi, ac, ignition Sender: Eric H. Taylor Nntp-Posting-Host: teal.csn.org Organization: 4-L Laboratories References: <1993Mar23.040116.14355@norfolk.vak12ed.edu> <C4CntG.Jv4@spk.hp.com> <1993Mar25.161909.8110@wuecl.wustl.edu> Distribution: World Date: Wed, 31 Mar 1993 23:12:07 GMT Expires: Fri, 30 Apr 1993 06:00:00 GMT Lines: 48  In article <1993Mar25.161909.8110@wuecl.wustl.edu> dp@cec1.wustl.edu (David Prutchi) writes: >In article <C4CntG.Jv4@spk.hp.com> long@spk.hp.com (Jerry Long) writes: >>Fred W. Culpepper (fculpepp@norfolk.vak12ed.edu) wrote: >>[...] >>A couple of years ago I put together a Tesla circuit which >>was published in an electronics magazine and could have been >>the circuit which is referred to here. This one used a >>flyback transformer from a tv onto which you wound your own >>primary windings. It also used 2 power transistors in a TO 3 >[...] >10 years ago I built a 1'000,000 volt Tesla, and the thing was VERY >spectacular, but besides scaring/amazing friends (depending on their >knowledge of Science), and generating strong EMI, I never found anything >useful that could be done with it ...  Is there any real-world application >for Tesla coils today ? > >David Prutchi  First of all, realize that Tesla invented AC power generators, motors, transformers, conductors, etc. Technically, *ALL* transformers are Tesla coils.  In general though when someone refers to a Tesla coil, they mean an ""air core resonant transformer"". The TV flyback version Tesla coil (see the _Encyclopedia_of_Electronic_Circuits_ V3, 106-1 for diagram) has NOT an air core. It is of a class of circuit called ""Oscillating Shuttle Circuit"" (OSC). Generally OSC's are highly efficient, but this version uses transistors and resistors, which are very lossy devices. Typically Tesla used active reactances instead of passive resistors, so that he could achieve efficiencies of 99.5%, and better. The usual application of an air-core resonant transformer, or of an OSC, is to produce strong EMI for wireless broadcasts. How well do you think your computer screen would work if we removed the HF HV Tesla (flyback) coil from it? If we were to remove from our homes and industries all Tesla coils, our lights would go dark, our cars would sputter and die, our radios would go silent, our industries would grind to a halt, and we would have to go back to using coal for heat, gas for lamps, horses for transportation, steam for power, and telegraph for communication. Is that real world enough for you???????  GET THE MESSAGE! WE WOULD NOT HAVE 1/100 THE CONVIENIENCES WE HAVE TODAY IF NOT FOR TESLA. GIVE CREDIT WHERE CREDIT IS DUE!  If it had been up to Edison, we'd still be in the 19th century. (flame me at your own peril. I'm very good at putting edison down).  ----  ET   ""Tesla was 100 years ahead of his time. Perhaps now his time comes"". ----","electronic"
4,"Newsgroups: sci.electronics Path: cantaloupe.srv.cs.cmu.edu!crabapple.srv.cs.cmu.edu!news From: jml@norman.vi.ri.cmu.edu Subject: Re: Radar Jammers And Stealth Cars Message-ID: <C518wH.H9x.1@cs.cmu.edu> Sender: news@cs.cmu.edu (Usenet News System) Nntp-Posting-Host: westend.vi.ri.cmu.edu Reply-To: jml@visus.com Organization: School of Computer Science, Carnegie Mellon References: <C4rwDH.BuI@csn.org> Distribution: usa Date: Mon, 5 Apr 1993 22:53:02 GMT Lines: 6  Eric H. Taylor writes > ... If you are determined > to go faster, get an airplane. They dont have speed limits.  Just don't make a habit of buzzing your local airport at >200 knots (250 knots if you're flying a jet).  :-)","electronic"
5,"Newsgroups: sci.electronics Path: cantaloupe.srv.cs.cmu.edu!crabapple.srv.cs.cmu.edu!fs7.ece.cmu.edu!europa.eng.gtefsd.com!paladin.american.edu!gatech!ukma!netnews.louisville.edu!harpe From: harpe@netnews.louisville.edu (Mike Harpe) Subject: WANTED: Protel EasyTrax for the MAC Message-ID: <1993Apr5.202741.9651@netnews.louisville.edu> Date: Mon, 5 Apr 1993 20:27:41 GMT Organization: University of Louisville Lines: 12  The title says it all.  Contact me via EMAIL if you would can help me out...  Mike Harpe University of Louisville  P.S.  I KNOW IT IS DISCONTINUED.  I want someone who would like to sell       an old copy. --  Michael Harpe, Programmer/Analyst      Information Technology, Ormsby Bldg. harpe@hermes.louisville.edu            University of Louisville (502)588-5542                          Louisville, Ky. 40292 ""He's not a man, he's a remorseless eating machine!"" - The Simpsons","electronic"
6,"Xref: cantaloupe.srv.cs.cmu.edu rec.audio.car:9682 rec.audio:63183 sci.electronics:52719 Path: cantaloupe.srv.cs.cmu.edu!das-news.harvard.edu!ogicse!emory!wupost!usc!elroy.jpl.nasa.gov!nntp-server.caltech.edu!josephc From: josephc@cco.caltech.edu (Joseph Chiu) Newsgroups: rec.audio.car,rec.audio,sci.electronics Subject: Re: What is Zero dB???? Message-ID: <1pkveuINNduk@gap.caltech.edu> Date: 3 Apr 93 21:26:54 GMT Article-I.D.: gap.1pkveuINNduk References: <C4truE.6AA@ms.uky.edu> <sehari.733764410@vincent1.iastate.edu> Organization: California Institute of Technology, Pasadena Lines: 33 NNTP-Posting-Host: sandman.caltech.edu  sehari@iastate.edu (Babak Sehari) writes:  >Similarly, people usually use dB for dBm. Another common mistake is spelling >``db'' instead of ``dB'' as you did in your article. See the ``B'' is for  >``Bell'' company, the mother of AT&T and should be capitalized.  Thus, a deciBell (deci-, l., tenth of + Bell) is a fractional part of the  original Bell.  For example, SouthWestern Bell is a deciBell.  And the measure of current, Amp, is actually named after both the AMP company and the Amphenol company.  Both companies revolutionized electronics by simulatenously realizing that the performance of connectors and sockets  were affected by the amount of current running through the wires.  The Ohmite company was the first to characterize resistances by numbers, thus our use of the Ohms...   Alexander Graham Bell, actually, is where Bell came from...      Actually, Bel refers  >                          With highest regards, >                               Babak   Sehari.  >--  --  Joseph Chiu        | josephc@cco.caltech.edu  ""OS/2: You gotta get this thing!""  MSC 380 - Caltech  |  Pasadena, CA 91126 |   OS/2: The operating system of tomorrow, today. +1 818 449 5457    |   ","electronic"
7,"Xref: cantaloupe.srv.cs.cmu.edu rec.music.marketplace:4394 misc.forsale:74726 misc.wanted:30876 comp.music:12525 sci.electronics:52720 rec.music.makers.synth:4315 Newsgroups: rec.music.marketplace,osu.for-sale,misc.forsale,misc.wanted,comp.music,sci.electronics,rec.music.makers.synth Path: cantaloupe.srv.cs.cmu.edu!crabapple.srv.cs.cmu.edu!fs7.ece.cmu.edu!europa.eng.gtefsd.com!gatech!udel!wupost!usc!elroy.jpl.nasa.gov!ames!pioneer.arc.nasa.gov!glennd From: glennd@pioneer.arc.nasa.gov (Glenn Deardorff) Subject: Re: keyboard equipment wanted: Message-ID: <1993Apr5.201502.12462@news.arc.nasa.gov> Sender: glennd@pioneer.arc.nasa.gov (Glen Deardorff GDP) Organization: NASA Ames Res. Ctr. Mtn Vw CA 94035 References:  <9304041842.AA28793@photon.magnus.acs.ohio-state.edu> Date: Mon, 5 Apr 1993 20:15:02 GMT Lines: 10  > * Moog, Serge, Paia, or Buchla analogue synthesizer modules or components  > if you have any of the following items, or similar goods, please e-mail or call  Chris (Analog Modular Systems) in L.A. specializes in modular stuff, and I know as of last week he has some Serge modules, and perhaps Moog as well.  Number> (213) 850-5216  I just got an Xpander from him - this guy knows how to pack 'em right.","electronic"
8,"Newsgroups: sci.electronics Path: cantaloupe.srv.cs.cmu.edu!crabapple.srv.cs.cmu.edu!fs7.ece.cmu.edu!europa.eng.gtefsd.com!gatech!swrinde!zaphod.mps.ohio-state.edu!wupost!uunet!newsflash.concordia.ca!nstn.ns.ca!cs.dal.ca!ug.cs.dal.ca!blakey From: blakey@ug.cs.dal.ca (Jason Blakey) Subject: Site for projects Message-ID: <C5119G.DIK@cs.dal.ca> Sender: usenet@cs.dal.ca (USENET News) Nntp-Posting-Host: ug.cs.dal.ca Organization: Math, Stats & CS, Dalhousie University, Halifax, NS, Canada Date: Mon, 5 Apr 1993 20:08:03 GMT Lines: 6  	Does anyone out there know of any ftp sites which deal with  electronics projects, plans, etc?  Any response appreciated.:) JB --   ............................................................................                        Jason Blakey -> blakey@ug.cs.dal.ca ","electronic"
9,"Path: cantaloupe.srv.cs.cmu.edu!crabapple.srv.cs.cmu.edu!fs7.ece.cmu.edu!europa.eng.gtefsd.com!gatech!swrinde!zaphod.mps.ohio-state.edu!wupost!waikato.ac.nz!comp.vuw.ac.nz!zephyr.grace.cri.nz!zephyr.grace.cri.nz!usenet Newsgroups: sci.electronics Subject: ACCESS BUS (was I2C bus) Message-ID: <1pq8o3INNbf8@zephyr.grace.cri.nz> From: srgxnbs@grace.cri.nz Date: Mon,  5 Apr 93 20:41:48 GMT Organization: Industrial Research Ltd., New Zealand. NNTP-Posting-Host: grv.grace.cri.nz Lines: 37  From:	MX%""Andy.Macrae@Corp.Sun.COM""  6-APR-1993 06:48:34.96 To:	SRGXNBS CC:	 Subj:	Re: I^2C bus and long haul serial (also Axlo  Return-Path: <Andy.Macrae@Corp.Sun.COM> Received: from Sun.COM by GRV.GRACE.CRI.NZ (MX V3.1C) with SMTP; Tue, 06 Apr           1993 06:48:29 +1300 Received: from Corp.Sun.COM (lemay.Corp.Sun.COM) by Sun.COM (4.1/SMI-4.1) id           AA24280; Mon, 5 Apr 93 11:48:08 PDT Received: from grendal.Corp.Sun.COM by Corp.Sun.COM (4.1/elliemay (corpmail1           inbound)) id AA25933; Mon, 5 Apr 93 11:48:07 PDT Received: by grendal.Corp.Sun.COM (4.1/SMI-4.1) id AA05710; Mon, 5 Apr 93           11:47:28 PDT Date: Mon, 5 Apr 93 11:47:28 PDT From: Andy.Macrae@Corp.Sun.COM (Andrew MacRae) Message-ID: <9304051847.AA05710@grendal.Corp.Sun.COM> To: srgxnbs@grace.cri.nz Subject: Re: I^2C bus and long haul serial (also Axlo CC: Andy.Macrae@Corp.Sun.COM content-length: 693  In article <1pii04INNk6t@zephyr.grace.cri.nz> you write: > Whats required to get onto the ACCESS bus? The nice thing about the > i2c is that most i/o requires one 8 ... 16 pin DIL chip, ie its cheap > and easy. Anyone can design a bus, trouble is most buses require a > host of interface chips and often on-board intelligence.  Bruce, 	For the latest information on Access.Bus call the Access.Bus Industry Group at (408) 991-3517.  Also, Sun will be hosting the next meeting of the group on April 19th, here in Mountain View.  For some reason I am not able to post to any newsgroups today, so please feel free to pass this information on yourself as you see fit.  						Andrew MacRae ","electronic"
10,"Path: cantaloupe.srv.cs.cmu.edu!crabapple.srv.cs.cmu.edu!fs7.ece.cmu.edu!europa.eng.gtefsd.com!paladin.american.edu!gatech!swrinde!zaphod.mps.ohio-state.edu!uwm.edu!wupost!uunet!newsflash.concordia.ca!mizar.cc.umanitoba.ca!bison!sys6626!baden From: baden@sys6626.bison.mb.ca (baden de bari) Newsgroups: sci.electronics Subject: Re: Jacob's Ladder Message-ID: <3oRJ2B3w165w@sys6626.bison.mb.ca> Date: Mon, 05 Apr 93 13:54:13 CST References: <g92m3062.733952584@alpha.ru.ac.za> Organization: System 6626 BBS, Winnipeg Manitoba Canada Lines: 36  g92m3062@alpha.ru.ac.za (Brad Meier) writes:  > Hi, I'm looking for a circuit, that is called a ""Jacob's Ladder"". > This little box is usually seen in sci-fi movies.  It consists of  > two curves of wire protruding into the air, with little blue sparks > starting at their base (where the two wires are closer to each other), > moving up the wires to the top, and ending in a small crackling noise.  >  > Could anyone supply me with the schematic for the innards of this box? >  > Thanks in advance > Mike >  > (Please reply by email to g90k3853@alpha.ru.ac.za) >  > -- >  |  / |  | ~|~ /~~\  |  | ~|~ /~~\  |~~\  /~~\         The KnightOrc  >  |/   |\ |  | |   __ |__|  | |    | |__/ |         g92m3062@hippo.ru.ac.za >  |\   | \|  | |    | |  |  | |    | |  | |      ""When it's over I'll go home, >  |  \ |  | _|_ \__/  |  |  |  \__/  |  |  \__/    until then, I stay!"" - Me            I'd like any accumulated information on this as well please.                   Thanks.   _________________________________________         _____                                |    |     |   |                           |  =========== |    Baden de Bari          |   | o   o |  |                           |   |   ^   |  | baden@sys6626.bison.ca    |   |  {-}  |  | baden@inqmind.bison.ca    |    \_____/   |                           | ----------------------------------------- ","electronic"
