"","text","favorited","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","retweeted","longitude","latitude"
"1","@ayyytylerb that is so true drink lots of coffee",FALSE,"ayyytylerb",2013-08-09 02:43:12,FALSE,"365663558677184512","365664529067163651","1637123977","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thejennagibson",0,FALSE,NA,NA
"2","RT @bryzy_brib: Senior March tmw morning at 7:25 A.M. in the SENIOR lot. Get up early, make yo coffee/breakfast, cus this will only happen …",FALSE,NA,2013-08-09 02:43:10,FALSE,NA,"365664521546768385",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","carolynicosia",1,FALSE,NA,NA
"3","If you believe in #gunsense tomorrow would be a very good day to have your coffee any place BUT @Starbucks Guns+Coffee=#nosense @MomsDemand",FALSE,NA,2013-08-09 02:43:10,FALSE,NA,"365664520691122177",NA,"web","janeCkay",0,FALSE,NA,NA
"4","My cute coffee mug. http://t.co/2udvMU6XIG",FALSE,NA,2013-08-09 02:43:10,FALSE,NA,"365664519831302144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlexandriaOOTD",0,FALSE,NA,NA
"5","RT @slaredo21: I wish we had Starbucks here... Cause coffee dates in the morning sound perff!",FALSE,NA,2013-08-09 02:43:09,FALSE,NA,"365664519156019201",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rooosssaaaa",2,FALSE,NA,NA
"6","Does anyone ever get a cup of coffee before a cocktail??",FALSE,NA,2013-08-09 02:43:08,FALSE,NA,"365664515309838336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","E_Z_MAC",0,FALSE,NA,NA
"7","""I like my coffee like I like my women...black, bitter, and preferably fair trade."" I love #Archer",FALSE,NA,2013-08-09 02:43:07,FALSE,NA,"365664508317937664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Charlie_31191",0,FALSE,NA,NA
"8","@dreamwwediva ya didn't have coffee did ya?",FALSE,"dreamwwediva",2013-08-09 02:43:06,FALSE,"365664040619479040","365664504111038464","1316942208","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JessicaSalvato5",0,FALSE,NA,NA
"9","RT @iDougherty42: I just want some coffee.",FALSE,NA,2013-08-09 02:43:06,FALSE,NA,"365664503762919424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kaytiekirk",1,FALSE,NA,NA
"10","RT @Dorkv76: I can't care before coffee.",FALSE,NA,2013-08-09 02:43:04,FALSE,NA,"365664495839870976",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","lissteria",2,FALSE,NA,NA
"11","No lie I wouldn't mind coming home smelling like coffee",FALSE,NA,2013-08-09 02:43:04,FALSE,NA,"365664495445618691",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DOPECROOK",0,FALSE,NA,NA
"12","RT @JonasWorldFeed: Play Ping Pong with Joe. Take a tour of the stage with Nick. Have coffee with Kevin. Charity auction: https://t.co/VTkK…",FALSE,NA,2013-08-09 02:43:03,FALSE,NA,"365664492295688192",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","TiffCaruso",6,FALSE,NA,NA
"13","Have I ever told any of you that Tate Donovan bought my stepmom coffee?",FALSE,NA,2013-08-09 02:43:02,FALSE,NA,"365664490626351107",NA,"web","CurlysCrazyMofo",0,FALSE,NA,NA
"14","RT @JonasWorldFeed: Play Ping Pong with Joe. Take a tour of the stage with Nick. Have coffee with Kevin. Charity auction: https://t.co/VTkK…",FALSE,NA,2013-08-09 02:43:02,FALSE,NA,"365664488537587714",NA,"web","JoeJonasVA",6,FALSE,NA,NA
"15","@HeatherWhaley I was about 2 joke it takes 2 hands to hold hot coffee...then I read headline! #Don'tDrinkNShoot",FALSE,"HeatherWhaley",2013-08-09 02:42:58,FALSE,"365647317732302848","365664470271401984","26035764","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnnaDuleep",0,FALSE,NA,NA
"16","RT @MoveTheSticks: Charlie Whitehurst looks like he should be working at a coffee shop in Portland or hosting a renovation show on HGTV.",FALSE,NA,2013-08-09 02:42:58,FALSE,NA,"365664469961027585",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","mpr4437",42,FALSE,NA,NA
"17","Coffee always makes everything better.",FALSE,NA,2013-08-09 02:42:57,FALSE,NA,"365664469289934851",NA,"web","sharkshukri",0,FALSE,NA,NA
"18","RT @AdelaideReview: Food For Thought: @Annabelleats shares a delicious Venison and Porcini Mushroom Pie Recipe. http://t.co/N8O7vqFKWN http…",FALSE,NA,2013-08-09 02:42:56,FALSE,NA,"365664464953016321",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thepaulbaker",1,FALSE,NA,NA
"19","RT @LittleMelss: lmfao!!!""@bryanlaca: nahhh Melanie u is fa sho like an ummm a Coffee table ;)) yeeeee lmaoo""",FALSE,NA,2013-08-09 02:42:56,FALSE,NA,"365664463946383360",NA,"web","bryanlaca",1,FALSE,NA,NA
"20","I wonder if Christian Colon will get a cup of coffee once the rosters expand to 40 man in September. Really nothing to lose by doing so.",FALSE,NA,2013-08-09 02:42:55,FALSE,NA,"365664459328466944",NA,"<a href=""http://www.myplume.com/"" rel=""nofollow"">Plume for Android</a>","Shauncore",0,FALSE,NA,NA
"21","Shouldn't have drank coffee I'm jittery as fuck.",FALSE,NA,2013-08-09 02:42:55,FALSE,NA,"365664458229559297",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DylanBaur",0,FALSE,NA,NA
"22","#good_morning <U+2615><ed><U+00A0><U+00BD><ed><U+00B1><U+008C>#chocolate #morning #coffee #floral #eid #nutella #waffles #crepe #jeddah #ksa #dubai #q8 http://t.co/Em61Iopri5",FALSE,NA,2013-08-09 02:42:55,FALSE,NA,"365664457566846976",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","LadyMonyAna1",0,FALSE,NA,NA
"23","@kungfupussy You might need to do a bulk shipment to Melbourne! @JustBeer_NoBull @brandnewblues",FALSE,"kungfupussy",2013-08-09 02:42:54,FALSE,"365664176804343809","365664454215610369","19478601","<a href=""http://janetter.net/"" rel=""nofollow"">Janetter for Mac</a>","Gridlock_Coffee",0,FALSE,NA,NA
"24","Gold Coast JCC Friday News features profile on new coffee shop in Southport that's embracing the area's heritage: http://t.co/Na32boM2bO",FALSE,NA,2013-08-09 02:42:54,FALSE,NA,"365664453544521730",NA,"web","_GCJCC",0,FALSE,NA,NA
"25","Sometimes I start dancing on my coffee table because I can.",FALSE,NA,2013-08-09 02:42:53,FALSE,NA,"365664451820658688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rileydreams",0,FALSE,NA,NA
"26","RT @Leslieks: .@Starbucks I have a morning free tomorrow &amp; was going to have coffee w/friends, but not until you get some #Gunsense! #momsd…",FALSE,NA,2013-08-09 02:42:53,FALSE,NA,"365664451426385920",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","TweetJohnLane",9,FALSE,NA,NA
"27","Starbucks Coffee is the best!!!  #confessyourunpopularopinion",FALSE,NA,2013-08-09 02:42:51,FALSE,NA,"365664441821446145",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RedBone_Barbie5",0,FALSE,NA,NA
"28","RT @TheMindBlowing: Fat Burning Foods:

Grapefruit.
Watermelon.
Berries.
Hot Peppers.
Celery.
Greek Yogurt.
Eggs.
Fish.
Green Tea.
Coffee.
…",FALSE,NA,2013-08-09 02:42:51,FALSE,NA,"365664441477505025",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RLauren88",926,FALSE,NA,NA
"29","Witnessed a girl with a pet bird pooping on her shoulder &amp; a girl sharing ice cream with her dog at the same coffee shop. Both didn't care.",FALSE,NA,2013-08-09 02:42:50,FALSE,NA,"365664440449896448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MattyTheBolts",0,FALSE,NA,NA
"30","My biological watch thinks its 5:43 PM. I want Arabic coffee and cake.",FALSE,NA,2013-08-09 02:42:50,FALSE,NA,"365664440135335936",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","AmaniiAbdulla",0,FALSE,NA,NA
"31","I wanna lay on the couch, under some blankets, with some hot coffee, and watch old movies.",FALSE,NA,2013-08-09 02:42:50,FALSE,NA,"365664436549193729",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AliPlayzGuitar",0,FALSE,NA,NA
"32","RT @dreyess1: Do they have rehab for coffee addicts?",FALSE,NA,2013-08-09 02:42:50,FALSE,NA,"365664436490469376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ashplante14",1,FALSE,NA,NA
"33","Finally! Home. There is no food or beer in the fridge. Also there is no coffee, tomorrow will be rough. Ordered pizza. Rat time!!!",FALSE,NA,2013-08-09 02:42:48,FALSE,NA,"365664429737648128",NA,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","kscottz",0,FALSE,NA,NA
"34","just drank an entire venti coffee from Starbucks &amp; still think I'm gonna fall asleep #wtf",FALSE,NA,2013-08-09 02:42:46,FALSE,NA,"365664422653464576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","destinyspooner",0,FALSE,NA,NA
"35","RT @UberFacts: There are more than 1,000 chemicals in a single cup of coffee. Of these, only 26 have been tested and half caused cancer in …",FALSE,NA,2013-08-09 02:42:46,FALSE,NA,"365664421541969920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MamaArch",1600,FALSE,NA,NA
"36","My family called me weird cause I drink coffee with a straw. I just think they are mad cause they didn't think of it first",FALSE,NA,2013-08-09 02:42:46,FALSE,NA,"365664419704877059",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hiya_Mariah",0,FALSE,NA,NA
"37","I drank all that coffee for nothing.",FALSE,NA,2013-08-09 02:42:45,FALSE,NA,"365664417465106432",NA,"web","gingi_snap",0,FALSE,NA,NA
"38","“@kayleesmith95: i want coffee if i had a car that is all my car would be used for” SAME HERE",FALSE,"kayleesmith95",2013-08-09 02:42:44,FALSE,"365663134528184321","365664415300845569","332635904","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","micheeliinna",0,FALSE,NA,NA
"39","RT @marisaaaa23: “@sheodd: Iced coffee in the mornings is soo amazing like it's my everyday breakfast pretty bad habit I'm building” that w…",FALSE,NA,2013-08-09 02:42:44,FALSE,NA,"365664414839488512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sheodd",1,FALSE,NA,NA
"40","RT @skylarking24: Coffee ice cream is the best thing ever ok",FALSE,NA,2013-08-09 02:42:44,FALSE,NA,"365664414797541377",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HannahBrumback",2,FALSE,NA,NA
"41","I burned my tongue drinking coffee this morning",FALSE,NA,2013-08-09 02:42:42,FALSE,NA,"365664406908055553",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","A_luxurycar",0,FALSE,NA,NA
"42","RT @littledaisy420: iced coffee ilysm",FALSE,NA,2013-08-09 02:42:42,FALSE,NA,"365664403112202241",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","oglivelavalakin",2,FALSE,NA,NA
"43","Its strong connection to life. bittersweet RT @ikanatassa: coffee enthusiasts di timeline gue, boleh nanyakah? ini buat riset. why do you li",FALSE,NA,2013-08-09 02:42:40,FALSE,NA,"365664396095127553",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","niyaayu",0,FALSE,NA,NA
