Name,Cost,Set Name,R,  High  ,  Med  ,  Low  
Affectionate Indrik,5G,Guilds of Ravnica,U,5,0.15,0.03
Angel Token,,Guilds of Ravnica,T,2.27,0.24,0.08
Arboretum Elemental,7GG,Guilds of Ravnica,U,2.99,0.15,0.01
Arclight Phoenix,3R,Guilds of Ravnica,M,20,4.99,3
Artful Takedown,2UB,Guilds of Ravnica,C,150,0.1,0.01
Assassin's Trophy,BG,Guilds of Ravnica,R,39.99,20.97,16.86
Assure // Assemble,(G/W)(G/W)/4GW,Guilds of Ravnica,R,3.5,0.33,0.04
Attendant of Vraska,1BG,Guilds of Ravnica,U,2.99,0.2,0.09
"Aurelia, Exemplar of Justice",2RW,Guilds of Ravnica,M,27.58,14.91,10.98
Barging Sergeant,4R,Guilds of Ravnica,C,150,0.14,0.01
Barrier of Bones,B,Guilds of Ravnica,C,5,0.1,0.02
Bartizan Bats,3B,Guilds of Ravnica,C,150,0.1,0.01
Beacon Bolt,1UR,Guilds of Ravnica,U,2.99,0.18,0.05
Beamsplitter Mage,UR,Guilds of Ravnica,U,2.99,0.15,0.03
Beast Whisperer,2GG,Guilds of Ravnica,R,5.17,1.36,0.75
Bird Illusion Token,,Guilds of Ravnica,T,1.99,0.14,0.03
Blade Instructor,2W,Guilds of Ravnica,C,150,0.13,0.02
Blood Operative,1BB,Guilds of Ravnica,R,20,0.75,0.26
Book Devourer,5R,Guilds of Ravnica,U,2.99,0.15,0.02
Boros Challenger,RW,Guilds of Ravnica,U,2.99,0.2,0.08
Boros Guildgate (243),,Guilds of Ravnica,C,150,0.11,0.02
Boros Guildgate (244),,Guilds of Ravnica,C,0.95,0.1,0.02
Boros Locket,3,Guilds of Ravnica,C,0.95,0.1,0.03
Bounty Agent,1W,Guilds of Ravnica,R,31,0.41,0.2
Bounty of Might,4GG,Guilds of Ravnica,R,2.27,0.25,0.02
Burglar Rat,1B,Guilds of Ravnica,C,1.61,0.11,0.02
Camaraderie,4GW,Guilds of Ravnica,R,5,0.31,0.05
Candlelight Vigil,3W,Guilds of Ravnica,C,1.61,0.1,0.01
Capture Sphere,3U,Guilds of Ravnica,C,1.61,0.12,0.02
Centaur Peacemaker,1GW,Guilds of Ravnica,C,1.43,0.1,0.03
Chamber Sentry,X,Guilds of Ravnica,R,4.95,0.4,0.12
Chance for Glory,1RW,Guilds of Ravnica,M,23.98,1.68,0.75
Charnel Troll,1BG,Guilds of Ravnica,R,11.98,0.56,0.15
Chemister's Insight,3U,Guilds of Ravnica,U,2.99,0.85,0.27
Child of Night,1B,Guilds of Ravnica,C,150,0.1,0.01
Chromatic Lantern,3,Guilds of Ravnica,R,15,4,2.72
Circuitous Route,3G,Guilds of Ravnica,U,3.94,0.25,0.12
Citywatch Sphinx,5U,Guilds of Ravnica,U,2.99,0.15,0.02
Citywide Bust,1WW,Guilds of Ravnica,R,5.98,0.49,0.15
Collar the Culprit,3W,Guilds of Ravnica,C,150,0.1,0.01
Command the Storm,4R,Guilds of Ravnica,C,150,0.1,0.01
Conclave Cavalier,GGWW,Guilds of Ravnica,U,2.99,0.2,0.05
Conclave Guildmage,GW,Guilds of Ravnica,U,150,0.15,0.03
Conclave Tribunal,3W,Guilds of Ravnica,U,2.99,0.61,0.2
Connive // Concoct,2(U/B)(U/B)/3UB,Guilds of Ravnica,R,4.99,0.39,0.1
Cosmotronic Wave,3R,Guilds of Ravnica,C,150,0.12,0.03
Crackling Drake,UURR,Guilds of Ravnica,U,2.99,0.3,0.08
Creeping Chill,3B,Guilds of Ravnica,U,2.99,0.3,0.08
Crush Contraband,3W,Guilds of Ravnica,U,2.99,0.19,0.04
