Year ,PercentAdoptions
Dec-65,0
Dec-66,6.145835684
Dec-67,12.72965645
Dec-68,19.64872441
Dec-69,26.77512032
Dec-70,33.96440431
Dec-71,41.06698245
Dec-72,47.94034951
Dec-73,54.46013052
Dec-74,60.52818203
Dec-75,66.07679819
Dec-76,71.06899248
Dec-77,75.49558333
Dec-78,79.37021852
Dec-79,82.72351665
Dec-80,85.59728784
Dec-81,88.03946805
Dec-82,90.10007711
Dec-83,91.82826105
Dec-84,93.27031978
Dec-85,94.46854445
Dec-86,95.46066873
Dec-87,96.27975333
Dec-88,96.95435387
Dec-89,97.50885698
Dec-90,97.96390133
