model_id,model_name,provider,permaslug,context_length,context_display,input_price_per_1m,output_price_per_1m,first_seen,last_seen
ai21/jamba-large-1.7,AI21: Jamba Large 1.7,AI21,ai21/jamba-large-1.7,256000,256K,2.0,8.0,2026-06-14,2026-06-15
aion-labs/aion-1.0,AionLabs: Aion-1.0,AionLabs,aion-labs/aion-1.0,131072,131.1K,4.0,8.0,2026-06-14,2026-06-15
aion-labs/aion-1.0-mini,AionLabs: Aion-1.0-Mini,AionLabs,aion-labs/aion-1.0-mini,131072,131.1K,0.7,1.4,2026-06-14,2026-06-15
aion-labs/aion-2.0,AionLabs: Aion-2.0,AionLabs,aion-labs/aion-2.0-20260223,131072,131.1K,0.8,1.6,2026-06-14,2026-06-15
aion-labs/aion-rp-llama-3.1-8b,AionLabs: Aion-RP 1.0 (8B),AionLabs,aion-labs/aion-rp-llama-3.1-8b,32768,32.8K,0.8,1.6,2026-06-14,2026-06-15
allenai/olmo-3-32b-think,AllenAI: Olmo 3 32B Think,AllenAI,allenai/olmo-3-32b-think-20251121,65536,65.5K,0.15,0.5,2026-06-14,2026-06-15
amazon/nova-2-lite-v1,Amazon: Nova 2 Lite,Amazon,amazon/nova-2-lite-v1,1000000,1M,0.3,2.5,2026-06-14,2026-06-15
amazon/nova-lite-v1,Amazon: Nova Lite 1.0,Amazon,amazon/nova-lite-v1,300000,300K,0.06,0.24,2026-06-14,2026-06-15
amazon/nova-micro-v1,Amazon: Nova Micro 1.0,Amazon,amazon/nova-micro-v1,128000,128K,0.035,0.14,2026-06-14,2026-06-15
amazon/nova-premier-v1,Amazon: Nova Premier 1.0,Amazon,amazon/nova-premier-v1,1000000,1M,2.5,12.5,2026-06-14,2026-06-15
amazon/nova-pro-v1,Amazon: Nova Pro 1.0,Amazon,amazon/nova-pro-v1,300000,300K,0.8,3.2,2026-06-14,2026-06-15
anthracite-org/magnum-v4-72b,Magnum v4 72B,Anthracite Org,anthracite-org/magnum-v4-72b,32768,32.8K,3.0,5.0,2026-06-14,2026-06-15
anthropic/claude-3-haiku,Anthropic: Claude 3 Haiku,Anthropic,anthropic/claude-3-haiku,200000,200K,0.25,1.25,2026-06-14,2026-06-15
