model_id,model_name,provider,context_length,context_display,permaslug,first_seen,last_seen
ai21/jamba-large-1.7,AI21: Jamba Large 1.7,AI21,256000,256K,ai21/jamba-large-1.7,2026-06-12,2026-06-14
aion-labs/aion-1.0,AionLabs: Aion-1.0,AionLabs,131072,131.1K,aion-labs/aion-1.0,2026-06-12,2026-06-14
aion-labs/aion-1.0-mini,AionLabs: Aion-1.0-Mini,AionLabs,131072,131.1K,aion-labs/aion-1.0-mini,2026-06-12,2026-06-14
aion-labs/aion-2.0,AionLabs: Aion-2.0,AionLabs,131072,131.1K,aion-labs/aion-2.0-20260223,2026-06-12,2026-06-14
aion-labs/aion-rp-llama-3.1-8b,AionLabs: Aion-RP 1.0 (8B),AionLabs,32768,32.8K,aion-labs/aion-rp-llama-3.1-8b,2026-06-12,2026-06-14
allenai/olmo-3-32b-think,AllenAI: Olmo 3 32B Think,AllenAI,65536,65.5K,allenai/olmo-3-32b-think-20251121,2026-06-12,2026-06-14
amazon/nova-2-lite-v1,Amazon: Nova 2 Lite,Amazon,1000000,1M,amazon/nova-2-lite-v1,2026-06-12,2026-06-14
amazon/nova-lite-v1,Amazon: Nova Lite 1.0,Amazon,300000,300K,amazon/nova-lite-v1,2026-06-12,2026-06-14
amazon/nova-micro-v1,Amazon: Nova Micro 1.0,Amazon,128000,128K,amazon/nova-micro-v1,2026-06-12,2026-06-14
amazon/nova-premier-v1,Amazon: Nova Premier 1.0,Amazon,1000000,1M,amazon/nova-premier-v1,2026-06-12,2026-06-14
amazon/nova-pro-v1,Amazon: Nova Pro 1.0,Amazon,300000,300K,amazon/nova-pro-v1,2026-06-12,2026-06-14
anthracite-org/magnum-v4-72b,Magnum v4 72B,Anthracite Org,32768,32.8K,anthracite-org/magnum-v4-72b,2026-06-12,2026-06-14
anthropic/claude-3-haiku,Anthropic: Claude 3 Haiku,Anthropic,200000,200K,anthropic/claude-3-haiku,2026-06-12,2026-06-14
anthropic/claude-3.5-haiku,Anthropic: Claude 3.5 Haiku,Anthropic,200000,200K,anthropic/claude-3-5-haiku,2026-06-12,2026-06-14
anthropic/claude-fable-5,Anthropic: Claude Fable 5,Anthropic,1000000,1M,anthropic/claude-5-fable-20260609,2026-06-12,2026-06-14
anthropic/claude-haiku-4.5,Anthropic: Claude Haiku 4.5,Anthropic,200000,200K,anthropic/claude-4.5-haiku-20251001,2026-06-12,2026-06-14
anthropic/claude-opus-4,Anthropic: Claude Opus 4,Anthropic,200000,200K,anthropic/claude-4-opus-20250522,2026-06-12,2026-06-14
anthropic/claude-opus-4.1,Anthropic: Claude Opus 4.1,Anthropic,200000,200K,anthropic/claude-4.1-opus-20250805,2026-06-12,2026-06-14
anthropic/claude-opus-4.5,Anthropic: Claude Opus 4.5,Anthropic,200000,200K,anthropic/claude-4.5-opus-20251124,2026-06-12,2026-06-14
anthropic/claude-opus-4.6,Anthropic: Claude Opus 4.6,Anthropic,1000000,1M,anthropic/claude-4.6-opus-20260205,2026-06-12,2026-06-14
anthropic/claude-opus-4.6-fast,Anthropic: Claude Opus 4.6 (Fast),Anthropic,1000000,1M,anthropic/claude-4.6-opus-fast-20260407,2026-06-12,2026-06-14
anthropic/claude-opus-4.7,Anthropic: Claude Opus 4.7,Anthropic,1000000,1M,anthropic/claude-4.7-opus-20260416,2026-06-12,2026-06-14
anthropic/claude-opus-4.7-fast,Anthropic: Claude Opus 4.7 (Fast),Anthropic,1000000,1M,anthropic/claude-4.7-opus-fast-20260512,2026-06-12,2026-06-14
anthropic/claude-opus-4.8,Anthropic: Claude Opus 4.8,Anthropic,1000000,1M,anthropic/claude-4.8-opus-20260528,2026-06-12,2026-06-14
anthropic/claude-opus-4.8-fast,Anthropic: Claude Opus 4.8 (Fast),Anthropic,1000000,1M,anthropic/claude-4.8-opus-fast-20260528,2026-06-12,2026-06-14
anthropic/claude-sonnet-4,Anthropic: Claude Sonnet 4,Anthropic,1000000,1M,anthropic/claude-4-sonnet-20250522,2026-06-12,2026-06-14
anthropic/claude-sonnet-4.5,Anthropic: Claude Sonnet 4.5,Anthropic,1000000,1M,anthropic/claude-4.5-sonnet-20250929,2026-06-12,2026-06-14
anthropic/claude-sonnet-4.6,Anthropic: Claude Sonnet 4.6,Anthropic,1000000,1M,anthropic/claude-4.6-sonnet-20260217,2026-06-12,2026-06-14
