"date","model_id","model_name","tokens_7d_raw","tokens_7d","input_price_per_1m","output_price_per_1m","source"
"2026-06-10","~anthropic/claude-fable-latest","Anthropic: Claude Fable Latest","",NA,10,50,"api_only"
"2026-06-10","anthropic/claude-fable-5","Anthropic: Claude Fable 5","",NA,10,50,"api_only"
"2026-06-10","nex-agi/nex-n2-pro:free","Nex AGI: Nex-N2-Pro (free)","",NA,0,0,"api_only"
"2026-06-10","nvidia/nemotron-3.5-content-safety:free","NVIDIA: Nemotron 3.5 Content Safety (free)","",NA,0,0,"api_only"
"2026-06-10","nvidia/nemotron-3-ultra-550b-a55b:free","NVIDIA: Nemotron 3 Ultra (free)","",NA,0,0,"api_only"
"2026-06-10","nvidia/nemotron-3-ultra-550b-a55b","NVIDIA: Nemotron 3 Ultra","",NA,0.5,2.5,"api_only"
"2026-06-10","qwen/qwen3.7-plus","Qwen: Qwen3.7 Plus","",NA,0.4,1.6,"api_only"
"2026-06-10","minimax/minimax-m3","MiniMax: MiniMax M3","",NA,0.3,1.2,"api_only"
"2026-06-10","stepfun/step-3.7-flash","StepFun: Step 3.7 Flash","",NA,0.2,1.15,"api_only"
"2026-06-10","anthropic/claude-opus-4.8-fast","Anthropic: Claude Opus 4.8 (Fast)","",NA,10,50,"api_only"
"2026-06-12","mancer/weaver","Mancer: Weaver (alpha)","8.46M tokens",8460000,NA,0.75,"1.0"
"text_proximity","","","",NA,NA,NA,""
"2026-06-12","undi95/remm-slerp-l2-13b","ReMM SLERP 13B","160M tokens",160000000,NA,0.45,"0.65"
"text_proximity","","","",NA,NA,NA,""
"2026-06-12","gryphe/mythomax-l2-13b","MythoMax 13B","1.07B tokens",1070000000,NA,0.06,"0.06"
"text_proximity","","","",NA,NA,NA,""
"2026-06-12","openai/gpt-4","OpenAI: GPT-4","57.5M tokens",57500000,NA,30,"60.0"
"text_proximity","","","",NA,NA,NA,""
"2026-06-12","openai/gpt-3.5-turbo","OpenAI: GPT-3.5 Turbo","441M tokens",441000000,NA,0.5,"1.5"
"text_proximity","","","",NA,NA,NA,""
